source,reason
scripts\memory\locomo_pipeline\audit\analysis_sample_scoped.py,source missing
scripts\memory\locomo_pipeline\audit\audit_cassandra_kg_equivalence.py,source missing
scripts\memory\locomo_pipeline\audit\audit_dense_kg_rescue.py,source missing
scripts\memory\locomo_pipeline\audit\audit_e2_backend_fair.py,source missing
scripts\memory\locomo_pipeline\audit\audit_kg_boost_top10.py,source missing
scripts\memory\locomo_pipeline\audit\retrieval_scope_audit.py,source missing
scripts\memory\locomo_pipeline\extraction\inspect_locomo.py,source missing
scripts\memory\locomo_pipeline\extraction\inspect_locomo_categories.py,source missing
scripts\memory\locomo_pipeline\extraction\inspect_locomo_conversation.py,source missing
scripts\memory\locomo_pipeline\extraction\locomo_cassandra_import.py,source missing
scripts\memory\locomo_pipeline\extraction\locomo_neo4j_import.py,source missing
scripts\memory\locomo_pipeline\extraction\locomo_to_memory_records.py,source missing
scripts\memory\locomo_pipeline\extraction\observation_to_kg_spacy.py,source missing
scripts\memory\locomo_pipeline\reader_eval\final_results_summary.py,source missing
scripts\memory\locomo_pipeline\reader_eval\locomo_llm_reader_full_v3.py,source missing
scripts\memory\locomo_pipeline\reader_eval\reader_f1_memory_only_v2.py,source missing
scripts\memory\locomo_pipeline\retrieval\encode_bge_large_api.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_cassandra_retrieval.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_neo4j_retrieval.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_benchmark.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_bm25.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_dense_bge.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_dense_bge_query_kg_rerank.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_dense_kg_boost.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_sample_scoped.py,source missing
scripts\memory\locomo_pipeline\retrieval\locomo_retrieval_tfidf.py,source missing
reports/p5_minimal_core/p5_3c_restart_only_smoke,source missing
scripts\memory\__pycache__\fix_reader_rendering.py,source missing
scripts\memory\__pycache__\legacy_evaluator_adapter.example.py,source missing
scripts\memory\__pycache__\legacy_evaluator_adapter.py,source missing
scripts\memory\__pycache__\prepare_p2_inputs.py,source missing
scripts\memory\__pycache__\run_p2_fusion_reader.py,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\cassandra,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\neo4j,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\cassandra\runtime.sqlite,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\cassandra\worker.stop,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\neo4j\runtime.sqlite,source missing
reports\p5_minimal_core\p5_3c_restart_only_smoke\runtime\neo4j\worker.stop,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\cassandra,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\neo4j,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\cassandra\runtime.sqlite,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\cassandra\worker.stop,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\neo4j\runtime.sqlite,source missing
reports\p5_minimal_core\p5_3c_restart_only\runtime\neo4j\worker.stop,source missing
