query_id,category,split,legacy_gold_memory_ids,canonical_gold_memory_ids,legacy_gold_count,canonical_gold_count,changed,status
conv-26_qa_0,2,test,conv-26_session_1_D1:3,conv-26_session_1_D1:3,1,1,False,mapped
conv-26_qa_1,2,test,conv-26_session_1_D1:12,conv-26_session_1_D1:12,1,1,False,mapped
conv-26_qa_2,3,test,conv-26_session_1_D1:9;conv-26_session_1_D1:11,conv-26_session_1_D1:9;conv-26_session_1_D1:11,2,2,False,mapped
conv-26_qa_3,1,test,conv-26_session_2_D2:8,conv-26_session_2_D2:8,1,1,False,mapped
conv-26_qa_4,1,test,conv-26_session_1_D1:5,conv-26_session_1_D1:5,1,1,False,mapped
conv-26_qa_5,2,test,conv-26_session_2_D2:1,conv-26_session_2_D2:1,1,1,False,mapped
conv-26_qa_6,2,test,conv-26_session_2_D2:7,conv-26_session_2_D2:7,1,1,False,mapped
conv-26_qa_7,1,test,conv-26_session_3_D3:13;conv-26_session_2_D2:14,conv-26_session_3_D3:13;conv-26_session_2_D2:14,2,2,False,mapped
conv-26_qa_8,2,test,conv-26_session_3_D3:1,conv-26_session_3_D3:1,1,1,False,mapped
conv-26_qa_9,2,test,conv-26_session_3_D3:11,conv-26_session_3_D3:11,1,1,False,mapped
conv-26_qa_10,2,test,conv-26_session_3_D3:13,conv-26_session_3_D3:13,1,1,False,mapped
conv-26_qa_11,1,test,conv-26_session_3_D3:13;conv-26_session_4_D4:3,conv-26_session_3_D3:13;conv-26_session_4_D4:3,2,2,False,mapped
conv-26_qa_12,2,test,conv-26_session_4_D4:5,conv-26_session_4_D4:5,1,1,False,mapped
conv-26_qa_13,1,test,conv-26_session_4_D4:13;conv-26_session_1_D1:11,conv-26_session_4_D4:13;conv-26_session_1_D1:11,2,2,False,mapped
conv-26_qa_14,3,test,conv-26_session_4_D4:15;conv-26_session_3_D3:5,conv-26_session_4_D4:15;conv-26_session_3_D3:5,2,2,False,mapped
conv-26_qa_15,1,test,conv-26_session_5_D5:4;conv-26_session_9_D9:1;conv-26_session_1_D1:12;conv-26_session_1_D1:18,conv-26_session_5_D5:4;conv-26_session_9_D9:1;conv-26_session_1_D1:12;conv-26_session_1_D1:18,4,4,False,mapped
conv-26_qa_16,2,test,conv-26_session_5_D5:4,conv-26_session_5_D5:4,1,1,False,mapped
conv-26_qa_17,2,test,conv-26_session_5_D5:13,conv-26_session_5_D5:13,1,1,False,mapped
conv-26_qa_18,1,test,conv-26_session_6_D6:16;conv-26_session_4_D4:6;conv-26_session_8_D8:32,conv-26_session_6_D6:16;conv-26_session_4_D4:6;conv-26_session_8_D8:32,3,3,False,mapped
conv-26_qa_19,1,test,conv-26_session_6_D6:6;conv-26_session_4_D4:8,conv-26_session_6_D6:6;conv-26_session_4_D4:8,2,2,False,mapped
conv-26_qa_20,2,test,conv-26_session_6_D6:4,conv-26_session_6_D6:4,1,1,False,mapped
conv-26_qa_21,2,test,conv-26_session_6_D6:11,conv-26_session_6_D6:11,1,1,False,mapped
conv-26_qa_22,3,test,conv-26_session_6_D6:9,conv-26_session_6_D6:9,1,1,False,mapped
conv-26_qa_23,1,test,conv-26_session_7_D7:8;conv-26_session_6_D6:10,conv-26_session_7_D7:8;conv-26_session_6_D6:10,2,2,False,mapped
conv-26_qa_24,1,test,conv-26_session_7_D7:22;conv-26_session_5_D5:4,conv-26_session_7_D7:22;conv-26_session_5_D5:4,2,2,False,mapped
conv-26_qa_25,2,test,conv-26_session_7_D7:1,conv-26_session_7_D7:1,1,1,False,mapped
conv-26_qa_26,2,test,conv-26_session_7_D7:8,conv-26_session_7_D7:8,1,1,False,mapped
conv-26_qa_27,3,test,conv-26_session_7_D7:5;conv-26_session_7_D7:9,conv-26_session_7_D7:5;conv-26_session_7_D7:9,2,2,False,mapped
conv-26_qa_28,2,test,conv-26_session_8_D8:9,conv-26_session_8_D8:9,1,1,False,mapped
conv-26_qa_29,2,test,conv-26_session_8_D8:2,conv-26_session_8_D8:2,1,1,False,mapped
conv-26_qa_30,3,test,,,0,0,False,evidence_empty
conv-26_qa_31,2,test,conv-26_session_4_D4:8,conv-26_session_4_D4:8,1,1,False,mapped
conv-26_qa_32,1,test,conv-26_session_5_D5:1;conv-26_session_8_D8:17;conv-26_session_3_D3:1;conv-26_session_1_D1:3,conv-26_session_5_D5:1;conv-26_session_8_D8:17;conv-26_session_3_D3:1;conv-26_session_1_D1:3,4,4,False,mapped
conv-26_qa_33,2,test,conv-26_session_5_D5:1,conv-26_session_5_D5:1,1,1,False,mapped
conv-26_qa_34,1,test,conv-26_session_9_D9:2;conv-26_session_3_D3:3,conv-26_session_9_D9:2;conv-26_session_3_D3:3,2,2,False,mapped
conv-26_qa_35,2,test,conv-26_session_9_D9:1,conv-26_session_9_D9:1,1,1,False,mapped
conv-26_qa_36,2,test,conv-26_session_9_D9:2,conv-26_session_9_D9:2,1,1,False,mapped
conv-26_qa_37,1,test,conv-26_unknown_D8:6;D9:17,conv-26_session_8_D8:6;conv-26_session_9_D9:17,2,2,True,mapped
conv-26_qa_38,1,test,conv-26_session_8_D8:4;conv-26_session_8_D8:6;conv-26_session_9_D9:1;conv-26_session_6_D6:4;conv-26_session_1_D1:18;conv-26_session_3_D3:14,conv-26_session_8_D8:4;conv-26_session_8_D8:6;conv-26_session_9_D9:1;conv-26_session_6_D6:4;conv-26_session_1_D1:18;conv-26_session_3_D3:14,6,6,False,mapped
conv-26_qa_39,1,test,conv-26_session_10_D10:3;conv-26_session_5_D5:1;conv-26_session_9_D9:12;conv-26_session_9_D9:2,conv-26_session_10_D10:3;conv-26_session_5_D5:1;conv-26_session_9_D9:12;conv-26_session_9_D9:2,4,4,False,mapped
conv-26_qa_40,1,test,conv-26_session_10_D10:8;conv-26_session_6_D6:16,conv-26_session_10_D10:8;conv-26_session_6_D6:16,2,2,False,mapped
conv-26_qa_41,2,test,conv-26_session_10_D10:3,conv-26_session_10_D10:3,1,1,False,mapped
conv-26_qa_42,3,test,conv-26_session_10_D10:12;conv-26_session_10_D10:14,conv-26_session_10_D10:12;conv-26_session_10_D10:14,2,2,False,mapped
conv-26_qa_43,1,test,conv-26_session_11_D11:12;conv-26_session_11_D11:8;conv-26_session_9_D9:14,conv-26_session_11_D11:12;conv-26_session_11_D11:8;conv-26_session_9_D9:14,3,3,False,mapped
conv-26_qa_44,2,test,conv-26_session_11_D11:1,conv-26_session_11_D11:1,1,1,False,mapped
conv-26_qa_45,2,test,conv-26_session_11_D11:4,conv-26_session_11_D11:4,1,1,False,mapped
conv-26_qa_46,3,test,,,0,0,False,evidence_empty
conv-26_qa_47,1,test,conv-26_session_12_D12:1;conv-26_session_3_D3:11,conv-26_session_12_D12:1;conv-26_session_3_D3:11,2,2,False,mapped
conv-26_qa_48,1,test,conv-26_session_12_D12:14;conv-26_session_8_D8:4;conv-26_session_5_D5:6,conv-26_session_12_D12:14;conv-26_session_8_D8:4;conv-26_session_5_D5:6,3,3,False,mapped
conv-26_qa_49,2,test,conv-26_session_12_D12:15,conv-26_session_12_D12:15,1,1,False,mapped
conv-26_qa_50,3,test,conv-26_session_12_D12:1,conv-26_session_12_D12:1,1,1,False,mapped
conv-26_qa_51,1,test,conv-26_session_13_D13:8;conv-26_session_8_D8:6;conv-26_session_1_D1:12,conv-26_session_13_D13:8;conv-26_session_8_D8:6;conv-26_session_1_D1:12,3,3,False,mapped
conv-26_qa_52,1,test,conv-26_session_13_D13:4;conv-26_session_7_D7:18,conv-26_session_13_D13:4;conv-26_session_7_D7:18,2,2,False,mapped
conv-26_qa_53,2,test,conv-26_session_13_D13:1,conv-26_session_13_D13:1,1,1,False,mapped
conv-26_qa_54,2,test,conv-26_session_13_D13:11,conv-26_session_13_D13:11,1,1,False,mapped
