method,query_id,split,category,category_label,pool_definition,conversation_pool_size,candidate_pool_size,candidate_reduction,gold_count,candidate_gold_count,candidate_hit,candidate_all_gold,candidate_recall,top10_gold_count,top10_hit,top10_recall,ranking_loss
BM25,conv-26_qa_0,test,2,Temporal,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_1,test,2,Temporal,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,0,0,0.0,1.0
BM25,conv-26_qa_10,test,2,Temporal,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,0,0,0.0,1.0
BM25,conv-26_qa_100,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_101,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_102,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_103,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,0,0,0,0.0,0,0,0.0,0.0
BM25,conv-26_qa_104,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_105,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,0,0,0,0.0,0,0,0.0,0.0
BM25,conv-26_qa_106,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,0,0,0,0.0,0,0,0.0,0.0
BM25,conv-26_qa_107,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_108,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,0,0,0.0,1.0
BM25,conv-26_qa_109,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_11,test,1,Multi-Hop,full_rank_top100,419,100,0.7613365155131265,2,1,1,0,0.5,0,0,0.0,0.5
BM25,conv-26_qa_110,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_111,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_112,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_113,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_114,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_115,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_116,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,0,0,0,0.0,0,0,0.0,0.0
BM25,conv-26_qa_117,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_118,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_119,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,0,0,0,0.0,0,0,0.0,0.0
BM25,conv-26_qa_12,test,2,Temporal,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,1,1,1.0,0.0
BM25,conv-26_qa_120,test,4,Single-Hop,full_rank_top100,419,100,0.7613365155131265,1,1,1,1,1.0,0,0,0.0,1.0
