method,method_group,scope,n,R@1,R@5,R@10,MRR,rF1,rEM,WrongAbstention,prediction_artifact,ranking_artifact,prediction_sha256,ranking_sha256,evaluator_sha256,query_id_sha256,api_called,reaggregation_source,status,notes
BM25,weak_baseline,canonical_cat1_4,1540,0.2649,NA,0.5619,0.36,0.2648,0.1539,0.5929,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
Dense-bge,weak_baseline,canonical_cat1_4,1540,0.3419,NA,0.7009,0.4534,0.3482,0.1831,0.4539,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
Dense+GlobalKG,kg_baseline,canonical_cat1_4,1540,0.3872,NA,0.7095,0.4851,0.3222,0.1701,0.4877,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
Dense+QueryKG,kg_baseline,canonical_cat1_4,1540,0.3585,NA,0.7185,0.4724,0.3516,0.1877,0.4494,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
BM25_compact,weak_baseline,canonical_cat1_4,1540,0.4273,NA,0.6734,0.5083,0.3027,0.1721,0.5286,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
RRF_raw,rrf_baseline,canonical_cat1_4,1540,0.3539,NA,0.7409,0.4763,0.3542,0.1968,0.4552,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
RRF_compact,rrf_baseline,canonical_cat1_4,1540,0.4279,NA,0.7857,0.5432,0.3666,0.2065,0.4344,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,reports/locomo_new_methods_reader_legacy/new_methods_reader_overall.csv,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,104d5da797e1c4448927c0667e75494e1e956190445b8ea391ec2486e199df42,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,REAGGREGATED_AGGREGATE_ONLY_NO_PER_QUERY,Only overall aggregate exists. No per-query predictions to verify/refilter.
ZScore-Raw,representation_ablation,canonical_cat1_4,1540,NA,NA,NA,NA,NA,NA,NA,NONE,NONE,NA,NA,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,NO_1540_READER_PREDICTIONS_AVAILABLE,NO_1540_READER_PREDICTIONS_AVAILABLE,"P3 reader eval only for heldout 1150, not canonical 1540. Cannot recompute."
ZScore-RawSummary,representation_ablation,canonical_cat1_4,1540,NA,NA,NA,NA,NA,NA,NA,NONE,NONE,NA,NA,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,NO_1540_READER_PREDICTIONS_AVAILABLE,NO_1540_READER_PREDICTIONS_AVAILABLE,"P3 reader eval only for heldout 1150, not canonical 1540. Cannot recompute."
ZScore-RawTriples,representation_ablation,canonical_cat1_4,1540,NA,NA,NA,NA,NA,NA,NA,NONE,NONE,NA,NA,NA,23c8a298433852f42149fc3aefa2da9cffc55eadbb311508f0254b7c19a76f35,False,NO_1540_READER_PREDICTIONS_AVAILABLE,NO_1540_READER_PREDICTIONS_AVAILABLE,"P3 reader eval only for heldout 1150, not canonical 1540. Cannot recompute."
