method,setting,outcome,count,denominator,rate
BM25,b_category,Correct_Cat5_abstention,392,1982,0.1977800201816347
BM25,b_category,Correct_or_partial_answer,908,1982,0.4581231079717457
BM25,b_category,Type1_Retrieval_miss,282,1982,0.14228052472250252
BM25,b_category,Type2_Ranking_error,190,1982,0.0958627648839556
BM25,b_category,Type4_Reader_failure,156,1982,0.07870837537840565
BM25,b_category,Type5_Cat5_leakage,54,1982,0.027245206861755803
BM25,b_category,Type3_structured_extraction_audit_flag,240,1982,0.12108980827447023
Dense-bge,b_category,Correct_Cat5_abstention,389,1982,0.19626639757820383
Dense-bge,b_category,Correct_or_partial_answer,1119,1982,0.5645812310797175
Dense-bge,b_category,Type1_Retrieval_miss,44,1982,0.022199798183652877
Dense-bge,b_category,Type2_Ranking_error,208,1982,0.10494450050454086
Dense-bge,b_category,Type4_Reader_failure,165,1982,0.08324924318869828
Dense-bge,b_category,Type5_Cat5_leakage,57,1982,0.02875882946518668
Dense-bge,b_category,Type3_structured_extraction_audit_flag,240,1982,0.12108980827447023
Dense+GlobalKG,b_category,Correct_Cat5_abstention,392,1982,0.1977800201816347
Dense+GlobalKG,b_category,Correct_or_partial_answer,1117,1982,0.5635721493440968
Dense+GlobalKG,b_category,Type1_Retrieval_miss,43,1982,0.021695257315842584
Dense+GlobalKG,b_category,Type2_Ranking_error,182,1982,0.09182643794147326
Dense+GlobalKG,b_category,Type4_Reader_failure,194,1982,0.09788092835519677
Dense+GlobalKG,b_category,Type5_Cat5_leakage,54,1982,0.027245206861755803
Dense+GlobalKG,b_category,Type3_structured_extraction_audit_flag,240,1982,0.12108980827447023
RRF_compact,b_category,Correct_Cat5_abstention,387,1982,0.19525731584258324
RRF_compact,b_category,Correct_or_partial_answer,1138,1982,0.574167507568113
RRF_compact,b_category,Type1_Retrieval_miss,66,1982,0.033299697275479316
RRF_compact,b_category,Type2_Ranking_error,143,1982,0.07214934409687185
RRF_compact,b_category,Type4_Reader_failure,189,1982,0.09535822401614531
RRF_compact,b_category,Type5_Cat5_leakage,59,1982,0.029767911200807264
RRF_compact,b_category,Type3_structured_extraction_audit_flag,240,1982,0.12108980827447023
ZScore-Raw,b_category,Correct_Cat5_abstention,388,1982,0.19576185671039353
ZScore-Raw,b_category,Correct_or_partial_answer,1130,1982,0.5701311806256307
ZScore-Raw,b_category,Type1_Retrieval_miss,68,1982,0.034308779011099896
ZScore-Raw,b_category,Type2_Ranking_error,154,1982,0.07769929364278506
ZScore-Raw,b_category,Type4_Reader_failure,184,1982,0.09283551967709384
ZScore-Raw,b_category,Type5_Cat5_leakage,58,1982,0.029263370332996974
ZScore-Raw,b_category,Type3_structured_extraction_audit_flag,240,1982,0.12108980827447023
ZScore-RawERK,b_category,Correct_Cat5_abstention,383,1982,0.19323915237134207
ZScore-RawERK,b_category,Correct_or_partial_answer,1153,1982,0.5817356205852674
ZScore-RawERK,b_category,Type1_Retrieval_miss,52,1982,0.026236125126135216
ZScore-RawERK,b_category,Type2_Ranking_error,138,1982,0.06962663975782038
ZScore-RawERK,b_category,Type4_Reader_failure,193,1982,0.09737638748738647
ZScore-RawERK,b_category,Type5_Cat5_leakage,63,1982,0.031786074672048435
ZScore-RawERK,b_category,Type3_structured_extraction_audit_flag,248,1982,0.12512613521695257
