review_type,confirmed_error_type,review_status,count
Type1_Retrieval_miss,Type1_dual_branch_retrieval_miss,reviewed_by_codex_evidence_based,11
Type1_Retrieval_miss,Type1_embedding_mismatch,reviewed_by_codex_evidence_based,3
Type1_Retrieval_miss,Type1_keyword_or_lexical_miss,reviewed_by_codex_evidence_based,6
Type2_Ranking_error,Type2_base_ranker_top10_cutoff,reviewed_by_codex_evidence_based,6
Type2_Ranking_error,Type2_fusion_demotion,reviewed_by_codex_evidence_based,2
Type2_Ranking_error,Type2_fusion_failed_to_promote,reviewed_by_codex_evidence_based,12
Type3_Structured_extraction_error_audit,Not_an_error_structured_coverage_gap_noncausal,reviewed_by_codex_evidence_based,13
Type3_Structured_extraction_error_audit,Type3_probable_structured_coverage_gap_cofactor,needs_secondary_review,6
Type3_Structured_extraction_error_audit,Type3_structured_representation_regression,reviewed_by_codex_evidence_based,1
Type4_Reader_failure,Metric_false_negative_not_reader_failure,reviewed_by_codex_evidence_based,5
Type4_Reader_failure,Type4_reader_failure_confirmed,reviewed_by_codex_evidence_based,12
Type4_Reader_failure,evidence_or_annotation_insufficient,needs_secondary_review,3
Type5_Cat5_leakage,Type5_Cat5_leakage_confirmed,reviewed_by_codex_evidence_based,20
