method,normalization,formula,alpha,rrf_k,split,query_count,R1,R5,R10,MRR,artifact_path,manifest_path,code_path,status,official,notes
RawScore_Linear,none,alpha*raw_Dense+(1-alpha)*raw_BM25,0.9,,dev_390,390,0.3744,,0.6718,0.4708,reports/p2_fusion_comparison/dev_parameter_grid.csv,,03_src/memory/p2_fusion_final_v4.py,REJECTED_BASELINE,no,
Equal_RRF,rank,0.5/(k+rank_Dense)+0.5/(k+rank_BM25),0.5,10,dev_390,390,0.4026,,0.7744,0.5121,reports/p2_fusion_comparison/dev_parameter_grid.csv,,03_src/memory/p2_fusion_final_v4.py,PILOT_BASELINE,no,Dev best. Used as retrieval baseline. Superseded by ZScore-RawERK.
Equal_RRF,rank,,0.5,10,test_1150,1150,0.3991,,0.7843,0.5201,reports/p2_fusion_comparison/test_fusion_overall.csv,,,PILOT_BASELINE,no,
Weighted_RRF,rank,0.6/(k+rank_Dense)+0.4/(k+rank_BM25),0.6,10,dev_390,390,0.4077,,0.7538,0.5182,reports/p2_fusion_comparison/dev_parameter_grid.csv,,03_src/memory/p2_fusion_final_v4.py,PILOT_BASELINE,no,"Dev best among alpha=0.0-1.0 with k=10,30,60,100."
Weighted_RRF,rank,,0.6,10,test_1150,1150,0.3948,,0.7896,0.5222,reports/p2_fusion_comparison/test_fusion_overall.csv,,,PILOT_BASELINE,no,
MinMax_Linear,minmax,0.6*mm(Dense)+0.4*mm(BM25),0.6,,dev_390,390,0.4205,,0.741,0.5279,reports/p2_fusion_comparison/dev_parameter_grid.csv,,03_src/memory/p2_fusion_final_v4.py,PILOT_BASELINE,no,Dev best alpha=0.6.
MinMax_Linear,minmax,,0.6,,test_1150,1150,0.4174,,0.7861,0.5383,reports/p2_fusion_comparison/test_fusion_overall.csv,,,PILOT_BASELINE,no,
ZScore_Linear_P2,zscore,0.6*z(Dense)+0.4*z(BM25),0.6,,test_1150,1150,0.4217,,0.7887,0.5426,reports/p2_fusion_comparison/test_fusion_overall.csv,,03_src/memory/p2_fusion_final_v4.py,OFFICIAL_SELECTED,yes,P2 test fusion comparison result.
ZScore_Linear_P3_RawERK,zscore,0.6*z(Dense)+0.4*z(BM25_RawERK),0.6,,test_1150,1150,,,0.807,0.5462,05_reports/p3_reader_alignment/config_ZScore_RawERK.json,05_reports/p3_reader_alignment/retrieval_gate.csv,04_experiments/run_p3_raw_representations.py:243,OFFICIAL_SELECTED,yes,Frozen P3 RawERK anchor. Official ZScore-RawERK retrieval MRR. Serves as reader experiment input.
Legacy_RRF_mixed_scope,rank,"RRF(0.5,k=60) BM25_raw+Dense_raw",0.5,60,mixed_1986,1986,0.3539,,,,reports/p2_fusion_reader_final/legacy_summary_quarantine.md,reports/p2_fusion_reader_final/corrected_cat1_4_anchor_table.csv,03_src/memory/archive_legacy/failed_fusion/,QUARANTINED,no,Mixed 1986 queries incl cat5. Correct cat1-4 R@1=0.3416.
KG_WRRF_A,rank,WRRF(BM25+Dense+KG),0.25,60,dev,,,,,,reports/locomo_retrieval_kg_enriched_memory_final_v2/weighted_rrf_overall.csv,,03_src/memory/archive_legacy/kg_aware_rrf_legacy/,SUPERSEDED,no,
