method,setting,setting_label,category,category_name,n,correct,j_score,j_percent
BM25,a_unified,Cat.✗,4,Single-Hop,841,491,0.5838287752675386,58.382877526753866
BM25,a_unified,Cat.✗,1,Multi-Hop,282,81,0.2872340425531915,28.72340425531915
BM25,a_unified,Cat.✗,2,Temporal,321,137,0.42679127725856697,42.679127725856695
BM25,a_unified,Cat.✗,3,Open-Domain,96,26,0.2708333333333333,27.083333333333332
BM25,a_unified,Cat.✗,5,Adversarial,446,168,0.37668161434977576,37.66816143497758
BM25,a_unified,Cat.✗,Overall,Overall,1986,903,0.45468277945619334,45.468277945619334
BM25,b_category,Cat.✓,4,Single-Hop,841,489,0.5814506539833532,58.14506539833531
BM25,b_category,Cat.✓,1,Multi-Hop,282,83,0.29432624113475175,29.43262411347518
BM25,b_category,Cat.✓,2,Temporal,321,162,0.5046728971962616,50.467289719626166
BM25,b_category,Cat.✓,3,Open-Domain,96,32,0.3333333333333333,33.333333333333336
BM25,b_category,Cat.✓,5,Adversarial,446,7,0.01569506726457399,1.5695067264573992
BM25,b_category,Cat.✓,Overall,Overall,1986,773,0.3892245720040282,38.92245720040282
Dense-bge,a_unified,Cat.✗,4,Single-Hop,841,611,0.7265160523186682,72.65160523186682
Dense-bge,a_unified,Cat.✗,1,Multi-Hop,282,150,0.5319148936170213,53.191489361702125
Dense-bge,a_unified,Cat.✗,2,Temporal,321,169,0.5264797507788161,52.64797507788162
Dense-bge,a_unified,Cat.✗,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense-bge,a_unified,Cat.✗,5,Adversarial,446,158,0.3542600896860987,35.426008968609864
Dense-bge,a_unified,Cat.✗,Overall,Overall,1986,1129,0.5684793554884189,56.847935548841896
Dense-bge,b_category,Cat.✓,4,Single-Hop,841,615,0.7312722948870393,73.12722948870392
Dense-bge,b_category,Cat.✓,1,Multi-Hop,282,153,0.5425531914893617,54.255319148936174
Dense-bge,b_category,Cat.✓,2,Temporal,321,205,0.6386292834890965,63.862928348909655
Dense-bge,b_category,Cat.✓,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense-bge,b_category,Cat.✓,5,Adversarial,446,4,0.008968609865470852,0.8968609865470852
Dense-bge,b_category,Cat.✓,Overall,Overall,1986,1018,0.5125881168177241,51.25881168177241
RRF_compact,a_unified,Cat.✗,4,Single-Hop,841,650,0.7728894173602854,77.28894173602853
RRF_compact,a_unified,Cat.✗,1,Multi-Hop,282,157,0.5567375886524822,55.673758865248224
RRF_compact,a_unified,Cat.✗,2,Temporal,321,174,0.5420560747663551,54.205607476635514
RRF_compact,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
RRF_compact,a_unified,Cat.✗,5,Adversarial,446,161,0.3609865470852018,36.09865470852018
RRF_compact,a_unified,Cat.✗,Overall,Overall,1986,1181,0.594662638469285,59.4662638469285
RRF_compact,b_category,Cat.✓,4,Single-Hop,841,652,0.7752675386444708,77.52675386444709
RRF_compact,b_category,Cat.✓,1,Multi-Hop,282,158,0.5602836879432624,56.02836879432624
RRF_compact,b_category,Cat.✓,2,Temporal,321,211,0.6573208722741433,65.73208722741433
RRF_compact,b_category,Cat.✓,3,Open-Domain,96,44,0.4583333333333333,45.833333333333336
RRF_compact,b_category,Cat.✓,5,Adversarial,446,5,0.011210762331838564,1.1210762331838564
RRF_compact,b_category,Cat.✓,Overall,Overall,1986,1070,0.5387713997985901,53.87713997985901
Dense+GlobalKG,a_unified,Cat.✗,4,Single-Hop,841,616,0.7324613555291319,73.2461355529132
Dense+GlobalKG,a_unified,Cat.✗,1,Multi-Hop,282,144,0.5106382978723404,51.06382978723404
Dense+GlobalKG,a_unified,Cat.✗,2,Temporal,321,168,0.5233644859813084,52.33644859813084
Dense+GlobalKG,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
Dense+GlobalKG,a_unified,Cat.✗,5,Adversarial,446,148,0.33183856502242154,33.18385650224215
Dense+GlobalKG,a_unified,Cat.✗,Overall,Overall,1986,1115,0.5614300100704934,56.14300100704934
Dense+GlobalKG,b_category,Cat.✓,4,Single-Hop,841,614,0.7300832342449465,73.00832342449465
Dense+GlobalKG,b_category,Cat.✓,1,Multi-Hop,282,146,0.5177304964539007,51.773049645390074
Dense+GlobalKG,b_category,Cat.✓,2,Temporal,321,212,0.660436137071651,66.04361370716511
Dense+GlobalKG,b_category,Cat.✓,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense+GlobalKG,b_category,Cat.✓,5,Adversarial,446,6,0.013452914798206279,1.345291479820628
Dense+GlobalKG,b_category,Cat.✓,Overall,Overall,1986,1019,0.5130916414904331,51.309164149043305
ZScore-Raw,a_unified,Cat.✗,4,Single-Hop,841,635,0.7550535077288941,75.50535077288941
ZScore-Raw,a_unified,Cat.✗,1,Multi-Hop,282,148,0.524822695035461,52.4822695035461
ZScore-Raw,a_unified,Cat.✗,2,Temporal,321,173,0.5389408099688473,53.89408099688473
ZScore-Raw,a_unified,Cat.✗,3,Open-Domain,96,45,0.46875,46.875
ZScore-Raw,a_unified,Cat.✗,5,Adversarial,446,162,0.3632286995515695,36.32286995515695
ZScore-Raw,a_unified,Cat.✗,Overall,Overall,1986,1163,0.5855991943605237,58.55991943605237
ZScore-Raw,b_category,Cat.✓,4,Single-Hop,841,636,0.7562425683709869,75.6242568370987
ZScore-Raw,b_category,Cat.✓,1,Multi-Hop,282,148,0.524822695035461,52.4822695035461
ZScore-Raw,b_category,Cat.✓,2,Temporal,321,211,0.6573208722741433,65.73208722741433
ZScore-Raw,b_category,Cat.✓,3,Open-Domain,96,40,0.4166666666666667,41.666666666666664
ZScore-Raw,b_category,Cat.✓,5,Adversarial,446,3,0.006726457399103139,0.672645739910314
ZScore-Raw,b_category,Cat.✓,Overall,Overall,1986,1038,0.5226586102719033,52.26586102719033
ZScore-RawERK,a_unified,Cat.✗,4,Single-Hop,841,648,0.7705112960760999,77.05112960761
ZScore-RawERK,a_unified,Cat.✗,1,Multi-Hop,282,157,0.5567375886524822,55.673758865248224
ZScore-RawERK,a_unified,Cat.✗,2,Temporal,321,178,0.5545171339563862,55.45171339563863
ZScore-RawERK,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
ZScore-RawERK,a_unified,Cat.✗,5,Adversarial,446,157,0.35201793721973096,35.2017937219731
ZScore-RawERK,a_unified,Cat.✗,Overall,Overall,1986,1179,0.5936555891238671,59.36555891238671
ZScore-RawERK,b_category,Cat.✓,4,Single-Hop,841,650,0.7728894173602854,77.28894173602853
ZScore-RawERK,b_category,Cat.✓,1,Multi-Hop,282,158,0.5602836879432624,56.02836879432624
ZScore-RawERK,b_category,Cat.✓,2,Temporal,321,217,0.67601246105919,67.601246105919
ZScore-RawERK,b_category,Cat.✓,3,Open-Domain,96,44,0.4583333333333333,45.833333333333336
ZScore-RawERK,b_category,Cat.✓,5,Adversarial,446,5,0.011210762331838564,1.1210762331838564
ZScore-RawERK,b_category,Cat.✓,Overall,Overall,1986,1074,0.540785498489426,54.0785498489426
