method,setting,setting_label,single_hop_j,multi_hop_j,temporal_j,open_domain_j,adversarial_j,overall_j
BM25,a_unified,Cat.✗,58.382877526753866,28.72340425531915,42.679127725856695,27.083333333333332,37.66816143497758,45.468277945619334
BM25,b_category,Cat.✓,58.14506539833531,29.43262411347518,50.467289719626166,33.333333333333336,1.5695067264573992,38.92245720040282
Dense-bge,a_unified,Cat.✗,72.65160523186682,53.191489361702125,52.64797507788162,42.708333333333336,35.426008968609864,56.847935548841896
Dense-bge,b_category,Cat.✓,73.12722948870392,54.255319148936174,63.862928348909655,42.708333333333336,0.8968609865470852,51.25881168177241
RRF_compact,a_unified,Cat.✗,77.28894173602853,55.673758865248224,54.205607476635514,40.625,36.09865470852018,59.4662638469285
RRF_compact,b_category,Cat.✓,77.52675386444709,56.02836879432624,65.73208722741433,45.833333333333336,1.1210762331838564,53.87713997985901
Dense+GlobalKG,a_unified,Cat.✗,73.2461355529132,51.06382978723404,52.33644859813084,40.625,33.18385650224215,56.14300100704934
Dense+GlobalKG,b_category,Cat.✓,73.00832342449465,51.773049645390074,66.04361370716511,42.708333333333336,1.345291479820628,51.309164149043305
ZScore-Raw,a_unified,Cat.✗,75.50535077288941,52.4822695035461,53.89408099688473,46.875,36.32286995515695,58.55991943605237
ZScore-Raw,b_category,Cat.✓,75.6242568370987,52.4822695035461,65.73208722741433,41.666666666666664,0.672645739910314,52.26586102719033
ZScore-RawERK,a_unified,Cat.✗,77.05112960761,55.673758865248224,55.45171339563863,40.625,35.2017937219731,59.36555891238671
ZScore-RawERK,b_category,Cat.✓,77.28894173602853,56.02836879432624,67.601246105919,45.833333333333336,1.1210762331838564,54.0785498489426
