cell,concurrency,repetitions,measured_operations,throughput_median_ops_s,throughput_min_ops_s,throughput_max_ops_s,latency_p50_median_ms,latency_p95_median_ms,latency_p99_median_ms,fresh_hit_at_10_mean
cassandra-base,1,3,15000,71.97734138308421,69.85312978504044,72.40030368856107,10.0166,56.52358,77.69200000000002,0.7453333333333333
cassandra-materialized,1,3,15000,73.62136203082976,72.85796051497988,74.56713005521944,10.07915,46.460725000000046,68.23556100000008,0.7453333333333333
neo4j-materialized,1,3,15000,71.06064418268157,69.94998591379405,71.1120496638275,13.09825,27.02951000000001,44.234076000000016,0.7453333333333333
neo4j-native,1,3,15000,69.6144557078386,68.68250987003344,70.9076099764786,13.30555,28.361495,45.622631,0.7453333333333333
cassandra-base,8,3,15000,238.47704324842857,237.14495759656637,241.37700328014495,19.520850000000003,109.33792500000001,222.11950300000038,0.7453333333333333
cassandra-materialized,8,3,15000,234.07349103464773,232.3671078334491,237.3799343567417,19.771749999999997,113.98282000000002,252.41679900000045,0.7453333333333333
neo4j-materialized,8,3,15000,32.2482047419406,31.84519621103813,32.25647837142691,253.50725,331.01285000000007,381.00996500000014,0.7453333333333333
neo4j-native,8,3,15000,32.768575047141354,32.58424744342635,33.47530632538779,250.96335,322.8944850000001,372.8225690000001,0.7453333333333333
cassandra-base,16,3,15000,236.86790591391997,232.57358458360653,237.30223955116497,37.6319,283.4087400000003,556.0331790000007,0.7453333333333333
cassandra-materialized,16,3,15000,236.10630333249117,233.69339705869274,236.3643017924721,36.76205,308.47520000000003,561.8033350000001,0.7453333333333333
neo4j-materialized,16,3,15000,32.09819737328026,31.540380773543333,32.15991219440772,517.3067,635.07497,733.7334450000005,0.7453333333333333
neo4j-native,16,3,15000,32.08123761903774,31.866200889150456,32.26478229361527,517.91885,638.6144650000001,739.0301950000002,0.7453333333333333
cassandra-base,32,3,15000,234.18523348428627,227.1714934605603,235.7390276368288,74.43995000000001,652.3310300000002,1045.7060550000003,0.7453333333333333
cassandra-materialized,32,3,15000,230.55782733177418,223.25267121894942,234.3786720548503,74.78485,670.1372250000003,1040.8603950000004,0.7453333333333333
neo4j-materialized,32,3,15000,31.797554565320816,31.13486690107872,31.89227532358663,1058.06395,1254.52106,1443.265008,0.7453333333333333
neo4j-native,32,3,15000,31.625193728122973,31.464702286869386,31.675101520280794,1062.4557,1259.4799,1447.6437670000003,0.7453333333333333
cassandra-base,64,3,15000,245.15325037190485,237.77281249813618,248.0839508953179,167.3846,977.2514550000005,1698.9790390000012,0.7453333333333333
cassandra-materialized,64,3,15000,243.8564084492955,238.83386366172658,245.92373538866192,178.36685,913.5177350000002,1570.3232480000001,0.7453333333333333
neo4j-materialized,64,3,15000,30.50683753594257,30.395938695060185,30.533586938302594,2210.849,2593.84932,2978.266984000001,0.7453333333333333
neo4j-native,64,3,15000,30.7580126122403,30.672680776973504,31.056785585211838,2197.61825,2550.711045,2945.7453069999997,0.7453333333333333
