op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r0_measured_00015,cassandra-base,8,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,7.3795,27.4812,81.6272,405.3684,23.7436,8.1184,1.5916,0.4192,439.3139,1,1,681
r0_measured_00024,cassandra-base,8,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,27.742,36.0793,65.4342,242.7494,7.0395,1.9016,0.2888,0.3909,,0,1,367
r0_measured_00070,cassandra-base,8,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,6.8991,20.3245,69.0873,273.1555,17.9833,7.8917,0.8885,0.4172,300.4327,1,1,677
r0_measured_00094,cassandra-base,8,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,7.1297,36.6935,75.2233,203.1443,8.2899,4.126,0.366,0.3855,216.3743,1,1,509
r0_measured_00097,cassandra-base,8,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,3.4979,12.8591,70.6541,224.1827,25.2736,6.426,1.1003,0.3944,,0,1,688
r0_measured_00115,cassandra-base,8,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,5.5077,14.187,37.3966,119.741,4.4249,1.1696,1.4654,0.5702,127.4341,1,1,416
r0_measured_00132,cassandra-base,8,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,3.8467,9.0196,33.7825,116.8285,3.5541,20.0295,1.614,0.3939,,0,1,418
r0_measured_00143,cassandra-base,8,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,4.275,15.4511,48.7487,111.8119,12.994,10.7736,4.4338,0.4567,140.5519,1,1,681
r0_measured_00157,cassandra-base,8,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,3.0499,10.2489,42.2815,50.1032,14.958,4.004,0.4127,0.3598,69.8981,1,1,566
r0_measured_00190,cassandra-base,8,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,11.2146,24.0903,94.9116,189.5682,6.895,1.8808,0.5659,0.3922,199.373,1,1,565
r0_measured_00196,cassandra-base,8,0,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,7.7728,44.0597,85.1647,195.4606,8.488,3.1146,0.5304,0.4009,,0,1,686
r0_measured_00205,cassandra-base,8,0,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,9.8225,25.014,77.3553,205.0394,6.1878,39.2561,0.9399,0.3864,251.8857,1,1,674
r0_measured_00209,cassandra-base,8,0,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,2.4904,9.9781,40.8544,125.204,10.8595,3.3756,0.5937,0.4197,,0,1,674
