op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_00050,cassandra-materialized,1,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,7.1165,17.4475,38.5362,41.1055,8.435,0.6308,0.3562,0.3437,50.939,1,1,566
r2_measured_00069,cassandra-materialized,1,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,4.6935,13.2407,33.8489,36.6232,8.4095,0.6456,0.4222,0.3681,,0,1,626
r2_measured_00104,cassandra-materialized,1,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,6.9716,21.2147,39.4245,41.7064,8.6897,0.5045,0.316,0.3339,51.6033,1,1,508
r2_measured_00142,cassandra-materialized,1,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,6.0429,17.3595,51.6218,54.8865,12.3778,0.7231,0.4602,0.4338,68.9649,1,1,628
r2_measured_00147,cassandra-materialized,1,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,7.3563,17.0114,43.4854,47.5575,11.7474,0.715,0.4689,0.3832,,0,1,679
r2_measured_00165,cassandra-materialized,1,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,6.1143,15.9222,39.3827,42.2228,6.1749,0.6139,0.3922,0.3304,49.8009,1,1,679
r2_measured_00166,cassandra-materialized,1,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,5.433,21.1345,37.0402,38.9008,10.8317,0.4496,0.2667,0.2948,50.7938,1,1,509
r2_measured_00173,cassandra-materialized,1,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,15.8544,30.2225,54.0908,57.218,11.8522,0.6709,0.42,0.3468,,0,1,686
r2_measured_00182,cassandra-materialized,1,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,4.9295,12.8878,37.0485,39.6066,10.8597,0.6542,0.3971,0.3309,51.915,1,1,661
r2_measured_00216,cassandra-materialized,1,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,4.7994,12.9928,42.0533,45.0283,10.471,0.7171,0.4346,0.3621,,0,1,629
r2_measured_00237,cassandra-materialized,1,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,9.2009,19.1598,60.4292,63.4176,15.9487,0.6953,0.5551,0.3609,81.1059,1,1,672
r2_measured_00247,cassandra-materialized,1,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,4.1458,21.7897,40.3936,43.3352,12.4243,0.5095,0.3587,0.3202,57.0036,1,1,680
r2_measured_00270,cassandra-materialized,1,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,17.0846,29.2308,48.3747,50.3836,25.9121,0.5584,0.2956,0.3059,77.5162,1,1,509
r2_measured_00278,cassandra-materialized,1,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,5.9586,17.6012,36.5907,39.6474,8.7053,0.711,0.4298,0.4231,,0,1,624
r2_measured_00280,cassandra-materialized,1,2,lr000011::conv-41_qa_44,lr000011::conv-41,lr000011::conv-41_session_25_D25:2,9.9817,20.1746,47.8423,50.4275,14.4713,0.6155,0.3849,0.3299,66.2977,1,1,662
r2_measured_00329,cassandra-materialized,1,2,lr000008::conv-44_qa_22,lr000008::conv-44,lr000008::conv-44_session_14_D14:1,6.942,16.3971,38.4064,41.0675,8.5593,0.7548,0.6045,0.5639,51.6545,1,1,674
