op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r0_measured_00015,neo4j-materialized,16,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,58.5142,71.1983,105.7969,201.1666,573.383,4.0704,0.9355,0.368,780.0035,1,1,681
r0_measured_00024,neo4j-materialized,16,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,3.9069,9.1422,26.6855,87.5882,242.9105,1.1286,0.8611,0.3587,,0,1,367
r0_measured_00070,neo4j-materialized,16,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,6.4566,9.0154,40.8191,156.0964,525.8941,4.9113,0.5259,0.3333,687.8249,1,1,677
r0_measured_00094,neo4j-materialized,16,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,4.1141,7.1467,30.0429,98.2856,365.1408,7.0638,0.5899,0.3278,471.4697,1,1,509
r0_measured_00097,neo4j-materialized,16,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,4.9146,9.0063,34.9629,146.006,502.3965,12.0949,0.7459,0.3862,,0,1,688
r0_measured_00115,neo4j-materialized,16,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,4.8395,10.6151,33.0362,106.3391,290.0648,0.9087,0.2557,0.3218,397.9458,1,1,416
r0_measured_00132,neo4j-materialized,16,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,5.8144,8.2322,33.7897,110.6962,334.6374,1.0157,0.4281,0.3419,,0,1,418
r0_measured_00143,neo4j-materialized,16,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,4.0084,6.5776,34.4072,139.167,508.9152,7.8706,0.9832,0.3296,657.3371,1,1,681
r0_measured_00157,neo4j-materialized,16,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,3.4739,5.9731,36.0231,128.8948,443.4706,2.4494,0.822,0.3575,576.0601,1,1,566
r0_measured_00190,neo4j-materialized,16,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,4.8679,7.1423,37.5833,117.0202,488.0548,7.9197,0.7193,0.3486,614.1412,1,1,565
r0_measured_00196,neo4j-materialized,16,0,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,3.5078,5.5711,30.6995,143.3217,550.2529,5.428,0.7368,0.3641,,0,1,686
r0_measured_00205,neo4j-materialized,16,0,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,4.1209,7.1094,37.4678,140.4101,507.6336,10.4758,1.1354,0.4057,660.1434,1,1,673
r0_measured_00209,neo4j-materialized,16,0,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,4.0039,6.5152,39.076,151.1109,484.5684,4.1325,0.5764,0.3514,,0,1,674
r0_measured_00241,neo4j-materialized,16,0,lr000000::conv-48_qa_133,lr000000::conv-48,lr000000::conv-48_session_13_D13:5,4.937,6.652,31.3014,140.5488,545.9518,2.556,0.4412,0.3525,,0,1,680
r0_measured_00254,neo4j-materialized,16,0,lr000013::conv-44_qa_58,lr000013::conv-44,lr000013::conv-44_session_25_D25:14,3.2023,5.8369,36.7651,129.6745,488.8297,3.706,0.5464,0.4542,623.2931,1,1,674
r0_measured_00281,neo4j-materialized,16,0,lr000000::conv-48_qa_80,lr000000::conv-48,lr000000::conv-48_session_10_D10:20,3.6758,6.0158,37.5004,147.0326,542.9566,4.2042,0.6184,0.4037,695.2996,1,1,681
r0_measured_00296,neo4j-materialized,16,0,lr000015::conv-41_qa_61,lr000015::conv-41,lr000015::conv-41_session_31_D31:2,5.484,7.2296,40.0986,172.6431,527.392,4.8741,0.5008,0.3712,705.8425,1,1,661
r0_measured_00379,neo4j-materialized,16,0,lr000007::conv-43_qa_121,lr000007::conv-43,lr000007::conv-43_session_14_D14:7,4.2609,8.7093,42.3381,159.9136,504.0509,7.3074,1.0617,0.4871,672.9187,1,1,678
r0_measured_00380,neo4j-materialized,16,0,lr000004::conv-30_qa_56,lr000004::conv-30,lr000004::conv-30_session_6_D6:15,3.4505,7.2505,22.8119,86.0808,282.8302,1.6116,0.2599,0.3709,,0,1,366
