op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_00050,neo4j-native,16,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,3.9978,6.6774,38.231,135.0703,385.0593,10.757,0.5747,0.333,531.8514,1,1,566
r2_measured_00069,neo4j-native,16,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,5.6498,8.7228,40.0474,147.1806,444.9293,6.0072,1.6582,0.3645,,0,1,626
r2_measured_00104,neo4j-native,16,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,5.8372,8.6547,81.7168,172.4673,405.988,6.7855,0.3375,0.3368,585.9764,1,1,508
r2_measured_00142,neo4j-native,16,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,3.0432,4.9336,29.8763,169.4087,447.6445,7.4298,0.5451,0.3226,625.4168,1,1,628
r2_measured_00147,neo4j-native,16,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,5.5109,7.9339,43.8121,156.6683,523.0197,8.8228,1.5022,0.3467,,0,1,679
r2_measured_00165,neo4j-native,16,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,5.6637,9.1214,37.0672,162.4968,524.1449,6.4618,1.073,0.3638,694.6126,1,1,679
r2_measured_00166,neo4j-native,16,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,5.635,8.0848,29.5937,103.5275,402.2402,4.1489,0.498,0.3731,510.8575,1,1,509
r2_measured_00173,neo4j-native,16,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,3.8546,6.9683,38.5656,160.6862,553.8914,4.13,0.8483,0.3475,,0,1,686
r2_measured_00182,neo4j-native,16,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,4.0486,6.2573,40.6693,151.8465,531.9365,8.635,0.8939,0.4543,693.8506,1,1,661
r2_measured_00216,neo4j-native,16,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,4.9279,9.1788,36.0881,155.386,496.5445,11.5849,0.5614,0.3654,,0,1,629
r2_measured_00237,neo4j-native,16,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,5.6058,11.5421,45.6618,163.8478,593.5928,8.6853,0.8235,0.4131,767.4565,1,1,672
r2_measured_00247,neo4j-native,16,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,4.646,8.2142,42.297,162.7236,616.1963,3.7004,0.7918,0.3257,783.8063,1,1,680
r2_measured_00270,neo4j-native,16,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,5.0295,7.9346,31.1959,123.1142,423.3338,9.8015,0.71,0.3878,557.4257,1,1,509
r2_measured_00278,neo4j-native,16,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,4.9059,8.8145,33.2165,166.8437,493.3133,7.2167,1.0026,0.351,,0,1,624
r2_measured_00280,neo4j-native,16,2,lr000011::conv-41_qa_44,lr000011::conv-41,lr000011::conv-41_session_25_D25:2,5.1832,8.0929,41.2074,172.3084,511.1783,6.6767,1.4831,0.4573,692.2039,1,1,662
r2_measured_00329,neo4j-native,16,2,lr000008::conv-44_qa_22,lr000008::conv-44,lr000008::conv-44_session_14_D14:1,3.3711,5.9435,35.8434,145.5973,604.1741,4.6104,0.6738,0.3695,755.5056,1,1,674
