design_pair,concurrency,cassandra_cell,neo4j_cell,fresh_hit_at_10_cassandra,fresh_hit_at_10_neo4j,fresh_hit_delta_cassandra_minus_neo4j,commit_ms_p50_cassandra,commit_ms_p50_neo4j,commit_ms_p50_neo_over_cass,commit_ms_p95_cassandra,commit_ms_p95_neo4j,commit_ms_p95_neo_over_cass,commit_ms_p99_cassandra,commit_ms_p99_neo4j,commit_ms_p99_neo_over_cass,rawerk_visible_ms_p50_cassandra,rawerk_visible_ms_p50_neo4j,rawerk_visible_ms_p50_neo_over_cass,rawerk_visible_ms_p95_cassandra,rawerk_visible_ms_p95_neo4j,rawerk_visible_ms_p95_neo_over_cass,rawerk_visible_ms_p99_cassandra,rawerk_visible_ms_p99_neo4j,rawerk_visible_ms_p99_neo_over_cass,dense_index_visible_ms_p50_cassandra,dense_index_visible_ms_p50_neo4j,dense_index_visible_ms_p50_neo_over_cass,dense_index_visible_ms_p95_cassandra,dense_index_visible_ms_p95_neo4j,dense_index_visible_ms_p95_neo_over_cass,dense_index_visible_ms_p99_cassandra,dense_index_visible_ms_p99_neo4j,dense_index_visible_ms_p99_neo_over_cass,end_to_end_attempt_ms_p50_cassandra,end_to_end_attempt_ms_p50_neo4j,end_to_end_attempt_ms_p50_neo_over_cass,end_to_end_attempt_ms_p95_cassandra,end_to_end_attempt_ms_p95_neo4j,end_to_end_attempt_ms_p95_neo_over_cass,end_to_end_attempt_ms_p99_cassandra,end_to_end_attempt_ms_p99_neo4j,end_to_end_attempt_ms_p99_neo_over_cass
base_vs_native,1,cassandra-base,neo4j-native,0.7453,0.7453,0.0,7.0321,4.0583,0.5771,13.2573,5.7567,0.4342,20.2091,8.1009,0.4009,26.5199,5.304,0.2,40.8102,7.206,0.1766,54.6047,9.363,0.1715,52.2527,27.6059,0.5283,76.7628,33.2546,0.4332,127.1208,38.1975,0.3005,62.1542,41.2677,0.664,91.8033,49.1841,0.5358,139.8232,55.0543,0.3937
base_vs_native,8,cassandra-base,neo4j-native,0.7453,0.7453,0.0,7.034,4.1559,0.5908,27.1697,5.7343,0.2111,74.3466,6.8293,0.0919,23.8526,6.3674,0.2669,92.6905,8.969,0.0968,120.7184,11.9716,0.0992,140.5553,86.4879,0.6153,290.3188,122.0452,0.4204,339.4063,144.4534,0.4256,167.9869,334.6468,1.9921,315.3879,423.0073,1.3412,356.3307,466.1987,1.3083
base_vs_native,16,cassandra-base,neo4j-native,0.7453,0.7453,0.0,11.3627,5.1673,0.4548,38.1188,30.6083,0.803,74.9349,36.4032,0.4858,38.995,8.9924,0.2306,104.1246,42.1196,0.4045,132.9773,53.1112,0.3994,377.6399,163.8434,0.4339,554.4531,563.1638,1.0157,618.6624,663.5891,1.0726,427.9209,706.2215,1.6504,600.9544,2573.2236,4.2819,667.6284,2866.4251,4.2934
base_vs_native,32,cassandra-base,neo4j-native,0.7453,0.7453,0.0,38.9772,5.8717,0.1506,185.214,9.9084,0.0535,414.3656,19.771,0.0477,136.2652,12.4855,0.0916,614.2743,20.7909,0.0338,835.06,39.7356,0.0476,929.8717,288.1096,0.3098,3252.5758,367.2008,0.1129,3821.5331,417.4418,0.1092,1016.8684,1376.4511,1.3536,3489.3872,1653.2546,0.4738,4097.6292,1926.7594,0.4702
base_vs_native,64,cassandra-base,neo4j-native,0.7453,0.7453,0.0,101.9013,9.4635,0.0929,216.875,18.8682,0.087,418.8943,37.3335,0.0891,358.7015,21.8269,0.0608,570.2859,43.0139,0.0754,771.679,81.6017,0.1057,1249.8096,572.8276,0.4583,1700.0644,722.5318,0.425,2150.0454,804.8226,0.3743,1433.9511,2755.0977,1.9213,1891.0582,3526.362,1.8648,2362.0572,3964.8974,1.6786
materialized,1,cassandra-materialized,neo4j-materialized,0.7453,0.7453,0.0,6.8563,3.8384,0.5598,15.3467,5.6676,0.3693,22.8256,6.4388,0.2821,17.1352,5.0351,0.2938,31.2841,7.1132,0.2274,44.8086,7.7728,0.1735,42.9108,27.4333,0.6393,73.7895,32.7716,0.4441,115.3403,34.997,0.3034,53.854,41.1875,0.7648,94.5083,48.7044,0.5153,131.1403,53.0898,0.4048
materialized,8,cassandra-materialized,neo4j-materialized,0.7453,0.7453,0.0,6.5705,4.0419,0.6152,25.5933,5.5994,0.2188,78.435,7.5241,0.0959,14.3735,6.2572,0.4353,41.845,8.5439,0.2042,94.1657,11.84,0.1257,132.2208,87.6702,0.6631,273.3884,129.2737,0.4729,336.245,160.6994,0.4779,161.9544,335.5201,2.0717,304.1205,420.0652,1.3812,366.7628,585.034,1.5951
materialized,16,cassandra-materialized,neo4j-materialized,0.7453,0.7453,0.0,10.9428,5.0793,0.4642,40.8589,31.82,0.7788,98.1096,36.6221,0.3733,24.1369,8.9636,0.3714,92.056,44.9379,0.4882,133.9525,60.8092,0.454,368.3973,165.7186,0.4498,556.0385,589.9253,1.0609,627.1963,699.8835,1.1159,420.3909,715.3479,1.7016,597.2728,2591.1258,4.3383,666.5763,2817.4991,4.2268
materialized,32,cassandra-materialized,neo4j-materialized,0.7453,0.7453,0.0,27.1863,5.7406,0.2112,93.5517,9.051,0.0967,170.3905,37.2317,0.2185,63.7698,11.8768,0.1862,175.4484,18.3649,0.1047,245.2415,57.2386,0.2334,820.387,283.2307,0.3452,1090.8139,367.5717,0.337,1478.2309,408.06,0.276,906.6957,1349.8166,1.4887,1162.9792,1613.1197,1.3871,1560.1937,1705.1028,1.0929
materialized,64,cassandra-materialized,neo4j-materialized,0.7453,0.7453,0.0,100.6062,9.0743,0.0902,239.8569,17.0967,0.0713,404.9643,32.7693,0.0809,230.1014,20.7359,0.0901,432.6173,39.6973,0.0918,572.7937,60.788,0.1061,1107.8796,554.1545,0.5002,1587.974,707.3891,0.4455,2002.3851,932.3569,0.4656,1299.4876,2707.1783,2.0833,1789.9373,3297.1364,1.842,2221.8766,4124.7556,1.8564
