cell,concurrency,events,hits,fresh_hit_at_10,projection_ok_rate,time_to_top10_observations,stale_or_missed_top10_rate,fresh_hit_at_10_within_50ms,fresh_hit_at_10_within_100ms,fresh_hit_at_10_within_250ms,fresh_hit_at_10_within_500ms,fresh_hit_at_10_within_1000ms,commit_ms_p50,commit_ms_p95,commit_ms_p99,rawerk_visible_ms_p50,rawerk_visible_ms_p95,rawerk_visible_ms_p99,sparse_index_visible_ms_p50,sparse_index_visible_ms_p95,sparse_index_visible_ms_p99,dense_index_visible_ms_p50,dense_index_visible_ms_p95,dense_index_visible_ms_p99,backend_commit_ms_p50,backend_commit_ms_p95,backend_commit_ms_p99,structured_view_after_commit_ms_p50,structured_view_after_commit_ms_p95,structured_view_after_commit_ms_p99,sparse_index_update_ms_p50,sparse_index_update_ms_p95,sparse_index_update_ms_p99,dense_index_update_ms_p50,dense_index_update_ms_p95,dense_index_update_ms_p99,candidate_fetch_ms_p50,candidate_fetch_ms_p95,candidate_fetch_ms_p99,sparse_scoring_ms_p50,sparse_scoring_ms_p95,sparse_scoring_ms_p99,dense_scoring_ms_p50,dense_scoring_ms_p95,dense_scoring_ms_p99,zscore_fusion_ms_p50,zscore_fusion_ms_p95,zscore_fusion_ms_p99,retrieval_after_dense_ms_p50,retrieval_after_dense_ms_p95,retrieval_after_dense_ms_p99,end_to_end_attempt_ms_p50,end_to_end_attempt_ms_p95,end_to_end_attempt_ms_p99,time_to_top10_ms_p50_hits_only,time_to_top10_ms_p95_hits_only,time_to_top10_ms_p99_hits_only
cassandra-base,1,750,559,0.7453,1.0,559,0.2547,0.0253,0.7173,0.7453,0.7453,0.7453,7.0321,13.2573,20.2091,26.5199,40.8102,54.6047,49.2802,73.4892,124.293,52.2527,76.7628,127.1208,7.0321,13.2573,20.2091,19.6146,30.1784,38.2089,22.3216,41.5431,95.9364,2.762,4.0492,5.3801,9.4406,16.6437,23.9531,0.6426,0.8572,1.043,0.4094,0.6368,1.6953,0.3651,0.5436,0.6758,11.0178,18.0346,25.498,62.1542,91.8033,139.8232,63.9534,92.0016,140.2317
cassandra-base,8,750,559,0.7453,1.0,559,0.2547,0.0,0.1053,0.6133,0.7453,0.7453,7.034,27.1697,74.3466,23.8526,92.6905,120.7184,67.7399,143.7277,168.2793,140.5553,290.3188,339.4063,7.034,27.1697,74.3466,14.6921,60.5455,101.6532,37.688,92.4125,127.8155,58.9784,202.8458,255.6182,10.9054,33.6025,91.8235,7.3296,34.8604,72.3485,0.6509,2.8849,10.8592,0.3645,0.4905,0.8571,22.0526,71.7939,109.964,167.9869,315.3879,356.3307,166.4026,316.2116,354.1619
cassandra-base,16,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0653,0.5347,0.7453,11.3627,38.1188,74.9349,38.995,104.1246,132.9773,92.0104,179.8565,229.5553,377.6399,554.4531,618.6624,11.3627,38.1188,74.9349,23.655,77.5037,118.1171,46.8423,115.2481,181.532,276.1094,451.1849,480.9756,16.1273,57.0729,106.8998,16.0386,71.0883,120.0499,0.7134,4.0302,13.6176,0.3594,0.4708,0.6994,38.434,115.4603,147.2124,427.9209,600.9544,667.6284,427.8546,603.4109,658.2795
cassandra-base,32,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.016,0.3347,38.9772,185.214,414.3656,136.2652,614.2743,835.06,244.2633,986.1913,1326.98,929.8717,3252.5758,3821.5331,38.9772,185.214,414.3656,88.6002,407.4833,594.6776,93.6868,486.1811,760.4653,721.7661,2374.724,2800.1907,41.1572,188.1892,352.6855,41.3488,221.2455,387.0259,1.4084,14.4448,29.4001,0.3999,2.0005,2.7377,89.8363,390.2925,561.0348,1016.8684,3489.3872,4097.6292,1032.1438,3504.2484,4131.3481
cassandra-base,64,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0013,0.0587,101.9013,216.875,418.8943,358.7015,570.2859,771.679,488.5625,823.4099,1164.9709,1249.8096,1700.0644,2150.0454,101.9013,216.875,418.8943,239.5032,423.0671,569.9682,104.267,381.4724,751.8069,736.0158,1126.1783,1246.8289,108.4689,263.633,449.2628,46.1371,167.1577,307.8974,0.869,6.2115,12.1697,0.3625,0.4942,0.8485,164.5982,391.7318,513.6091,1433.9511,1891.0582,2362.0572,1467.0991,2192.6216,2667.2089
cassandra-materialized,1,750,559,0.7453,1.0,559,0.2547,0.2453,0.7093,0.7453,0.7453,0.7453,6.8563,15.3467,22.8256,17.1352,31.2841,44.8086,40.459,71.3367,112.357,42.9108,73.7895,115.3403,6.8563,15.3467,22.8256,10.2889,19.1165,29.3599,21.7315,43.8412,92.5587,2.3747,3.2886,4.4343,9.9474,18.6923,26.4156,0.6354,0.829,1.0999,0.3961,0.5356,0.6865,0.3605,0.5295,0.697,11.3439,20.0093,27.7773,53.854,94.5083,131.1403,53.6273,89.83,131.0537
cassandra-materialized,8,750,559,0.7453,1.0,559,0.2547,0.0,0.12,0.6307,0.7453,0.7453,6.5705,25.5933,78.435,14.3735,41.845,94.1657,57.6167,127.4319,151.1073,132.2208,273.3884,336.245,6.5705,25.5933,78.435,6.6071,24.1181,57.8868,37.9067,100.6017,122.4661,68.3865,197.5749,266.4386,11.9645,31.9215,83.8535,7.7125,37.3966,87.6176,0.6442,2.6771,5.8661,0.3742,0.542,0.9482,23.0732,76.4636,106.6289,161.9544,304.1205,366.7628,165.3681,305.2439,366.6946
cassandra-materialized,16,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.084,0.5507,0.7453,10.9428,40.8589,98.1096,24.1369,92.056,133.9525,78.2884,167.0601,226.8188,368.3973,556.0385,627.1963,10.9428,40.8589,98.1096,11.4123,39.4154,93.7308,48.7461,113.0818,169.7274,281.0257,456.9134,525.4691,17.0222,76.936,102.1227,16.1824,62.9018,105.5415,0.7508,4.2532,14.7684,0.3679,0.4976,0.7445,38.9911,113.0119,161.1186,420.3909,597.2728,666.5763,428.8289,616.2626,701.9753
cassandra-materialized,32,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0227,0.5293,27.1863,93.5517,170.3905,63.7698,175.4484,245.2415,145.421,308.0328,661.6067,820.387,1090.8139,1478.2309,27.1863,93.5517,170.3905,30.3195,107.1037,184.444,70.6555,186.1648,571.3441,661.4187,874.3558,1008.3694,31.3656,94.6933,171.1881,28.7639,106.8249,177.1485,0.9995,6.1162,14.3704,0.3744,0.5378,0.97,69.3266,174.8791,244.7718,906.6957,1162.9792,1560.1937,916.5822,1302.3778,1756.6261
cassandra-materialized,64,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.004,0.112,100.6062,239.8569,404.9643,230.1014,432.6173,572.7937,356.2698,666.2471,836.9507,1107.8796,1587.974,2002.3851,100.6062,239.8569,404.9643,117.2954,243.3069,411.1,104.5735,370.2734,622.3325,718.6374,1143.8896,1373.2099,115.4646,255.1857,366.4963,48.5324,164.8074,333.218,1.0798,7.6067,17.4039,0.3606,0.5211,0.8748,174.8128,380.4701,536.2448,1299.4876,1789.9373,2221.8766,1328.6663,1961.6387,2456.9788
