cell,concurrency,repetition,events,hits,fresh_hit_at_10,projection_ok_rate,time_to_top10_observations,stale_or_missed_top10_rate,fresh_hit_at_10_within_50ms,fresh_hit_at_10_within_100ms,fresh_hit_at_10_within_250ms,fresh_hit_at_10_within_500ms,fresh_hit_at_10_within_1000ms,commit_ms_p50,commit_ms_p95,commit_ms_p99,rawerk_visible_ms_p50,rawerk_visible_ms_p95,rawerk_visible_ms_p99,sparse_index_visible_ms_p50,sparse_index_visible_ms_p95,sparse_index_visible_ms_p99,dense_index_visible_ms_p50,dense_index_visible_ms_p95,dense_index_visible_ms_p99,backend_commit_ms_p50,backend_commit_ms_p95,backend_commit_ms_p99,structured_view_after_commit_ms_p50,structured_view_after_commit_ms_p95,structured_view_after_commit_ms_p99,sparse_index_update_ms_p50,sparse_index_update_ms_p95,sparse_index_update_ms_p99,dense_index_update_ms_p50,dense_index_update_ms_p95,dense_index_update_ms_p99,candidate_fetch_ms_p50,candidate_fetch_ms_p95,candidate_fetch_ms_p99,sparse_scoring_ms_p50,sparse_scoring_ms_p95,sparse_scoring_ms_p99,dense_scoring_ms_p50,dense_scoring_ms_p95,dense_scoring_ms_p99,zscore_fusion_ms_p50,zscore_fusion_ms_p95,zscore_fusion_ms_p99,retrieval_after_dense_ms_p50,retrieval_after_dense_ms_p95,retrieval_after_dense_ms_p99,end_to_end_attempt_ms_p50,end_to_end_attempt_ms_p95,end_to_end_attempt_ms_p99,time_to_top10_ms_p50_hits_only,time_to_top10_ms_p95_hits_only,time_to_top10_ms_p99_hits_only
cassandra-base,1,0,250,175,0.7,1.0,175,0.3,0.028,0.664,0.7,0.7,0.7,5.5423,9.7432,14.0409,24.9281,29.4298,35.3257,48.7874,71.4218,123.8846,52.0303,74.9319,127.073,5.5423,9.7432,14.0409,19.4443,21.8524,25.1742,23.7853,46.0132,98.9079,3.1532,4.2538,5.3801,10.0366,15.9986,17.5057,0.6593,0.8524,0.989,0.4302,1.2784,1.9463,0.3669,0.4777,0.5614,11.6569,17.6015,19.0772,64.6128,93.6645,139.8232,66.5146,103.662,139.8973
cassandra-base,1,1,250,191,0.764,1.0,191,0.236,0.024,0.736,0.764,0.764,0.764,7.5075,15.7042,23.4868,27.4421,45.4249,64.3733,49.5311,78.4579,121.357,52.0793,80.9191,123.9397,7.5075,15.7042,23.4868,19.8434,35.204,44.6488,21.2232,35.4619,84.1169,2.2825,3.3148,4.0218,9.3477,18.4478,32.4426,0.6217,0.8392,0.9771,0.3955,0.5249,0.5983,0.3622,0.5716,0.6758,10.9489,19.8865,33.6497,62.7237,94.0254,132.2606,62.9725,94.0102,126.3862
cassandra-base,1,2,250,193,0.772,1.0,193,0.228,0.024,0.752,0.772,0.772,0.772,7.4298,12.5117,19.0275,26.8901,40.16,47.4103,49.3124,71.5004,123.1462,52.508,74.869,126.3009,7.4298,12.5117,19.0275,19.5638,30.2414,35.0657,22.0855,40.0471,85.2935,3.002,4.2324,5.4412,8.8395,15.7779,20.5419,0.6387,0.8875,1.1004,0.4,0.5448,0.6981,0.3628,0.5636,0.7474,10.1177,17.322,21.8735,61.2331,87.5897,137.9015,61.7203,88.5458,146.2693
cassandra-base,8,0,250,175,0.7,1.0,175,0.3,0.0,0.084,0.532,0.7,0.7,6.6602,26.5522,42.266,23.4899,59.2971,119.9865,70.8974,139.8932,162.8574,152.1522,281.2645,348.1282,6.6602,26.5522,42.266,14.3877,43.0914,103.8502,41.191,98.3128,121.6478,67.1406,204.3017,243.4293,11.3258,29.6103,38.5464,8.3314,38.2037,76.7946,0.7238,3.0325,12.9091,0.3868,0.5121,0.6587,22.4771,56.0489,91.589,179.3322,311.5589,376.9529,178.2185,313.4112,389.8796
cassandra-base,8,1,250,191,0.764,1.0,191,0.236,0.0,0.112,0.696,0.764,0.764,7.0907,27.4455,78.6303,24.9829,97.1508,119.792,66.7798,146.6382,164.4527,129.7887,240.9272,335.372,7.0907,27.4455,78.6303,15.0448,78.6765,95.9028,35.71,78.0523,109.5551,50.0793,172.7139,253.4344,10.0375,41.1345,79.3689,6.8512,33.9865,68.6423,0.6013,3.0424,6.3607,0.3553,0.4511,0.5261,20.2371,75.5688,104.3431,159.6462,291.3699,349.0776,158.8998,276.9051,314.2784
cassandra-base,8,2,250,193,0.772,1.0,193,0.228,0.0,0.12,0.612,0.772,0.772,7.2167,24.283,51.4628,23.5965,90.9426,117.615,64.894,138.8502,169.6222,137.0882,304.2432,338.0539,7.2167,24.283,51.4628,14.4843,52.0723,107.563,35.8922,86.2175,133.3985,59.5495,211.7152,258.4947,11.5568,56.7038,98.4385,7.274,33.749,45.4138,0.6213,2.4356,4.644,0.3489,0.5116,1.0356,23.7154,84.4416,115.2981,165.4206,324.6722,353.1528,164.4081,327.7909,353.6655
cassandra-base,16,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.06,0.48,0.7,11.1914,39.9082,77.7364,37.8805,119.1506,133.8122,90.2724,181.9429,306.6135,385.1074,577.628,673.089,11.1914,39.9082,77.7364,22.4956,93.0069,118.1085,46.0998,116.6178,257.3264,290.8253,461.0828,487.125,15.6075,70.6675,109.6283,16.5772,89.1981,118.5705,0.7475,4.0849,11.182,0.3623,0.4888,1.1951,40.8749,116.5287,145.5721,440.3335,638.9398,715.4261,438.771,621.4553,718.849
cassandra-base,16,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.068,0.54,0.764,11.5415,37.1499,87.08,39.2473,111.7879,137.2468,93.9498,174.9577,227.6461,373.8661,549.1412,581.4038,11.5415,37.1499,87.08,23.9927,82.549,118.8589,46.0431,114.1622,143.6536,267.0999,440.621,468.6505,16.3551,44.3211,92.9334,15.5138,65.9683,127.1828,0.7134,3.717,8.1393,0.3601,0.4761,0.5717,36.3388,110.8706,149.8977,423.9442,599.9557,642.7953,422.9345,609.9017,651.2572
cassandra-base,16,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.068,0.584,0.772,11.3103,34.0203,59.4137,38.8895,90.4499,106.001,92.0866,170.4611,210.2889,376.4402,531.4758,582.3342,11.3103,34.0203,59.4137,24.4545,64.9533,91.5351,48.0395,113.3764,144.8754,272.7489,439.9647,474.3413,16.4583,65.7048,117.432,16.0707,61.2697,106.4892,0.7022,3.3562,17.1876,0.3551,0.4508,0.5265,37.8161,115.4603,143.293,418.6884,574.7518,634.9041,423.8838,580.7771,633.1727
cassandra-base,32,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.028,0.46,21.1309,85.7882,154.1814,84.9454,222.4115,269.331,172.4218,351.5557,755.1154,828.5349,1141.4159,1547.5685,21.1309,85.7882,154.1814,57.604,168.5583,218.5137,69.8547,200.8548,613.1312,644.6322,856.3428,1065.9139,28.6501,70.2305,133.6934,29.2639,111.6359,154.8263,0.7792,5.8236,52.925,0.3611,0.6355,1.1785,65.79,171.1178,197.6385,903.5975,1228.3728,1603.5051,925.2353,1455.2439,1686.7223
