backend,concurrency,baseline_cell,materialized_cell,fresh_hit_baseline,fresh_hit_materialized,fresh_hit_delta_materialized_minus_baseline,commit_ms_p50_baseline,commit_ms_p50_materialized,commit_ms_p50_baseline_over_materialized,commit_ms_p95_baseline,commit_ms_p95_materialized,commit_ms_p95_baseline_over_materialized,commit_ms_p99_baseline,commit_ms_p99_materialized,commit_ms_p99_baseline_over_materialized,rawerk_visible_ms_p50_baseline,rawerk_visible_ms_p50_materialized,rawerk_visible_ms_p50_baseline_over_materialized,rawerk_visible_ms_p95_baseline,rawerk_visible_ms_p95_materialized,rawerk_visible_ms_p95_baseline_over_materialized,rawerk_visible_ms_p99_baseline,rawerk_visible_ms_p99_materialized,rawerk_visible_ms_p99_baseline_over_materialized,dense_index_visible_ms_p50_baseline,dense_index_visible_ms_p50_materialized,dense_index_visible_ms_p50_baseline_over_materialized,dense_index_visible_ms_p95_baseline,dense_index_visible_ms_p95_materialized,dense_index_visible_ms_p95_baseline_over_materialized,dense_index_visible_ms_p99_baseline,dense_index_visible_ms_p99_materialized,dense_index_visible_ms_p99_baseline_over_materialized,end_to_end_attempt_ms_p50_baseline,end_to_end_attempt_ms_p50_materialized,end_to_end_attempt_ms_p50_baseline_over_materialized,end_to_end_attempt_ms_p95_baseline,end_to_end_attempt_ms_p95_materialized,end_to_end_attempt_ms_p95_baseline_over_materialized,end_to_end_attempt_ms_p99_baseline,end_to_end_attempt_ms_p99_materialized,end_to_end_attempt_ms_p99_baseline_over_materialized
cassandra,1,cassandra-base,cassandra-materialized,0.7453,0.7453,0.0,7.0321,6.8563,1.0256,13.2573,15.3467,0.8639,20.2091,22.8256,0.8854,26.5199,17.1352,1.5477,40.8102,31.2841,1.3045,54.6047,44.8086,1.2186,52.2527,42.9108,1.2177,76.7628,73.7895,1.0403,127.1208,115.3403,1.1021,62.1542,53.854,1.1541,91.8033,94.5083,0.9714,139.8232,131.1403,1.0662
cassandra,8,cassandra-base,cassandra-materialized,0.7453,0.7453,0.0,7.034,6.5705,1.0705,27.1697,25.5933,1.0616,74.3466,78.435,0.9479,23.8526,14.3735,1.6595,92.6905,41.845,2.2151,120.7184,94.1657,1.282,140.5553,132.2208,1.063,290.3188,273.3884,1.0619,339.4063,336.245,1.0094,167.9869,161.9544,1.0372,315.3879,304.1205,1.037,356.3307,366.7628,0.9716
cassandra,16,cassandra-base,cassandra-materialized,0.7453,0.7453,0.0,11.3627,10.9428,1.0384,38.1188,40.8589,0.9329,74.9349,98.1096,0.7638,38.995,24.1369,1.6156,104.1246,92.056,1.1311,132.9773,133.9525,0.9927,377.6399,368.3973,1.0251,554.4531,556.0385,0.9971,618.6624,627.1963,0.9864,427.9209,420.3909,1.0179,600.9544,597.2728,1.0062,667.6284,666.5763,1.0016
cassandra,32,cassandra-base,cassandra-materialized,0.7453,0.7453,0.0,38.9772,27.1863,1.4337,185.214,93.5517,1.9798,414.3656,170.3905,2.4319,136.2652,63.7698,2.1368,614.2743,175.4484,3.5012,835.06,245.2415,3.4051,929.8717,820.387,1.1335,3252.5758,1090.8139,2.9818,3821.5331,1478.2309,2.5852,1016.8684,906.6957,1.1215,3489.3872,1162.9792,3.0004,4097.6292,1560.1937,2.6264
cassandra,64,cassandra-base,cassandra-materialized,0.7453,0.7453,0.0,101.9013,100.6062,1.0129,216.875,239.8569,0.9042,418.8943,404.9643,1.0344,358.7015,230.1014,1.5589,570.2859,432.6173,1.3182,771.679,572.7937,1.3472,1249.8096,1107.8796,1.1281,1700.0644,1587.974,1.0706,2150.0454,2002.3851,1.0737,1433.9511,1299.4876,1.1035,1891.0582,1789.9373,1.0565,2362.0572,2221.8766,1.0631
neo4j,1,neo4j-native,neo4j-materialized,0.7453,0.7453,0.0,4.0583,3.8384,1.0573,5.7567,5.6676,1.0157,8.1009,6.4388,1.2581,5.304,5.0351,1.0534,7.206,7.1132,1.013,9.363,7.7728,1.2046,27.6059,27.4333,1.0063,33.2546,32.7716,1.0147,38.1975,34.997,1.0915,41.2677,41.1875,1.0019,49.1841,48.7044,1.0098,55.0543,53.0898,1.037
neo4j,8,neo4j-native,neo4j-materialized,0.7453,0.7453,0.0,4.1559,4.0419,1.0282,5.7343,5.5994,1.0241,6.8293,7.5241,0.9077,6.3674,6.2572,1.0176,8.969,8.5439,1.0498,11.9716,11.84,1.0111,86.4879,87.6702,0.9865,122.0452,129.2737,0.9441,144.4534,160.6994,0.8989,334.6468,335.5201,0.9974,423.0073,420.0652,1.007,466.1987,585.034,0.7969
neo4j,16,neo4j-native,neo4j-materialized,0.7453,0.7453,0.0,5.1673,5.0793,1.0173,30.6083,31.82,0.9619,36.4032,36.6221,0.994,8.9924,8.9636,1.0032,42.1196,44.9379,0.9373,53.1112,60.8092,0.8734,163.8434,165.7186,0.9887,563.1638,589.9253,0.9546,663.5891,699.8835,0.9481,706.2215,715.3479,0.9872,2573.2236,2591.1258,0.9931,2866.4251,2817.4991,1.0174
neo4j,32,neo4j-native,neo4j-materialized,0.7453,0.7453,0.0,5.8717,5.7406,1.0228,9.9084,9.051,1.0947,19.771,37.2317,0.531,12.4855,11.8768,1.0513,20.7909,18.3649,1.1321,39.7356,57.2386,0.6942,288.1096,283.2307,1.0172,367.2008,367.5717,0.999,417.4418,408.06,1.023,1376.4511,1349.8166,1.0197,1653.2546,1613.1197,1.0249,1926.7594,1705.1028,1.13
neo4j,64,neo4j-native,neo4j-materialized,0.7453,0.7453,0.0,9.4635,9.0743,1.0429,18.8682,17.0967,1.1036,37.3335,32.7693,1.1393,21.8269,20.7359,1.0526,43.0139,39.6973,1.0835,81.6017,60.788,1.3424,572.8276,554.1545,1.0337,722.5318,707.3891,1.0214,804.8226,932.3569,0.8632,2755.0977,2707.1783,1.0177,3526.362,3297.1364,1.0695,3964.8974,4124.7556,0.9612
