cell,concurrency,rank_by_mean,stage,mean_ms,share_of_mean_pipeline,p50_ms,p95_ms,p99_ms
cassandra-base,1,1,sparse_index_update_ms,25.1457,0.373,22.3216,41.5431,95.9364
cassandra-base,1,2,structured_view_after_commit_ms,20.6884,0.3069,19.6146,30.1784,38.2089
cassandra-base,1,3,candidate_fetch_ms,9.9393,0.1474,9.4406,16.6437,23.9531
cassandra-base,1,4,backend_commit_ms,7.359,0.1092,7.0321,13.2573,20.2091
cassandra-base,1,5,dense_index_update_ms,2.8077,0.0416,2.762,4.0492,5.3801
cassandra-base,1,6,sparse_scoring_ms,0.6577,0.0098,0.6426,0.8572,1.043
cassandra-base,1,7,dense_scoring_ms,0.438,0.0065,0.4094,0.6368,1.6953
cassandra-base,1,8,zscore_fusion_ms,0.3848,0.0057,0.3651,0.5436,0.6758
cassandra-base,8,1,dense_index_update_ms,75.828,0.4234,58.9784,202.8458,255.6182
cassandra-base,8,2,sparse_index_update_ms,43.9792,0.2456,37.688,92.4125,127.8155
cassandra-base,8,3,structured_view_after_commit_ms,21.068,0.1176,14.6921,60.5455,101.6532
cassandra-base,8,4,candidate_fetch_ms,15.4296,0.0862,10.9054,33.6025,91.8235
cassandra-base,8,5,sparse_scoring_ms,11.3345,0.0633,7.3296,34.8604,72.3485
cassandra-base,8,6,backend_commit_ms,9.9478,0.0555,7.034,27.1697,74.3466
cassandra-base,8,7,dense_scoring_ms,1.1205,0.0063,0.6509,2.8849,10.8592
cassandra-base,8,8,zscore_fusion_ms,0.3848,0.0021,0.3645,0.4905,0.8571
cassandra-base,16,1,dense_index_update_ms,268.8337,0.643,276.1094,451.1849,480.9756
cassandra-base,16,2,sparse_index_update_ms,56.7826,0.1358,46.8423,115.2481,181.532
cassandra-base,16,3,structured_view_after_commit_ms,30.1215,0.072,23.655,77.5037,118.1171
cassandra-base,16,4,sparse_scoring_ms,23.2841,0.0557,16.0386,71.0883,120.0499
cassandra-base,16,5,candidate_fetch_ms,22.0595,0.0528,16.1273,57.0729,106.8998
cassandra-base,16,6,backend_commit_ms,15.1986,0.0364,11.3627,38.1188,74.9349
cassandra-base,16,7,dense_scoring_ms,1.4595,0.0035,0.7134,4.0302,13.6176
cassandra-base,16,8,zscore_fusion_ms,0.3767,0.0009,0.3594,0.4708,0.6994
cassandra-base,32,1,dense_index_update_ms,1041.5768,0.6713,721.7661,2374.724,2800.1907
cassandra-base,32,2,sparse_index_update_ms,173.8557,0.112,93.6868,486.1811,760.4653
cassandra-base,32,3,structured_view_after_commit_ms,137.0519,0.0883,88.6002,407.4833,594.6776
cassandra-base,32,4,sparse_scoring_ms,67.7591,0.0437,41.3488,221.2455,387.0259
cassandra-base,32,5,candidate_fetch_ms,64.2114,0.0414,41.1572,188.1892,352.6855
cassandra-base,32,6,backend_commit_ms,62.3681,0.0402,38.9772,185.214,414.3656
cassandra-base,32,7,dense_scoring_ms,4.0179,0.0026,1.4084,14.4448,29.4001
cassandra-base,32,8,zscore_fusion_ms,0.7606,0.0005,0.3999,2.0005,2.7377
cassandra-base,64,1,dense_index_update_ms,736.2713,0.5114,736.0158,1126.1783,1246.8289
cassandra-base,64,2,structured_view_after_commit_ms,258.2652,0.1794,239.5032,423.0671,569.9682
cassandra-base,64,3,sparse_index_update_ms,142.2417,0.0988,104.267,381.4724,751.8069
cassandra-base,64,4,candidate_fetch_ms,123.9821,0.0861,108.4689,263.633,449.2628
cassandra-base,64,5,backend_commit_ms,116.2496,0.0807,101.9013,216.875,418.8943
cassandra-base,64,6,sparse_scoring_ms,60.445,0.042,46.1371,167.1577,307.8974
cassandra-base,64,7,dense_scoring_ms,1.8282,0.0013,0.869,6.2115,12.1697
cassandra-base,64,8,zscore_fusion_ms,0.3825,0.0003,0.3625,0.4942,0.8485
cassandra-materialized,1,1,sparse_index_update_ms,24.9221,0.4248,21.7315,43.8412,92.5587
cassandra-materialized,1,2,structured_view_after_commit_ms,11.477,0.1956,10.2889,19.1165,29.3599
cassandra-materialized,1,3,candidate_fetch_ms,10.5546,0.1799,9.9474,18.6923,26.4156
cassandra-materialized,1,4,backend_commit_ms,7.8767,0.1343,6.8563,15.3467,22.8256
cassandra-materialized,1,5,dense_index_update_ms,2.4159,0.0412,2.3747,3.2886,4.4343
cassandra-materialized,1,6,sparse_scoring_ms,0.6451,0.011,0.6354,0.829,1.0999
cassandra-materialized,1,7,dense_scoring_ms,0.398,0.0068,0.3961,0.5356,0.6865
cassandra-materialized,1,8,zscore_fusion_ms,0.377,0.0064,0.3605,0.5295,0.697
cassandra-materialized,8,1,dense_index_update_ms,77.9477,0.456,68.3865,197.5749,266.4386
cassandra-materialized,8,2,sparse_index_update_ms,44.8157,0.2622,37.9067,100.6017,122.4661
cassandra-materialized,8,3,candidate_fetch_ms,15.3079,0.0896,11.9645,31.9215,83.8535
cassandra-materialized,8,4,sparse_scoring_ms,12.2617,0.0717,7.7125,37.3966,87.6176
cassandra-materialized,8,5,backend_commit_ms,9.6224,0.0563,6.5705,25.5933,78.435
cassandra-materialized,8,6,structured_view_after_commit_ms,9.3349,0.0546,6.6071,24.1181,57.8868
cassandra-materialized,8,7,dense_scoring_ms,1.1463,0.0067,0.6442,2.6771,5.8661
cassandra-materialized,8,8,zscore_fusion_ms,0.4903,0.0029,0.3742,0.542,0.9482
cassandra-materialized,16,1,dense_index_update_ms,272.0765,0.6663,281.0257,456.9134,525.4691
cassandra-materialized,16,2,sparse_index_update_ms,56.673,0.1388,48.7461,113.0818,169.7274
cassandra-materialized,16,3,candidate_fetch_ms,23.3083,0.0571,17.0222,76.936,102.1227
cassandra-materialized,16,4,sparse_scoring_ms,22.1646,0.0543,16.1824,62.9018,105.5415
cassandra-materialized,16,5,structured_view_after_commit_ms,16.1465,0.0395,11.4123,39.4154,93.7308
cassandra-materialized,16,6,backend_commit_ms,16.0006,0.0392,10.9428,40.8589,98.1096
cassandra-materialized,16,7,dense_scoring_ms,1.5635,0.0038,0.7508,4.2532,14.7684
cassandra-materialized,16,8,zscore_fusion_ms,0.3861,0.0009,0.3679,0.4976,0.7445
cassandra-materialized,32,1,dense_index_update_ms,642.2251,0.7219,661.4187,874.3558,1008.3694
cassandra-materialized,32,2,sparse_index_update_ms,91.4207,0.1028,70.6555,186.1648,571.3441
cassandra-materialized,32,3,candidate_fetch_ms,39.5878,0.0445,31.3656,94.6933,171.1881
cassandra-materialized,32,4,structured_view_after_commit_ms,39.112,0.044,30.3195,107.1037,184.444
cassandra-materialized,32,5,sparse_scoring_ms,38.3564,0.0431,28.7639,106.8249,177.1485
cassandra-materialized,32,6,backend_commit_ms,36.2386,0.0407,27.1863,93.5517,170.3905
cassandra-materialized,32,7,dense_scoring_ms,2.2399,0.0025,0.9995,6.1162,14.3704
cassandra-materialized,32,8,zscore_fusion_ms,0.4024,0.0005,0.3744,0.5378,0.97
cassandra-materialized,64,1,dense_index_update_ms,715.2534,0.5525,718.6374,1143.8896,1373.2099
cassandra-materialized,64,2,sparse_index_update_ms,139.2455,0.1076,104.5735,370.2734,622.3325
cassandra-materialized,64,3,structured_view_after_commit_ms,130.5657,0.1009,117.2954,243.3069,411.1
cassandra-materialized,64,4,candidate_fetch_ms,126.0898,0.0974,115.4646,255.1857,366.4963
cassandra-materialized,64,5,backend_commit_ms,116.8948,0.0903,100.6062,239.8569,404.9643
cassandra-materialized,64,6,sparse_scoring_ms,63.4938,0.049,48.5324,164.8074,333.218
cassandra-materialized,64,7,dense_scoring_ms,2.5757,0.002,1.0798,7.6067,17.4039
cassandra-materialized,64,8,zscore_fusion_ms,0.3841,0.0003,0.3606,0.5211,0.8748
neo4j-materialized,1,1,sparse_index_update_ms,19.6443,0.4861,19.9533,24.2849,26.511
neo4j-materialized,1,2,candidate_fetch_ms,11.9649,0.296,12.2559,14.7755,17.1943
neo4j-materialized,1,3,backend_commit_ms,3.9174,0.0969,3.8384,5.6676,6.4388
neo4j-materialized,1,4,dense_index_update_ms,2.2769,0.0563,2.3257,2.9263,3.4811
neo4j-materialized,1,5,structured_view_after_commit_ms,1.2363,0.0306,1.2068,1.5886,1.7175
neo4j-materialized,1,6,sparse_scoring_ms,0.622,0.0154,0.6262,0.7588,0.8373
neo4j-materialized,1,7,dense_scoring_ms,0.3916,0.0097,0.4053,0.5018,0.5578
neo4j-materialized,1,8,zscore_fusion_ms,0.3626,0.009,0.3574,0.4227,0.5417
neo4j-materialized,8,1,candidate_fetch_ms,236.6532,0.7161,238.1626,312.7812,448.0029
neo4j-materialized,8,2,dense_index_update_ms,52.0576,0.1575,51.7129,78.5476,104.2308
neo4j-materialized,8,3,sparse_index_update_ms,30.7512,0.0931,28.237,62.0773,78.8188
neo4j-materialized,8,4,backend_commit_ms,4.1843,0.0127,4.0419,5.5994,7.5241
neo4j-materialized,8,5,sparse_scoring_ms,3.5212,0.0107,3.2128,7.088,9.4073
neo4j-materialized,8,6,structured_view_after_commit_ms,2.3612,0.0071,2.1168,3.4795,4.8964
neo4j-materialized,8,7,dense_scoring_ms,0.5515,0.0017,0.5282,0.9266,1.4029
neo4j-materialized,8,8,zscore_fusion_ms,0.3849,0.0012,0.3655,0.4614,0.8574
neo4j-materialized,16,1,candidate_fetch_ms,772.4871,0.7576,542.6887,1982.4299,2215.2757
neo4j-materialized,16,2,dense_index_update_ms,166.1603,0.1629,119.94,422.0674,508.1039
neo4j-materialized,16,3,sparse_index_update_ms,53.1171,0.0521,34.1676,123.6612,224.5926
neo4j-materialized,16,4,backend_commit_ms,10.1178,0.0099,5.0793,31.82,36.6221
neo4j-materialized,16,5,sparse_scoring_ms,9.8782,0.0097,7.3515,26.6328,43.2613
neo4j-materialized,16,6,structured_view_after_commit_ms,6.2528,0.0061,4.1181,15.522,29.6069
neo4j-materialized,16,7,dense_scoring_ms,1.0724,0.0011,0.7283,2.7842,4.1151
neo4j-materialized,16,8,zscore_fusion_ms,0.616,0.0006,0.3851,1.4097,2.3932
neo4j-materialized,32,1,candidate_fetch_ms,995.6121,0.772,1042.4768,1261.0355,1332.6367
neo4j-materialized,32,2,dense_index_update_ms,225.3344,0.1747,229.1637,299.3169,336.3217
neo4j-materialized,32,3,sparse_index_update_ms,41.919,0.0325,38.8918,82.4518,101.1467
