cell,deadline_ms,events,fresh_hit_at_10,designated_fresh_recall_at_10,stale_or_ranking_miss_rate
cassandra-base,50,1533,0.0,0.0,1.0
cassandra-base,100,1533,0.1395955642530985,0.1395955642530985,0.8604044357469015
cassandra-base,250,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
cassandra-base,500,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
cassandra-base,1000,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
cassandra-materialized,50,1533,0.0,0.0,1.0
cassandra-materialized,100,1533,0.13829093281148075,0.13829093281148075,0.8617090671885193
cassandra-materialized,250,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
cassandra-materialized,500,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
cassandra-materialized,1000,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-materialized,50,1533,0.0,0.0,1.0
neo4j-materialized,100,1533,0.0319634703196347,0.0319634703196347,0.9680365296803652
neo4j-materialized,250,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-materialized,500,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-materialized,1000,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-native,50,1533,0.0,0.0,1.0
neo4j-native,100,1533,0.033268101761252444,0.033268101761252444,0.9667318982387476
neo4j-native,250,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-native,500,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
neo4j-native,1000,1533,0.7384213959556425,0.7384213959556425,0.2615786040443575
