qa_id,category,cell,scope_id,gold_memory_id,projection_ok,candidate_count,candidate_parity,commit_ms,rawerk_ms,sparse_index_ms,dense_index_ms,backend_fetch_ms,fusion_ms,time_to_top10_ms,fresh_hit_at_10,gold_rank,top10_ids
conv-26_qa_0,2,cassandra-base,conv-26,conv-26_session_1_D1:3,1,419,1,2.6794,48.7999,66.7752,73.5948,8.3378,2.1163,84.0489,1,1,"[""conv-26_session_1_D1:3"", ""conv-26_session_5_D5:1"", ""conv-26_session_10_D10:3"", ""conv-26_session_1_D1:7"", ""conv-26_session_9_D9:2"", ""conv-26_session_4_D4:13"", ""conv-26_session_2_D2:12"", ""conv-26_session_3_D3:2"", ""conv-26_session_9_D9:11"", ""conv-26_session_7_D7:1""]"
conv-26_qa_0,2,cassandra-materialized,conv-26,conv-26_session_1_D1:3,1,419,1,3.4158,19.3348,64.9988,73.347,9.9618,3.0838,86.3926,1,1,"[""conv-26_session_1_D1:3"", ""conv-26_session_5_D5:1"", ""conv-26_session_10_D10:3"", ""conv-26_session_1_D1:7"", ""conv-26_session_9_D9:2"", ""conv-26_session_4_D4:13"", ""conv-26_session_2_D2:12"", ""conv-26_session_3_D3:2"", ""conv-26_session_9_D9:11"", ""conv-26_session_7_D7:1""]"
conv-26_qa_0,2,neo4j-native,conv-26,conv-26_session_1_D1:3,1,419,1,4.7765,32.3853,67.0075,73.2803,30.3865,1.3435,105.0103,1,1,"[""conv-26_session_1_D1:3"", ""conv-26_session_5_D5:1"", ""conv-26_session_10_D10:3"", ""conv-26_session_1_D1:7"", ""conv-26_session_9_D9:2"", ""conv-26_session_4_D4:13"", ""conv-26_session_2_D2:12"", ""conv-26_session_3_D3:2"", ""conv-26_session_9_D9:11"", ""conv-26_session_7_D7:1""]"
conv-26_qa_0,2,neo4j-materialized,conv-26,conv-26_session_1_D1:3,1,419,1,3.5875,4.8736,65.5036,72.7731,32.6112,1.0621,106.4464,1,1,"[""conv-26_session_1_D1:3"", ""conv-26_session_5_D5:1"", ""conv-26_session_10_D10:3"", ""conv-26_session_1_D1:7"", ""conv-26_session_9_D9:2"", ""conv-26_session_4_D4:13"", ""conv-26_session_2_D2:12"", ""conv-26_session_3_D3:2"", ""conv-26_session_9_D9:11"", ""conv-26_session_7_D7:1""]"
conv-26_qa_1,2,cassandra-base,conv-26,conv-26_session_1_D1:12,1,419,1,4.3,25.4651,70.4853,76.8414,5.916,1.9867,,0,,"[""conv-26_session_1_D1:14"", ""conv-26_session_14_D14:30"", ""conv-26_session_14_D14:7"", ""conv-26_session_17_D17:13"", ""conv-26_session_14_D14:6"", ""conv-26_session_17_D17:12"", ""conv-26_session_16_D16:8"", ""conv-26_session_9_D9:15"", ""conv-26_session_11_D11:12"", ""conv-26_session_14_D14:8""]"
conv-26_qa_1,2,cassandra-materialized,conv-26,conv-26_session_1_D1:12,1,419,1,4.9557,7.2879,70.7766,77.9572,6.3208,2.6041,,0,,"[""conv-26_session_1_D1:14"", ""conv-26_session_14_D14:30"", ""conv-26_session_14_D14:7"", ""conv-26_session_17_D17:13"", ""conv-26_session_14_D14:6"", ""conv-26_session_17_D17:12"", ""conv-26_session_16_D16:8"", ""conv-26_session_9_D9:15"", ""conv-26_session_11_D11:12"", ""conv-26_session_14_D14:8""]"
conv-26_qa_1,2,neo4j-native,conv-26,conv-26_session_1_D1:12,1,419,1,5.4515,37.0457,70.1969,76.9944,34.8015,1.2586,,0,,"[""conv-26_session_1_D1:14"", ""conv-26_session_14_D14:30"", ""conv-26_session_14_D14:7"", ""conv-26_session_17_D17:13"", ""conv-26_session_14_D14:6"", ""conv-26_session_17_D17:12"", ""conv-26_session_16_D16:8"", ""conv-26_session_9_D9:15"", ""conv-26_session_11_D11:12"", ""conv-26_session_14_D14:8""]"
conv-26_qa_1,2,neo4j-materialized,conv-26,conv-26_session_1_D1:12,1,419,1,4.8978,51.6757,70.2436,75.6819,32.1302,1.1729,,0,,"[""conv-26_session_1_D1:14"", ""conv-26_session_14_D14:30"", ""conv-26_session_14_D14:7"", ""conv-26_session_17_D17:13"", ""conv-26_session_14_D14:6"", ""conv-26_session_17_D17:12"", ""conv-26_session_16_D16:8"", ""conv-26_session_9_D9:15"", ""conv-26_session_11_D11:12"", ""conv-26_session_14_D14:8""]"
conv-26_qa_2,3,cassandra-base,conv-26,conv-26_session_1_D1:9,1,419,1,2.0858,30.962,66.4155,74.6016,5.7831,3.0525,83.4372,1,1,"[""conv-26_session_1_D1:9"", ""conv-26_session_1_D1:10"", ""conv-26_session_4_D4:11"", ""conv-26_session_13_D13:7"", ""conv-26_session_4_D4:14"", ""conv-26_session_7_D7:8"", ""conv-26_session_1_D1:11"", ""conv-26_session_7_D7:5"", ""conv-26_session_6_D6:3"", ""conv-26_session_12_D12:20""]"
conv-26_qa_2,3,cassandra-materialized,conv-26,conv-26_session_1_D1:9,1,419,1,2.9261,4.9677,65.2734,74.4636,7.2588,1.5319,83.2543,1,1,"[""conv-26_session_1_D1:9"", ""conv-26_session_1_D1:10"", ""conv-26_session_4_D4:11"", ""conv-26_session_13_D13:7"", ""conv-26_session_4_D4:14"", ""conv-26_session_7_D7:8"", ""conv-26_session_1_D1:11"", ""conv-26_session_7_D7:5"", ""conv-26_session_6_D6:3"", ""conv-26_session_12_D12:20""]"
conv-26_qa_2,3,neo4j-native,conv-26,conv-26_session_1_D1:9,1,419,1,16.5105,39.3579,69.4918,75.3534,36.8687,1.3566,113.5787,1,1,"[""conv-26_session_1_D1:9"", ""conv-26_session_1_D1:10"", ""conv-26_session_4_D4:11"", ""conv-26_session_13_D13:7"", ""conv-26_session_4_D4:14"", ""conv-26_session_7_D7:8"", ""conv-26_session_1_D1:11"", ""conv-26_session_7_D7:5"", ""conv-26_session_6_D6:3"", ""conv-26_session_12_D12:20""]"
conv-26_qa_2,3,neo4j-materialized,conv-26,conv-26_session_1_D1:9,1,419,1,3.8337,21.1933,67.342,74.8304,33.5912,1.3469,109.7685,1,1,"[""conv-26_session_1_D1:9"", ""conv-26_session_1_D1:10"", ""conv-26_session_4_D4:11"", ""conv-26_session_13_D13:7"", ""conv-26_session_4_D4:14"", ""conv-26_session_7_D7:8"", ""conv-26_session_1_D1:11"", ""conv-26_session_7_D7:5"", ""conv-26_session_6_D6:3"", ""conv-26_session_12_D12:20""]"
conv-26_qa_3,1,cassandra-base,conv-26,conv-26_session_2_D2:8,1,419,1,33.3383,58.5436,76.1809,90.4046,8.6191,2.285,101.3087,1,3,"[""conv-26_session_10_D10:15"", ""conv-26_session_4_D4:11"", ""conv-26_session_2_D2:8"", ""conv-26_session_7_D7:21"", ""conv-26_session_12_D12:6"", ""conv-26_session_1_D1:4"", ""conv-26_session_6_D6:7"", ""conv-26_session_15_D15:10"", ""conv-26_session_6_D6:3"", ""conv-26_session_7_D7:13""]"
conv-26_qa_3,1,cassandra-materialized,conv-26,conv-26_session_2_D2:8,1,419,1,32.9052,38.7493,56.834,87.6083,11.762,2.6241,101.9944,1,3,"[""conv-26_session_10_D10:15"", ""conv-26_session_4_D4:11"", ""conv-26_session_2_D2:8"", ""conv-26_session_7_D7:21"", ""conv-26_session_12_D12:6"", ""conv-26_session_1_D1:4"", ""conv-26_session_6_D6:7"", ""conv-26_session_15_D15:10"", ""conv-26_session_6_D6:3"", ""conv-26_session_7_D7:13""]"
conv-26_qa_3,1,neo4j-native,conv-26,conv-26_session_2_D2:8,1,419,1,4.7507,18.7254,36.0103,46.1048,66.3395,1.1127,113.557,1,3,"[""conv-26_session_10_D10:15"", ""conv-26_session_4_D4:11"", ""conv-26_session_2_D2:8"", ""conv-26_session_7_D7:21"", ""conv-26_session_12_D12:6"", ""conv-26_session_1_D1:4"", ""conv-26_session_6_D6:7"", ""conv-26_session_15_D15:10"", ""conv-26_session_6_D6:3"", ""conv-26_session_7_D7:13""]"
conv-26_qa_3,1,neo4j-materialized,conv-26,conv-26_session_2_D2:8,1,419,1,3.1762,4.221,34.6252,37.4917,70.4676,1.1939,109.1532,1,3,"[""conv-26_session_10_D10:15"", ""conv-26_session_4_D4:11"", ""conv-26_session_2_D2:8"", ""conv-26_session_7_D7:21"", ""conv-26_session_12_D12:6"", ""conv-26_session_1_D1:4"", ""conv-26_session_6_D6:7"", ""conv-26_session_15_D15:10"", ""conv-26_session_6_D6:3"", ""conv-26_session_7_D7:13""]"
conv-26_qa_4,1,cassandra-base,conv-26,conv-26_session_1_D1:5,1,419,1,29.9501,51.1215,69.7305,75.9434,8.4253,2.0082,,0,,"[""conv-26_session_11_D11:12"", ""conv-26_session_13_D13:13"", ""conv-26_session_11_D11:10"", ""conv-26_session_15_D15:15"", ""conv-26_session_16_D16:13"", ""conv-26_session_10_D10:15"", ""conv-26_session_16_D16:9"", ""conv-26_session_19_D19:7"", ""conv-26_session_4_D4:2"", ""conv-26_session_17_D17:22""]"
