Backend design,Concurrency,p50 (ms),p95 (ms),p99 (ms),Throughput (ops/s),FreshHit@10,Error rate
Cassandra-base,1,16.10,91.51,134.97,46.28,0.764,0.000
Cassandra-base,8,20.95,118.52,255.02,222.85,0.764,0.000
Cassandra-base,16,37.99,317.38,628.45,223.87,0.764,0.000
Cassandra-base,32,74.10,712.84,1204.11,222.55,0.764,0.000
Cassandra-base,64,159.64,1063.39,2099.98,234.08,0.764,0.000
Cassandra-materialized,1,15.89,83.84,118.75,48.70,0.764,0.000
Cassandra-materialized,8,20.73,119.21,261.40,223.98,0.764,0.000
Cassandra-materialized,16,38.11,342.85,608.61,221.97,0.764,0.000
Cassandra-materialized,32,75.30,720.12,1172.27,220.21,0.764,0.000
Cassandra-materialized,64,166.28,1042.13,2012.92,232.23,0.764,0.000
Neo4j-native,1,13.11,48.52,78.34,64.10,0.764,0.000
Neo4j-native,8,251.29,330.65,409.36,32.52,0.764,0.000
Neo4j-native,16,522.70,650.60,794.69,31.54,0.764,0.000
Neo4j-native,32,1146.14,1416.08,1776.94,28.83,0.764,0.000
Neo4j-native,64,2374.95,2858.48,3497.56,28.09,0.764,0.000
Neo4j-materialized,1,13.39,47.34,76.95,61.61,0.764,0.000
Neo4j-materialized,8,266.05,371.17,468.31,30.28,0.764,0.000
Neo4j-materialized,16,559.09,711.03,925.68,29.34,0.764,0.000
Neo4j-materialized,32,1150.83,1538.14,1819.89,28.17,0.764,0.000
Neo4j-materialized,64,2191.12,2563.40,3048.63,30.56,0.764,0.000
