cell,concurrency,repetitions,measured_operations_per_rep,reads_per_rep,updates_per_rep,throughput_ops_s_median,throughput_ops_s_min,throughput_ops_s_max,latency_p50_ms_median,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_median,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_median,latency_p99_ms_min,latency_p99_ms_max,read_p50_ms_median,read_p50_ms_min,read_p50_ms_max,read_p95_ms_median,read_p95_ms_min,read_p95_ms_max,read_p99_ms_median,read_p99_ms_min,read_p99_ms_max,update_p50_ms_median,update_p50_ms_min,update_p50_ms_max,update_p95_ms_median,update_p95_ms_min,update_p95_ms_max,update_p99_ms_median,update_p99_ms_min,update_p99_ms_max,fresh_hit_at_10_median,fresh_hit_at_10_min,fresh_hit_at_10_max,error_rate_median,error_rate_min,error_rate_max,status
cassandra-base,1,3,5000,4750,250,46.28142770199948,46.274496509537855,46.31839707657955,16.09715,16.07685,16.1802,91.50750000000002,88.29106000000037,96.80071500000011,134.96939300000003,134.554541,135.24228300000004,15.9919,15.953050000000001,16.052300000000002,19.118105,18.97496,19.136845,21.04825900000002,20.64408600000001,21.438748,126.8496,126.31989999999999,127.3039,152.55345,149.48234,155.922915,210.457352,208.280746,215.62035,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,8,3,5000,4750,250,222.85454177527205,220.66491148334154,225.98928277462355,20.9494,20.6511,21.2962,118.5171500000001,114.9971800000001,120.89434000000003,255.02078300000028,247.50102800000008,273.13244300000036,20.199550000000002,19.94865,20.50805,80.41099000000003,79.271625,82.03383000000002,114.553866,110.636911,117.26809800000001,187.9721,179.87759999999997,200.12785,324.238245,321.2351599999999,348.56526999999994,375.42452099999997,355.31527199999994,378.51887899999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,16,3,5000,4750,250,223.86555659073036,223.11129594640303,224.98533613092778,37.98675,36.397949999999994,39.488550000000004,317.3834250000001,306.33864000000034,342.3151550000003,628.4528680000002,624.8851850000002,641.8771520000001,36.5214,34.8557,37.87335,122.54474,121.35936500000001,127.08959000000003,203.61217500000222,186.92975400000037,212.02221100000003,524.07035,507.41965000000005,529.73315,697.7776449999999,693.53157,725.2737549999999,845.978714,794.699056,933.6248049999994,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,32,3,5000,4750,250,222.55244851263183,221.65133507340508,225.17261293435362,74.09694999999999,73.8806,74.5774,712.8428700000002,692.4351950000004,723.82523,1204.113339000001,1146.9189250000013,1215.0619640000007,71.2543,70.89925,71.96459999999999,228.9963100000002,208.6381950000001,229.27636000000004,599.5675800000005,566.0779830000002,602.0113350000005,1027.3843,1017.37295,1030.4063999999998,1387.0514699999999,1276.681935,1488.9377549999992,1745.6845039999985,1441.8908149999993,1874.0801389999995,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,64,3,5000,4750,250,234.08085509463618,232.30288944196025,235.39899703927688,159.64425,156.89870000000002,160.02295,1063.391115000003,962.7173500000016,1119.0897450000002,2099.982496000003,2060.3783630000016,2120.89804,155.02605,153.26,156.24685,387.31241500000004,368.9167450000001,434.4260750000004,746.790409000001,732.3132760000007,765.5347710000001,1809.1541,1790.3650499999999,1838.4112,2472.0948349999985,2421.7719049999996,2783.9663549999996,2879.051863,2791.650116,3089.040611,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,1,3,5000,4750,250,48.698306253625354,48.44585381227334,48.82618816429997,15.88805,15.8299,16.027250000000002,83.84241000000002,83.3447600000002,84.3191850000001,118.75374700000003,116.65215500000005,121.0340290000001,15.712150000000001,15.6761,15.8792,19.372755,19.31846,19.444734999999998,21.388221000000012,21.306063000000005,21.57611,110.51345,109.97749999999999,110.74565000000001,165.53691499999988,139.93716499999982,173.07290999999995,185.461324,183.261785,197.05558899999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,8,3,5000,4750,250,223.97877727638982,222.0652004123491,224.15762003483295,20.73375,20.660800000000002,20.73785,119.20849000000003,117.40441000000001,121.626275,261.4017320000004,253.3095450000004,269.00933000000015,20.007199999999997,19.9162,20.11105,81.395565,75.65918500000001,82.65736000000011,115.03025300000002,114.98393100000034,120.9800200000002,187.13115,183.33384999999998,187.58265,344.1014799999999,322.32606499999997,345.54736999999994,368.39673699999986,345.47414999999995,388.493652,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,16,3,5000,4750,250,221.96814860055778,220.25626957946574,226.5838577589286,38.1079,37.46535,39.283249999999995,342.8483450000006,327.73043500000034,355.7921350000001,608.607372,607.9432170000002,622.49602,36.863699999999994,35.71625,37.535,120.088825,118.71726500000003,122.14670500000004,215.1328280000003,205.11482300000057,254.14879800000074,532.44995,498.151,539.6451999999999,686.5846149999999,676.9944899999999,716.681765,758.9306949999993,750.6252839999999,906.5858949999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,32,3,5000,4750,250,220.21378733237356,219.75878388039266,222.83691736343314,75.30385,74.02455,79.53355,720.1225750000013,689.6658750000003,733.3264750000003,1172.2684150000007,1144.7726170000008,1189.8764560000006,72.64484999999999,71.44309999999999,76.3865,223.61467500000015,215.771015,224.19562000000002,643.1505080000013,578.510801,651.6289110000002,1021.712,1018.2950000000001,1031.07495,1341.183475,1302.42963,1451.999814999999,1800.2456599999996,1616.7416569999996,1898.6198479999994,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,64,3,5000,4750,250,232.23398625685797,230.10314870646286,232.5766840099018,166.27839999999998,165.32330000000002,166.94025,1042.1272600000011,967.6475050000026,1103.1216550000004,2012.9245740000006,1992.7159230000002,2086.7448090000025,162.33875,161.0706,162.6226,420.53423000000026,402.98407500000025,420.62827,802.794185,724.2881680000015,856.8358680000001,1727.8759,1688.92085,1729.22145,2492.8290049999996,2437.3146749999996,2607.5754349999997,2893.542939999998,2714.1323509999993,2895.2364549999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
