op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_00050,cassandra-base,8,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,1,9,4.6407,68.5814,73.4894,108.9083,114.392,9.147,3.4022,0.3835,0.325,127.7063,1,1,1,566
r2_measured_00069,cassandra-base,8,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,1,14,16.3147,48.2026,53.4483,98.4567,186.1147,17.4174,5.77,0.6381,0.3596,,0,1,1,626
r2_measured_00104,cassandra-base,8,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,1,14,4.6326,23.1722,32.3717,63.8529,72.3142,17.4916,5.6912,2.5658,0.3311,98.4475,1,1,1,508
r2_measured_00142,cassandra-base,8,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,1,14,6.4134,50.7857,146.2475,184.1306,193.672,12.6437,2.5093,1.4756,0.3117,210.6698,1,1,1,628
r2_measured_00147,cassandra-base,8,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,0,2,10.5564,48.5075,48.5119,172.0849,183.5852,13.0096,2.2634,1.9766,0.322,,0,1,1,679
r2_measured_00165,cassandra-base,8,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,0,2,11.6987,47.1252,47.1289,84.6067,205.672,6.8076,7.7026,0.4978,0.3487,221.0922,1,1,1,679
r2_measured_00166,cassandra-base,8,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,1,18,8.2349,57.7472,81.6296,115.9025,187.7478,3.0389,2.4559,0.4432,0.4111,194.1623,1,1,1,509
r2_measured_00173,cassandra-base,8,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,1,12,6.6883,86.7094,93.0599,121.5596,177.9063,7.5134,6.1902,1.3723,0.3446,,0,1,1,686
r2_measured_00182,cassandra-base,8,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,1,10,20.2476,62.2616,73.5213,108.8447,156.9135,8.8712,11.3341,2.6549,0.351,180.1872,1,1,1,661
r2_measured_00216,cassandra-base,8,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,0,2,4.9248,31.1664,31.1706,66.658,140.0215,16.214,25.9439,0.7417,0.4524,,0,1,1,629
