op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r0_measured_00015,cassandra-materialized,16,0,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,1,7,96.2761,136.1546,152.1102,204.7616,627.4852,23.8335,11.539,0.406,0.3168,663.6478,1,1,1,681
r0_measured_00024,cassandra-materialized,16,0,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,1,6,13.6163,93.9666,104.7144,140.573,399.5912,17.9633,2.755,0.2159,0.319,,0,1,1,367
r0_measured_00070,cassandra-materialized,16,0,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,1,10,19.3276,50.279,65.8752,186.3334,394.7303,9.4901,39.9175,0.6919,0.3089,445.2019,1,1,1,677
r0_measured_00094,cassandra-materialized,16,0,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0,1,7.2408,118.5187,118.523,149.4169,301.1902,25.162,8.9463,0.4462,0.31,336.1091,1,1,1,509
r0_measured_00097,cassandra-materialized,16,0,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,1,12,90.5793,141.2009,147.3302,181.105,381.3194,12.9011,17.3971,0.9699,0.3562,,0,1,1,688
r0_measured_00115,cassandra-materialized,16,0,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,2,12,8.879,64.4686,91.6546,118.9537,253.5604,4.8144,2.7364,0.3227,0.3214,261.8129,1,1,1,416
r0_measured_00132,cassandra-materialized,16,0,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,1,7,11.5743,57.5347,61.7108,90.1625,197.2145,6.5585,2.7632,1.9794,0.3232,,0,1,1,418
r0_measured_00143,cassandra-materialized,16,0,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,1,8,16.8824,63.9472,75.1656,106.1296,466.4421,9.8664,114.1148,1.4776,0.3777,592.3483,1,1,1,681
r0_measured_00157,cassandra-materialized,16,0,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,6,23.8178,56.769,59.5702,101.3265,382.1272,28.679,5.004,3.3103,0.3438,419.529,1,1,1,566
r0_measured_00190,cassandra-materialized,16,0,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,1,6,13.2594,55.3882,66.0978,155.3162,440.6201,9.5983,10.9901,1.3573,0.3281,462.9565,1,1,1,565
r0_measured_00196,cassandra-materialized,16,0,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,0,1,16.5731,63.9674,63.972,121.0971,476.3666,17.2704,37.9003,2.6811,0.4338,,0,1,1,686
