op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r1_measured_00001,neo4j-materialized,16,1,lr000013::conv-42_qa_197,lr000013::conv-42,lr000013::conv-42_session_29_D29:8,1,7,5.3759,89.5718,103.8335,126.5776,214.9282,426.0727,7.4537,0.5367,0.3104,649.3672,1,1,1,628
r1_measured_00037,neo4j-materialized,16,1,lr000014::conv-41_qa_98,lr000014::conv-41,lr000014::conv-41_session_15_D15:13,1,10,4.4088,46.2509,74.1543,103.8158,201.1607,494.6165,4.0726,0.5512,0.3509,700.8316,1,1,1,660
r1_measured_00048,neo4j-materialized,16,1,lr000013::conv-30_qa_9,lr000013::conv-30,lr000013::conv-30_session_2_D2:5,1,8,6.8308,29.9557,44.5903,63.0775,131.6655,298.2713,0.8044,0.2851,0.3524,431.4471,1,1,1,366
r1_measured_00073,neo4j-materialized,16,1,lr000008::conv-26_qa_68,lr000008::conv-26,lr000008::conv-26_session_16_D16:8,2,15,6.4785,42.7175,99.5886,123.4085,192.1367,304.03,2.8862,0.5036,0.39,500.011,1,1,1,417
r1_measured_00080,neo4j-materialized,16,1,lr000002::conv-41_qa_0,lr000002::conv-41,lr000002::conv-41_session_13_D13:16,0,1,5.2571,32.2765,32.2805,61.9009,161.4373,467.8701,2.98,0.402,0.3262,633.0774,1,1,1,663
r1_measured_00119,neo4j-materialized,16,1,lr000001::conv-42_qa_19,lr000001::conv-42,lr000001::conv-42_session_8_D8:4,1,7,4.9431,31.7972,48.3918,75.9894,194.6022,449.9427,6.2578,1.0182,0.3242,652.2083,1,1,1,627
r1_measured_00125,neo4j-materialized,16,1,lr000012::conv-30_qa_41,lr000012::conv-30,lr000012::conv-30_session_1_D1:17,1,7,5.0431,30.2498,47.5121,67.7846,131.9429,269.1248,0.8271,0.2073,0.3028,402.4509,1,1,1,368
r1_measured_00155,neo4j-materialized,16,1,lr000014::conv-41_qa_136,lr000014::conv-41,lr000014::conv-41_session_27_D27:13,0,1,3.6473,37.9685,37.9749,72.6274,183.9779,475.4144,6.1944,0.3853,0.3126,666.3458,1,1,1,661
r1_measured_00169,neo4j-materialized,16,1,lr000003::conv-47_qa_93,lr000003::conv-47,lr000003::conv-47_session_12_D12:5,0,1,5.728,30.3854,30.3898,58.8446,172.9505,468.7094,7.7333,0.4294,0.3239,650.2146,1,1,1,687
r1_measured_00231,neo4j-materialized,16,1,lr000003::conv-47_qa_5,lr000003::conv-47,lr000003::conv-47_session_3_D3:11,0,1,5.5442,35.8141,35.8197,116.0707,216.1323,508.1612,5.5573,0.4065,0.3076,,0,1,1,688
r1_measured_00233,neo4j-materialized,16,1,lr000014::conv-48_qa_112,lr000014::conv-48,lr000014::conv-48_session_6_D6:4,1,8,4.9139,25.8653,40.1741,72.0506,192.5283,483.509,6.367,0.762,0.3229,683.5538,1,1,1,679
r1_measured_00273,neo4j-materialized,16,1,lr000005::conv-42_qa_44,lr000005::conv-42,lr000005::conv-42_session_22_D22:2,1,16,4.973,36.6449,55.717,99.4398,206.5204,443.1772,8.4131,0.57,0.3617,659.128,1,1,1,629
r1_measured_00274,neo4j-materialized,16,1,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,1,6,5.8295,29.9738,57.0977,82.4066,179.4764,378.3624,3.5674,0.365,0.3698,562.2145,1,1,1,564
