op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_00050,neo4j-native,32,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,1,8,16.5719,59.3126,97.66,135.0857,316.3944,861.3906,13.9851,0.411,0.3365,1192.5849,1,1,1,566
r2_measured_00069,neo4j-native,32,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,1,13,6.8301,50.8378,96.1565,124.0628,354.0522,1030.7382,10.6769,1.084,0.3638,,0,1,1,626
r2_measured_00104,neo4j-native,32,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,1,13,8.059,38.5382,72.1421,152.6958,334.2243,820.2414,10.585,0.809,0.3458,1166.2694,1,1,1,508
r2_measured_00142,neo4j-native,32,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,1,13,10.1738,47.0134,69.4542,110.2135,349.2624,1101.4549,11.6935,0.9671,0.3305,1463.7776,1,1,1,628
r2_measured_00147,neo4j-native,32,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,0,3,7.7623,41.3919,41.3971,84.7779,329.1967,1212.1967,11.217,1.556,0.4383,,0,1,1,679
r2_measured_00165,neo4j-native,32,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,0,3,8.2386,40.7991,40.8037,84.4094,427.3354,1065.8562,13.2037,0.5715,0.388,1507.4402,1,1,1,679
r2_measured_00166,neo4j-native,32,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,1,17,6.3416,70.5636,89.616,122.1339,373.4838,751.5182,5.8643,0.7759,0.3378,1132.0475,1,1,1,509
r2_measured_00173,neo4j-native,32,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,1,11,6.9557,47.478,82.8115,164.4882,429.7874,1043.8366,6.8937,0.4767,0.3354,,0,1,1,686
r2_measured_00182,neo4j-native,32,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,1,9,6.6978,42.4059,69.8586,115.7732,346.1372,1041.4526,14.1426,1.4056,0.3772,1403.5877,1,1,1,661
r2_measured_00216,neo4j-native,32,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,0,3,9.355,45.4235,45.4289,81.9618,285.2489,1080.3947,6.796,0.7432,0.3407,,0,1,1,629
r2_measured_00237,neo4j-native,32,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,1,15,9.3658,67.6811,96.8032,131.7794,397.6488,1007.2452,25.3581,0.8476,0.5528,1431.7503,1,1,1,672
r2_measured_00247,neo4j-native,32,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,1,8,6.965,41.1458,56.9998,90.1233,305.0868,1066.6757,11.9241,0.8255,0.3384,1384.9294,1,1,1,680
r2_measured_00270,neo4j-native,32,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,1,13,7.8689,37.5777,74.6835,102.9436,250.2092,921.6026,16.0171,0.6211,0.3557,1188.8769,1,1,1,509
r2_measured_00278,neo4j-native,32,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,0,3,4.4459,51.6267,51.6324,85.1952,329.8194,1045.9927,12.4756,0.7348,0.348,,0,1,1,624
r2_measured_00280,neo4j-native,32,2,lr000011::conv-41_qa_44,lr000011::conv-41,lr000011::conv-41_session_25_D25:2,1,11,20.3936,82.687,105.9545,141.2066,366.6849,1093.3815,18.9897,0.9294,0.3625,1480.4368,1,1,1,662
r2_measured_00329,neo4j-native,32,2,lr000008::conv-44_qa_22,lr000008::conv-44,lr000008::conv-44_session_14_D14:1,2,16,5.8044,57.531,132.6965,169.8392,473.319,999.5743,6.6628,0.8973,0.3333,1480.8654,1,1,1,674
r2_measured_00338,neo4j-native,32,2,lr000010::conv-26_qa_145,lr000010::conv-26,lr000010::conv-26_session_18_D18:5,1,11,6.6788,33.1863,50.7362,83.7497,279.9483,607.3105,3.761,0.4778,0.587,892.1827,1,1,1,418
r2_measured_00341,neo4j-native,32,2,lr000013::conv-48_qa_169,lr000013::conv-48,lr000013::conv-48_session_24_D24:2,2,14,6.0062,46.4093,141.7253,179.5709,396.9562,1120.1561,12.6775,0.4782,0.358,1530.6992,1,1,1,679
r2_measured_00342,neo4j-native,32,2,lr000012::conv-48_qa_163,lr000012::conv-48,lr000012::conv-48_session_22_D22:25,0,3,5.7038,46.4802,46.4853,114.7251,349.7762,1096.5619,9.8065,1.0379,0.3342,1457.6034,1,1,1,681
r2_measured_00368,neo4j-native,32,2,lr000007::conv-44_qa_22,lr000007::conv-44,lr000007::conv-44_session_14_D14:1,2,16,6.8359,53.28,130.9059,172.522,384.2952,1034.7554,12.0375,1.4513,0.3763,1433.0159,1,1,1,675
r2_measured_00427,neo4j-native,32,2,lr000007::conv-49_qa_153,lr000007::conv-49,lr000007::conv-49_session_25_D25:8,1,8,7.2937,45.54,66.277,98.4276,251.7271,726.834,15.4854,1.5931,0.3271,996.0344,1,1,1,507
r2_measured_00479,neo4j-native,32,2,lr000007::conv-26_qa_150,lr000007::conv-26,lr000007::conv-26_session_18_D18:13,0,3,6.6937,35.3653,35.3705,70.9291,224.0977,593.3973,4.4445,0.2813,0.3368,,0,1,1,418
r2_measured_00519,neo4j-native,32,2,lr000005::conv-30_qa_8,lr000005::conv-30,lr000005::conv-30_session_2_D2:4,2,20,7.7195,47.4284,88.1172,117.3499,228.9657,660.2894,1.1221,0.5429,0.3548,891.3327,1,1,1,369
r2_measured_00534,neo4j-native,32,2,lr000010::conv-44_qa_25,lr000010::conv-44,lr000010::conv-44_session_17_D17:1,1,8,6.4565,52.9868,106.1035,192.7617,417.1261,1094.8299,9.498,0.6409,0.3483,1522.5226,1,1,1,674
r2_measured_00549,neo4j-native,32,2,lr000006::conv-47_qa_13,lr000006::conv-47,lr000006::conv-47_session_6_D6:12,1,13,7.4528,49.9007,77.5138,113.5762,346.5304,1082.8586,11.5521,1.0072,0.4806,1442.5054,1,1,1,688
r2_measured_00560,neo4j-native,32,2,lr000001::conv-49_qa_112,lr000001::conv-49,lr000001::conv-49_session_9_D9:5,1,17,6.1282,50.0982,81.2086,114.2757,280.8574,807.0753,14.7787,0.3676,0.3412,,0,1,1,508
r2_measured_00572,neo4j-native,32,2,lr000014::conv-43_qa_158,lr000014::conv-43,lr000014::conv-43_session_25_D25:14,1,13,9.1774,45.1084,80.6952,115.319,348.2967,1133.5254,15.6713,1.9959,0.3712,1499.9457,1,1,1,680
r2_measured_00588,neo4j-native,32,2,lr000009::conv-42_qa_106,lr000009::conv-42,lr000009::conv-42_session_4_D4:16,0,3,10.0051,42.8804,42.885,81.9759,295.6955,1031.3581,14.7339,0.4428,0.3344,,0,1,1,625
r2_measured_00608,neo4j-native,32,2,lr000009::conv-44_qa_34,lr000009::conv-44,lr000009::conv-44_session_12_D12:1,1,8,7.3531,58.5505,97.7491,130.996,382.2315,1038.736,7.5849,0.707,0.3864,1429.7197,1,1,1,673
r2_measured_00644,neo4j-native,32,2,lr000002::conv-26_qa_103,lr000002::conv-26,lr000002::conv-26_session_6_D6:10,0,3,8.0688,48.6877,48.6933,80.9996,269.4219,764.2003,2.5309,0.2796,0.3307,1036.8209,1,1,1,419
r2_measured_00652,neo4j-native,32,2,lr000014::conv-42_qa_169,lr000014::conv-42,lr000014::conv-42_session_24_D24:4,1,8,9.4766,34.2542,71.3794,106.2814,305.7902,1003.7572,6.575,0.8958,0.3341,,0,1,1,625
