ordinal,qa_id,category,scope_id,scope_memory_count,gold_memory_id,baseline_build_ms,sparse_update_ms,dense_update_ms,fusion_search_ms,index_plus_search_ms,fresh_hit_at_10,gold_rank,top10_ids
0,conv-26_qa_11,1,conv-26,419,conv-26_session_3_D3:13,42.1129,13.5038,2.0315,1.2618,16.7971,1,3,"[""conv-26_session_8_D8:29"", ""conv-26_session_15_D15:21"", ""conv-26_session_3_D3:13"", ""conv-26_session_8_D8:22"", ""conv-26_session_3_D3:16"", ""conv-26_session_17_D17:2"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:27"", ""conv-26_session_3_D3:1"", ""conv-26_session_4_D4:5""]"
1,conv-26_qa_76,1,conv-26,419,conv-26_session_18_D18:17,18.1614,15.9887,2.4237,2.0169,20.429299999999998,1,4,"[""conv-26_session_4_D4:8"", ""conv-26_session_18_D18:1"", ""conv-26_session_12_D12:2"", ""conv-26_session_18_D18:17"", ""conv-26_session_8_D8:34"", ""conv-26_session_14_D14:1"", ""conv-26_session_2_D2:7"", ""conv-26_session_4_D4:6"", ""conv-26_session_17_D17:26"", ""conv-26_session_18_D18:19""]"
2,conv-41_qa_36,1,conv-41,663,conv-41_session_20_D20:4,33.6378,27.2238,3.7685,2.6751,33.6674,1,7,"[""conv-41_session_8_D8:12"", ""conv-41_session_29_D29:9"", ""conv-41_session_20_D20:5"", ""conv-41_session_3_D3:5"", ""conv-41_session_12_D12:17"", ""conv-41_session_24_D24:11"", ""conv-41_session_20_D20:4"", ""conv-41_session_29_D29:3"", ""conv-41_session_22_D22:10"", ""conv-41_session_10_D10:11""]"
3,conv-42_qa_53,1,conv-42,629,conv-42_session_5_D5:4,31.2165,19.807,3.5831,1.8837,25.273799999999998,0,,"[""conv-42_session_25_D25:15"", ""conv-42_session_24_D24:9"", ""conv-42_session_26_D26:10"", ""conv-42_session_29_D29:6"", ""conv-42_session_2_D2:14"", ""conv-42_session_5_D5:6"", ""conv-42_session_28_D28:25"", ""conv-42_session_25_D25:27"", ""conv-42_session_29_D29:10"", ""conv-42_session_5_D5:12""]"
4,conv-43_qa_26,1,conv-43,680,conv-43_session_17_D17:1,32.2129,22.7453,3.6665,2.6526,29.0644,0,,"[""conv-43_session_26_D26:34"", ""conv-43_session_26_D26:36"", ""conv-43_session_22_D22:15"", ""conv-43_session_26_D26:38"", ""conv-43_session_4_D4:7"", ""conv-43_session_2_D2:15"", ""conv-43_session_26_D26:28"", ""conv-43_session_22_D22:7"", ""conv-43_session_28_D28:19"", ""conv-43_session_4_D4:13""]"
5,conv-44_qa_26,1,conv-44,675,conv-44_session_12_D12:3,30.982,19.1992,3.4858,1.8417,24.5267,1,3,"[""conv-44_session_21_D21:5"", ""conv-44_session_21_D21:7"", ""conv-44_session_12_D12:3"", ""conv-44_session_10_D10:12"", ""conv-44_session_12_D12:5"", ""conv-44_session_10_D10:2"", ""conv-44_session_6_D6:1"", ""conv-44_session_20_D20:2"", ""conv-44_session_14_D14:11"", ""conv-44_session_22_D22:1""]"
6,conv-47_qa_40,1,conv-47,689,conv-47_session_2_D2:17,33.6304,19.4189,3.1543,2.3165,24.8897,1,1,"[""conv-47_session_2_D2:17"", ""conv-47_session_18_D18:18"", ""conv-47_session_9_D9:16"", ""conv-47_session_1_D1:12"", ""conv-47_session_9_D9:14"", ""conv-47_session_15_D15:3"", ""conv-47_session_31_D31:17"", ""conv-47_session_15_D15:1"", ""conv-47_session_9_D9:12"", ""conv-47_session_8_D8:17""]"
7,conv-48_qa_88,1,conv-48,681,conv-48_session_12_D12:1,28.6228,18.5249,3.3872,2.3835,24.2956,0,,"[""conv-48_session_1_D1:13"", ""conv-48_session_19_D19:3"", ""conv-48_session_15_D15:13"", ""conv-48_session_4_D4:12"", ""conv-48_session_15_D15:11"", ""conv-48_session_7_D7:4"", ""conv-48_session_13_D13:14"", ""conv-48_session_3_D3:10"", ""conv-48_session_7_D7:18"", ""conv-48_session_1_D1:15""]"
8,conv-49_qa_69,1,conv-49,509,conv-49_session_19_D19:1,23.0025,15.333,2.3997,1.5767,19.3094,1,2,"[""conv-49_session_23_D23:2"", ""conv-49_session_19_D19:1"", ""conv-49_session_19_D19:10"", ""conv-49_session_5_D5:2"", ""conv-49_session_17_D17:11"", ""conv-49_session_23_D23:1"", ""conv-49_session_25_D25:2"", ""conv-49_session_25_D25:3"", ""conv-49_session_16_D16:8"", ""conv-49_session_23_D23:10""]"
9,conv-50_qa_53,1,conv-50,568,conv-50_session_25_D25:6,26.2112,19.6646,2.8466,1.5102,24.0214,1,2,"[""conv-50_session_29_D29:7"", ""conv-50_session_25_D25:6"", ""conv-50_session_29_D29:5"", ""conv-50_session_30_D30:13"", ""conv-50_session_25_D25:24"", ""conv-50_session_4_D4:16"", ""conv-50_session_25_D25:10"", ""conv-50_session_22_D22:12"", ""conv-50_session_22_D22:13"", ""conv-50_session_29_D29:9""]"
