variant,scope,method,query_id,memory_id,rank,score
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_1_D1:3,1,25.510863742283007
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_1_D1:7,2,13.792397107104588
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_10_D10:5,3,7.3921965530717
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_12_D12:1,4,5.658745131326796
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_2_D2:12,5,5.488264551939086
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_5_D5:2,6,5.365547630020961
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_10_D10:3,7,5.134995582071527
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_8_D8:22,8,5.118014999911417
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_1_D1:6,9,4.917369897771548
Raw,heldout1150,BM25,conv-26_qa_0,conv-26_session_1_D1:4,10,4.657289189620308
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_1_D1:14,1,7.312910000316777
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_14_D14:3,2,6.438030000260326
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_13_D13:10,3,4.734931733132725
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_14_D14:22,4,4.5709357677109885
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_15_D15:13,5,4.5709357677109885
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_14_D14:6,6,4.386994799520759
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_10_D10:15,7,4.305448924688925
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_11_D11:5,8,4.069108940612315
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_14_D14:28,9,4.069108940612315
Raw,heldout1150,BM25,conv-26_qa_1,conv-26_session_8_D8:18,10,4.069108940612315
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_4_D4:14,1,5.993684122407892
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_13_D13:7,2,5.360359702386194
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_7_D7:8,3,4.59235684526109
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_13_D13:18,4,1.809447611092972
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_12_D12:14,5,1.7043521649315283
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_12_D12:20,6,1.6107947750828133
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_14_D14:18,7,1.6107947750828133
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_17_D17:22,8,1.6107947750828133
Raw,heldout1150,BM25,conv-26_qa_2,conv-26_session_8_D8:28,9,1.6107947750828133
