variant,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Raw,4,Single-Hop,612,0.5371206816059754,0.3937908496732026,0.7271241830065359,0.826797385620915,0.8216230936819173,0.604171082725871
Raw,1,Multi-Hop,224,0.41501913265306134,0.26785714285714285,0.6160714285714286,0.7366071428571429,0.4558286696855775,0.35518859232461863
Raw,2,Temporal,239,0.5939596201102475,0.4811715481171548,0.7364016736401674,0.8158995815899581,0.7887029288702928,0.6301785090909787
Raw,3,Open-Domain,71,0.30604180639391904,0.22535211267605634,0.4225352112676056,0.5070422535211268,0.36902789284727977,0.280145285344544
RawE,4,Single-Hop,612,0.5586458657537083,0.41830065359477125,0.75,0.8447712418300654,0.8404139433551199,0.6246091432197624
RawE,1,Multi-Hop,224,0.43296308106575976,0.29017857142857145,0.6205357142857143,0.7633928571428571,0.47744518561012905,0.37295879307274077
RawE,2,Temporal,239,0.63839244205353,0.5523012552301255,0.7656903765690377,0.8075313807531381,0.7845188284518828,0.662920677207533
RawE,3,Open-Domain,71,0.30240330874133686,0.2112676056338028,0.4084507042253521,0.5211267605633803,0.39250207125103564,0.2886333576518511
RawR,4,Single-Hop,612,0.5474601877788149,0.4019607843137255,0.7418300653594772,0.8431372549019608,0.8395969498910676,0.6163499458201087
RawR,1,Multi-Hop,224,0.42180590986394567,0.27232142857142855,0.6116071428571429,0.7544642857142857,0.4668830914542849,0.3619955666301208
RawR,2,Temporal,239,0.6119529122667196,0.5062761506276151,0.7405857740585774,0.8117154811715481,0.7845188284518827,0.6424993246529215
RawR,3,Open-Domain,71,0.3095629331544824,0.22535211267605634,0.43661971830985913,0.5211267605633803,0.3760701463684065,0.2863691785097254
RawK,4,Single-Hop,612,0.5617815644776425,0.4264705882352941,0.7434640522875817,0.8382352941176471,0.8346949891067539,0.6260706000869577
RawK,1,Multi-Hop,224,0.4316326530612245,0.2857142857142857,0.6294642857142857,0.7544642857142857,0.47223685227679574,0.3700766465562026
RawK,2,Temporal,239,0.622597462974032,0.5230125523012552,0.7447698744769874,0.8200836820083682,0.7949790794979078,0.6541704757442356
RawK,3,Open-Domain,71,0.2900961323496534,0.19718309859154928,0.4084507042253521,0.5211267605633803,0.3933305716652859,0.2825879383031583
RawER,4,Single-Hop,612,0.572653413217138,0.43137254901960786,0.7630718954248366,0.8513071895424836,0.8469498910675382,0.6370437517988157
RawER,1,Multi-Hop,224,0.44701849489795925,0.29910714285714285,0.6339285714285714,0.7767857142857143,0.4831542126419945,0.3812666426612775
RawER,2,Temporal,239,0.640451285116557,0.5523012552301255,0.7656903765690377,0.8075313807531381,0.7845188284518828,0.6644786223240875
RawER,3,Open-Domain,71,0.3127319472389894,0.22535211267605634,0.43661971830985913,0.5211267605633803,0.38780723557028446,0.2935840787697045
RawEK,4,Single-Hop,612,0.5694548189646227,0.4362745098039216,0.7565359477124183,0.8464052287581699,0.8420479302832244,0.6332726635313158
RawEK,1,Multi-Hop,224,0.4396843112244898,0.29017857142857145,0.6339285714285714,0.7678571428571429,0.4773707808482243,0.37480777054730013
RawEK,2,Temporal,239,0.6394052600119546,0.5523012552301255,0.7656903765690377,0.8158995815899581,0.7949790794979079,0.6664188390985748
RawEK,3,Open-Domain,71,0.30428124301363735,0.2112676056338028,0.4225352112676056,0.5352112676056338,0.3960231980115991,0.29252293791018763
RawRK,4,Single-Hop,612,0.5721029152401698,0.4362745098039216,0.7549019607843137,0.8513071895424836,0.8477668845315904,0.6368795297439653
RawRK,1,Multi-Hop,224,0.4376895549886621,0.29017857142857145,0.6294642857142857,0.7589285714285714,0.47461780465774817,0.37408899151409736
RawRK,2,Temporal,239,0.6342913595005644,0.5439330543933054,0.7489539748953975,0.8200836820083682,0.7949790794979078,0.6616618737959474
RawRK,3,Open-Domain,71,0.2993516655488486,0.2112676056338028,0.39436619718309857,0.5211267605633803,0.38780723557028446,0.28661269417800034
RawERK,4,Single-Hop,612,0.5783509700176366,0.44281045751633985,0.7581699346405228,0.8545751633986928,0.8502178649237473,0.6419917180345237
RawERK,1,Multi-Hop,224,0.449516369047619,0.29910714285714285,0.6383928571428571,0.78125,0.4840470697848517,0.38217852625122284
RawERK,2,Temporal,239,0.6417065152420798,0.5523012552301255,0.7656903765690377,0.8200836820083682,0.799163179916318,0.6689466957055761
RawERK,3,Open-Domain,71,0.3110719874804382,0.22535211267605634,0.39436619718309857,0.5211267605633803,0.39250207125103564,0.2970786990880725
RawERKT,4,Single-Hop,612,0.5929822855067952,0.45751633986928103,0.7745098039215687,0.869281045751634,0.8657407407407408,0.6563837771583667
RawERKT,1,Multi-Hop,224,0.4622324971655328,0.32142857142857145,0.6383928571428571,0.7857142857142857,0.4880649269277088,0.38880935234790553
RawERKT,2,Temporal,239,0.651223683336654,0.5606694560669456,0.7740585774058577,0.8158995815899581,0.7921896792189679,0.6748261484723752
RawERKT,3,Open-Domain,71,0.31496199418734633,0.22535211267605634,0.4084507042253521,0.5352112676056338,0.3960231980115991,0.29979802332327266
