variant,category,n,R@1,R@5,R@10,MRR
Raw,cat1_multi-hop,224,0.26785714285714285,0.6116071428571429,0.7321428571428571,0.4127869897959184
Raw,cat2_temporal,239,0.4769874476987448,0.7322175732217573,0.8117154811715481,0.5897755196918377
Raw,cat3_open-domain,75,0.21333333333333335,0.38666666666666666,0.4666666666666667,0.28305291005291006
Raw,cat4_single-hop,612,0.3937908496732026,0.7271241830065359,0.826797385620915,0.5371206816059757
RawE,cat1_multi-hop,224,0.29017857142857145,0.6160714285714286,0.7589285714285714,0.4307309382086168
RawE,cat2_temporal,239,0.5481171548117155,0.7615062761506276,0.803347280334728,0.6342083416351199
RawE,cat3_open-domain,75,0.2,0.37333333333333335,0.48,0.2796084656084656
RawE,cat4_single-hop,612,0.41830065359477125,0.75,0.8447712418300654,0.5586458657537089
RawR,cat1_multi-hop,224,0.27232142857142855,0.6071428571428571,0.75,0.4195737670068027
RawR,cat2_temporal,239,0.502092050209205,0.7364016736401674,0.8075313807531381,0.6077688118483098
RawR,cat3_open-domain,75,0.21333333333333335,0.4,0.48,0.2863862433862434
RawR,cat4_single-hop,612,0.4019607843137255,0.7418300653594772,0.8431372549019608,0.5474601877788152
RawK,cat1_multi-hop,224,0.2857142857142857,0.625,0.75,0.43014455782312927
RawK,cat2_temporal,239,0.5230125523012552,0.7405857740585774,0.8158995815899581,0.620505412764827
RawK,cat3_open-domain,75,0.18666666666666668,0.37333333333333335,0.48,0.26795767195767195
RawK,cat4_single-hop,612,0.4264705882352941,0.7434640522875817,0.8382352941176471,0.5617815644776429
RawER,cat1_multi-hop,224,0.29910714285714285,0.6294642857142857,0.7723214285714286,0.44478635204081635
RawER,cat2_temporal,239,0.5481171548117155,0.7615062761506276,0.803347280334728,0.636267184698147
RawER,cat3_open-domain,75,0.21333333333333335,0.4,0.48,0.28938624338624336
RawER,cat4_single-hop,612,0.43137254901960786,0.7630718954248366,0.8513071895424836,0.5726534132171387
RawEK,cat1_multi-hop,224,0.29017857142857145,0.6294642857142857,0.7633928571428571,0.43745216836734696
RawEK,cat2_temporal,239,0.5481171548117155,0.7615062761506276,0.8117154811715481,0.6352211595935445
RawEK,cat3_open-domain,75,0.2,0.38666666666666666,0.48,0.28005291005291005
RawEK,cat4_single-hop,612,0.4362745098039216,0.7565359477124183,0.8464052287581699,0.5694548189646229
RawRK,cat1_multi-hop,224,0.29017857142857145,0.625,0.7544642857142857,0.4362014597505669
RawRK,cat2_temporal,239,0.5397489539748954,0.7447698744769874,0.8158995815899581,0.6301072590821545
RawRK,cat3_open-domain,75,0.2,0.36,0.48,0.2767195767195767
RawRK,cat4_single-hop,612,0.4362745098039216,0.7549019607843137,0.8513071895424836,0.5721029152401701
RawERK,cat1_multi-hop,224,0.29910714285714285,0.6339285714285714,0.7767857142857143,0.4472842261904762
RawERK,cat2_temporal,239,0.5481171548117155,0.7615062761506276,0.8158995815899581,0.63752241482367
RawERK,cat3_open-domain,75,0.21333333333333335,0.36,0.48,0.2878148148148148
RawERK,cat4_single-hop,612,0.44281045751633985,0.7581699346405228,0.8545751633986928,0.5783509700176367
RawERKT,cat1_multi-hop,224,0.32142857142857145,0.6339285714285714,0.78125,0.46074440192743765
RawERKT,cat2_temporal,239,0.5564853556485355,0.7698744769874477,0.8117154811715481,0.647039582918244
RawERKT,cat3_open-domain,75,0.21333333333333335,0.37333333333333335,0.48,0.2901640211640212
RawERKT,cat4_single-hop,612,0.45751633986928103,0.7745098039215687,0.869281045751634,0.5929822855067953
