variant,scope,method,query_id,memory_id,rank,score
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_1_D1:3,1,4.959303086942375
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_1_D1:7,2,1.0972702119674473
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_4_D4:13,3,0.845370712513125
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_2_D2:12,4,0.7378290617287113
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_5_D5:1,5,0.7174699181033056
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_10_D10:3,6,0.6500551929903698
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_3_D3:2,7,0.5657678005418053
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_9_D9:11,8,0.5629085700941651
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_9_D9:2,9,0.44365031009077094
Raw,heldout1150,ZScore,conv-26_qa_0,conv-26_session_7_D7:1,10,0.4413745695438115
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_1_D1:14,1,4.136653912121873
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_14_D14:6,2,1.377864199485706
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_14_D14:7,3,1.1045125047623154
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_14_D14:3,4,0.5086935579869324
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_17_D17:12,5,0.49078311732729757
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_17_D17:13,6,0.460393126224186
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_14_D14:30,7,0.3607594824203646
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_16_D16:8,8,0.29360206668058614
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_9_D9:15,9,0.2627084704904235
Raw,heldout1150,ZScore,conv-26_qa_1,conv-26_session_1_D1:13,10,0.2455254338793384
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_1_D1:9,1,2.5323682528787494
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_4_D4:14,2,1.513900709931176
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_1_D1:10,3,1.5129671122590898
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_4_D4:11,4,1.3467662844558457
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_13_D13:7,5,1.090177979644933
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_1_D1:11,6,0.7819323087128688
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_7_D7:8,7,0.7595175587987072
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_7_D7:5,8,0.5504535080059622
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_12_D12:20,9,0.5140675544544784
Raw,heldout1150,ZScore,conv-26_qa_2,conv-26_session_6_D6:3,10,0.44505916994641814
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_10_D10:15,1,2.444177770462643
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_4_D4:11,2,1.2835774527583854
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_7_D7:21,3,0.7434219249643292
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_1_D1:4,4,0.7113721606974498
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_1_D1:17,5,0.6784295976057577
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_12_D12:6,6,0.6171414303582358
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_15_D15:13,7,0.46817797290853824
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_6_D6:7,8,0.4475984952024621
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_15_D15:10,9,0.4099608663454327
Raw,heldout1150,ZScore,conv-26_qa_3,conv-26_session_14_D14:18,10,0.4025892785576243
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_11_D11:12,1,3.704590528135567
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_13_D13:13,2,2.503580092462293
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_11_D11:10,3,1.2557999492480951
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_15_D15:15,4,0.8895063650940244
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_16_D16:13,5,0.7599905637033502
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_17_D17:22,6,0.5930392366922738
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_10_D10:15,7,0.5910833542101478
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_4_D4:2,8,0.4813626303531606
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_19_D19:7,9,0.4398504004868371
Raw,heldout1150,ZScore,conv-26_qa_4,conv-26_session_8_D8:25,10,0.3443235524997934
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_2_D2:2,1,4.205341690130828
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_2_D2:1,2,4.058051809380173
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_10_D10:6,3,0.6804528011665237
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_14_D14:11,4,0.4584440572416617
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_2_D2:3,5,0.423917064779472
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_19_D19:11,6,0.39533608369745943
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_4_D4:16,7,0.2215885241650694
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_14_D14:3,8,0.10384927468595107
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_4_D4:15,9,0.0651318198118433
Raw,heldout1150,ZScore,conv-26_qa_5,conv-26_session_19_D19:6,10,0.05245550720686626
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_2_D2:7,1,3.3273590847145034
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_10_D10:12,2,1.8648265925780616
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_18_D18:19,3,1.2002296276763835
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_10_D10:13,4,0.9617598858982634
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_4_D4:6,5,0.9447941132304042
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_9_D9:1,6,0.8455043554927429
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_18_D18:20,7,0.8451388080387243
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_14_D14:32,8,0.738973641162684
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_4_D4:8,9,0.6996531259779837
Raw,heldout1150,ZScore,conv-26_qa_6,conv-26_session_6_D6:16,10,0.668099372277994
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_9_D9:7,1,2.6387847859899196
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_12_D12:14,2,1.2524838771772653
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_16_D16:15,3,0.9759570671779572
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_3_D3:13,4,0.8395286516866496
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_13_D13:18,5,0.6871668190552248
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_4_D4:1,6,0.6498240553477432
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_8_D8:22,7,0.6232845494603144
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_4_D4:10,8,0.5120437095605557
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_7_D7:26,9,0.31986891436029424
Raw,heldout1150,ZScore,conv-26_qa_7,conv-26_session_14_D14:14,10,0.26806150040323246
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_3_D3:1,1,2.4383642711593785
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_8_D8:19,2,1.7207738261381045
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_10_D10:15,3,1.39211200852685
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_8_D8:22,4,1.1221796546008926
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_17_D17:21,5,1.0366136568356046
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_8_D8:14,6,0.7554878179048907
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_15_D15:13,7,0.6385553068679656
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_5_D5:14,8,0.2919919956773572
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_8_D8:15,9,0.2899842527419821
Raw,heldout1150,ZScore,conv-26_qa_8,conv-26_session_15_D15:11,10,0.26250327131399737
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_3_D3:11,1,3.8212145385889214
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_8_D8:19,2,2.052405612551158
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_9_D9:4,3,0.9041910542823557
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_8_D8:23,4,0.7992922048539659
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_16_D16:5,5,0.7513205886878888
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_7_D7:2,6,0.7294240094872617
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_9_D9:2,7,0.5898807315105394
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_6_D6:11,8,0.4982209427194816
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_8_D8:14,9,0.3390272605836581
Raw,heldout1150,ZScore,conv-26_qa_9,conv-26_session_8_D8:22,10,0.2334611707387661
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_12_D12:14,1,1.7219097451288397
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_3_D3:13,2,1.5028757910891233
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_16_D16:15,3,1.2814209465874384
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_10_D10:6,4,1.0720628610029155
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_8_D8:38,5,0.962655386205288
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_4_D4:1,6,0.9178142921923629
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_6_D6:1,7,0.8251837255641473
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_3_D3:11,8,0.6047771867702423
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_3_D3:15,9,0.5586148249845382
Raw,heldout1150,ZScore,conv-26_qa_10,conv-26_session_8_D8:27,10,0.26114797722135474
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_8_D8:29,1,2.6543449727561406
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_15_D15:21,2,1.280410558765795
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_8_D8:22,3,1.1170928828846705
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_3_D3:13,4,1.034430110447951
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_17_D17:2,5,0.6801737377671997
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_3_D3:16,6,0.6643586918619632
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_6_D6:2,7,0.46784058389634764
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_4_D4:5,8,0.4609129149773463
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_8_D8:27,9,0.414462279005141
Raw,heldout1150,ZScore,conv-26_qa_11,conv-26_session_4_D4:1,10,0.3630114147474358
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_4_D4:5,1,4.196748670908503
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_11_D11:1,2,2.012507303207117
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_3_D3:15,3,1.5019839988125454
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_4_D4:1,4,1.022995902807939
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_3_D3:16,5,1.003252122831565
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_15_D15:21,6,0.728478840782807
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_16_D16:7,7,0.6589808110510635
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_6_D6:2,8,0.5750676694795276
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_8_D8:14,9,0.5542063869566072
Raw,heldout1150,ZScore,conv-26_qa_12,conv-26_session_8_D8:27,10,0.5473336707775587
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_1_D1:9,1,3.783993688672867
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_4_D4:11,2,3.0944829192391308
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_1_D1:10,3,1.4197746113720433
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_4_D4:12,4,1.2162488841227148
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_7_D7:7,5,1.0813173109147813
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_1_D1:11,6,0.684296615105472
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_7_D7:5,7,0.6612868707962837
Raw,heldout1150,ZScore,conv-26_qa_13,conv-26_session_6_D6:3,8,0.6507140389175047
