backend,concurrency,run_id,formal_events,successful_events,timeouts,elapsed_s,throughput_events_s,p50_update_to_topk_ms,p95_update_to_topk_ms,p99_update_to_topk_ms,mean_candidate_count,logical_event_sha256
cassandra,8,1,2000,2000,0,7.097882499918342,281.7741770201196,26.71770006418228,40.4679998755455,65.00219996087253,101.25,0d54220f4d3bf28364a3a23155da6bf2f7455b06548df6dee2a9cc2c39c9a6c1
neo4j,8,1,2000,2000,0,17.1753433002159,116.44599848987352,67.70329992286861,96.87799983657897,111.07100010849535,101.25,0d54220f4d3bf28364a3a23155da6bf2f7455b06548df6dee2a9cc2c39c9a6c1
neo4j,8,2,2000,2000,0,17.443433800013736,114.65632414636303,72.48229999095201,98.61819981597364,107.16210003010929,101.25,b86a69555cdafc8919641ea65f22cc310177847d23d3c7981f1be5f33f4ad539
cassandra,8,2,2000,2000,0,7.330806799931452,272.82126709691784,26.589300017803907,47.3348000086844,79.86869988963008,101.25,b86a69555cdafc8919641ea65f22cc310177847d23d3c7981f1be5f33f4ad539
cassandra,8,3,2000,2000,0,7.169735899893567,278.95030276215465,25.4186000674963,51.65489995852113,80.64430020749569,101.25,37364bd6bbf63ffd08aa1afc8b31117425aa8098be8beb621f52034eb3d0d7fb
neo4j,8,3,2000,2000,0,17.75116729992442,112.66864686743816,69.56709991209209,107.19359992071986,118.19910001941025,101.25,37364bd6bbf63ffd08aa1afc8b31117425aa8098be8beb621f52034eb3d0d7fb
cassandra,32,1,2000,2000,0,5.9238864001818,337.6161973562865,88.39099993929267,150.2688000909984,167.77190007269382,102.076,fd3700332e2c9310985547c67c613c2820e1cb8c85b67c5cf3f0179176e1913e
neo4j,32,1,2000,2000,0,19.558630699990317,102.2566472406982,305.5507999379188,430.36490003578365,597.3050000611693,101.2675,fd3700332e2c9310985547c67c613c2820e1cb8c85b67c5cf3f0179176e1913e
neo4j,32,2,2000,2000,0,18.81287460005842,106.310175479179,298.4103998169303,417.93170012533665,455.09589998982847,101.2505,b476f841e082b446daf7693014ea85dd5158fafd3d461c34692dee0f7fcebcf0
cassandra,32,2,2000,2000,0,5.792771100066602,345.25790255668915,85.94130002893507,148.65799993276596,160.84870020858943,102.126,b476f841e082b446daf7693014ea85dd5158fafd3d461c34692dee0f7fcebcf0
cassandra,32,3,2000,2000,0,5.686286699958146,351.72338391145865,83.88169994577765,148.88509991578758,168.2601000647992,102.106,320c4050e7a15b2873f57e8649b70b8fc1b237507f1e6f73845927bcd6921db6
neo4j,32,3,2000,2000,0,19.494648799998686,102.59225598360791,311.5194998681545,419.15269987657666,443.36379994638264,101.2515,320c4050e7a15b2873f57e8649b70b8fc1b237507f1e6f73845927bcd6921db6
cassandra,64,1,2000,2000,0,5.695565499830991,351.15038182939827,170.6256999168545,276.5455001499504,303.6601000931114,103.3385,c8e43030fbd8536758193728a2b0c14e5365da27756f9b3326dcab485cdc5b09
neo4j,64,1,2000,2000,0,20.0631316001527,99.68533526365236,637.0846000500023,896.0842001251876,945.2919000759721,101.256,c8e43030fbd8536758193728a2b0c14e5365da27756f9b3326dcab485cdc5b09
neo4j,64,2,2000,2000,0,20.31922150007449,98.42896786142461,621.1963999085128,900.3444998525083,953.626099973917,101.254,a143676222ba48748e4e0f37e1ebd6d006f04c4d91eece1a4e918349ec9ae961
cassandra,64,2,2000,2000,0,5.795001300051808,345.125030426157,175.75169983319938,281.0360000003129,306.72300001606345,103.7655,a143676222ba48748e4e0f37e1ebd6d006f04c4d91eece1a4e918349ec9ae961
cassandra,64,3,2000,2000,0,5.713015999877825,350.0777872918211,171.020400011912,256.4237001352012,268.79539992660284,103.6795,2c824aacdb15ae85d79e3f24553e9e03d63c58cf575161e167dd9a7d1a780979
neo4j,64,3,2000,2000,0,20.223632500041276,98.89420211704885,633.1869999412447,871.8152998480946,926.5192002058029,101.2525,2c824aacdb15ae85d79e3f24553e9e03d63c58cf575161e167dd9a7d1a780979
