backend,concurrency,run_id,formal_events,successful_events,timeouts,elapsed_s,throughput_events_s,p50_update_to_topk_ms,p95_update_to_topk_ms,p99_update_to_topk_ms,mean_candidate_count,logical_event_sha256
cassandra,8,1,2000,2000,0,8.029564899858087,249.07949869554545,28.61999999731779,45.78219982795417,107.93980001471937,33,d802f2696ac472740754e96ded3e267e746b0fea3a3c33410dba4fe326e70e61
neo4j,8,1,2000,2000,0,12.588272799970582,158.8780313058257,50.98619987256825,67.52529996447265,84.37549998052418,33,d802f2696ac472740754e96ded3e267e746b0fea3a3c33410dba4fe326e70e61
neo4j,8,2,2000,2000,0,10.86741580022499,184.03639253028248,42.502199998125434,65.82450005225837,85.82050004042685,33,9ba728f31c3efbe53d9a93b40a797b09fc535c93b98f567863a7564e2520198e
cassandra,8,2,2000,2000,0,8.28064849996008,241.52697702476343,28.393400134518743,54.95680007152259,117.42869997397065,33,9ba728f31c3efbe53d9a93b40a797b09fc535c93b98f567863a7564e2520198e
cassandra,8,3,2000,2000,0,9.072390400106087,220.4490670922421,31.740100122988224,58.828100096434355,133.29069991596043,33,c563b4ba51833dd5e6caab820e00a824499912c202ab54fde11a56c39a24da71
neo4j,8,3,2000,2000,0,11.803201399976388,169.44555398368453,46.92550003528595,65.68520003929734,81.95970021188259,33,c563b4ba51833dd5e6caab820e00a824499912c202ab54fde11a56c39a24da71
cassandra,32,1,2000,2000,0,6.252417900133878,319.8762513870315,85.36010002717376,204.26300005055964,243.86240006424487,33,aab4819c097243164205e89ffa58f1d66c0dccb8f53dc14aa0c273e601418e71
neo4j,32,1,2000,2000,0,12.272055800072849,162.9718795760469,195.3732999972999,284.91459996439517,331.7484001163393,33,aab4819c097243164205e89ffa58f1d66c0dccb8f53dc14aa0c273e601418e71
neo4j,32,2,2000,2000,0,12.387191199930385,161.45710256020266,197.74560001678765,289.7211001254618,339.8682998958975,33,af8691ec6713660fd387ae5a1abff4fbf336b43ef901528688dd251373c31a50
cassandra,32,2,2000,2000,0,6.308132200036198,317.05105989828866,85.70629986934364,195.01990010030568,255.4575998801738,33,af8691ec6713660fd387ae5a1abff4fbf336b43ef901528688dd251373c31a50
cassandra,32,3,2000,2000,0,6.395318200113252,312.72877086312656,85.88399994187057,202.21120002679527,255.76680013909936,33,b806b9c046db37c68e35059830b596fba3e240347903f45fa9dcaa3e3734dd5a
neo4j,32,3,2000,2000,0,12.069301000097767,165.70967945731067,193.73880000784993,280.79560003243387,320.7723998930305,33,b806b9c046db37c68e35059830b596fba3e240347903f45fa9dcaa3e3734dd5a
cassandra,64,1,2000,2000,0,6.629190499894321,301.69596122360383,173.8593999762088,377.0595998503268,395.354799926281,33,38010fdd0d186eb5deff72072e22c0e239ac3fe1adc27511f6272f2932dc5286
neo4j,64,1,2000,2000,0,12.580058000050485,158.98177893869598,397.11529994383454,564.551199786365,642.9528999142349,33,38010fdd0d186eb5deff72072e22c0e239ac3fe1adc27511f6272f2932dc5286
neo4j,64,2,2000,2000,0,12.862786300014704,155.4873068207402,406.4825000241399,563.0443999543786,649.6749999932945,33,97807be57758fe2758d4ccd7f996adf7bd19238d995096cf6148990a6379d2ee
cassandra,64,2,2000,2000,0,6.333133100066334,315.79945793008073,169.7365001309663,343.67879992350936,383.07199999690056,33,97807be57758fe2758d4ccd7f996adf7bd19238d995096cf6148990a6379d2ee
cassandra,64,3,2000,2000,0,6.478581900009885,308.70953410297216,175.31690001487732,341.8551997747272,353.0911998823285,33,b1a99cbd99a9a516a6b088e2536b393a17961deda6b7dc040701131e507ef41b
neo4j,64,3,2000,2000,0,12.616709199966863,158.51994115908235,403.3697999548167,552.905100164935,622.1508998423815,33,b1a99cbd99a9a516a6b088e2536b393a17961deda6b7dc040701131e507ef41b
