backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,8,1,evt_00002000,340.474,340.474,0,ok
cassandra,8,1,evt_00002001,339.364,339.364,0,ok
cassandra,8,1,evt_00002002,339.159,339.159,0,ok
cassandra,8,1,evt_00002003,338.585,338.585,0,ok
cassandra,8,1,evt_00002004,338.533,338.533,0,ok
cassandra,8,1,evt_00002005,337.418,337.418,0,ok
cassandra,8,1,evt_00002006,338.24,338.24,0,ok
cassandra,8,1,evt_00002007,336.326,336.326,0,ok
cassandra,8,1,evt_00002008,25.523,25.523,0,ok
cassandra,8,1,evt_00002009,26.123,26.123,0,ok
cassandra,8,1,evt_00002010,26.332,26.332,0,ok
cassandra,8,1,evt_00002011,25.247,25.247,0,ok
cassandra,8,1,evt_00002012,26.166,26.166,0,ok
cassandra,8,1,evt_00002013,25.158,25.158,0,ok
cassandra,8,1,evt_00002014,25.176,25.176,0,ok
cassandra,8,1,evt_00002015,25.085,25.085,0,ok
cassandra,8,1,evt_00002016,35.016,35.016,0,ok
cassandra,8,1,evt_00002017,34.433,34.433,0,ok
cassandra,8,1,evt_00002018,34.378,34.378,0,ok
cassandra,8,1,evt_00002019,34.94,34.94,0,ok
cassandra,8,1,evt_00002020,35.036,35.036,0,ok
cassandra,8,1,evt_00002021,34.679,34.679,0,ok
cassandra,8,1,evt_00002022,34.094,34.094,0,ok
cassandra,8,1,evt_00002023,34.116,34.116,0,ok
cassandra,8,1,evt_00002024,37.307,37.307,0,ok
cassandra,8,1,evt_00002025,35.938,35.938,0,ok
cassandra,8,1,evt_00002026,35.532,35.532,0,ok
cassandra,8,1,evt_00002027,35.712,35.712,0,ok
cassandra,8,1,evt_00002028,35.846,35.846,0,ok
cassandra,8,1,evt_00002029,33.711,33.711,0,ok
cassandra,8,1,evt_00002030,35.009,35.009,0,ok
cassandra,8,1,evt_00002031,35.306,35.306,0,ok
cassandra,8,1,evt_00002032,10.928,10.928,0,ok
cassandra,8,1,evt_00002033,8.929,8.929,0,ok
cassandra,8,1,evt_00002034,9.678,9.678,0,ok
cassandra,8,1,evt_00002035,8.559,8.559,0,ok
cassandra,8,1,evt_00002036,9.534,9.534,0,ok
cassandra,8,1,evt_00002037,9.593,9.593,0,ok
cassandra,8,1,evt_00002038,9.608,9.608,0,ok
cassandra,8,1,evt_00002039,10.567,10.567,0,ok
cassandra,8,1,evt_00002040,9.949,9.949,0,ok
cassandra,8,1,evt_00002041,11.034,11.034,0,ok
cassandra,8,1,evt_00002042,11.928,11.928,0,ok
cassandra,8,1,evt_00002043,11.395,11.395,0,ok
cassandra,8,1,evt_00002044,10.417,10.417,0,ok
cassandra,8,1,evt_00002045,9.658,9.658,0,ok
cassandra,8,1,evt_00002046,9.351,9.351,0,ok
cassandra,8,1,evt_00002047,10.775,10.775,0,ok
cassandra,8,1,evt_00002048,12.492,12.492,0,ok
cassandra,8,1,evt_00002049,13.466,13.466,0,ok
cassandra,8,1,evt_00002050,11.177,11.177,0,ok
cassandra,8,1,evt_00002051,10.593,10.593,0,ok
cassandra,8,1,evt_00002052,11.07,11.07,0,ok
cassandra,8,1,evt_00002053,12.105,12.105,0,ok
cassandra,8,1,evt_00002054,12.416,12.416,0,ok
cassandra,8,1,evt_00002055,12.172,12.172,0,ok
cassandra,8,1,evt_00002056,12.976,12.976,0,ok
cassandra,8,1,evt_00002057,11.941,11.941,0,ok
cassandra,8,1,evt_00002058,12.446,12.446,0,ok
cassandra,8,1,evt_00002059,11.318,11.318,0,ok
cassandra,8,1,evt_00002060,11.902,11.902,0,ok
cassandra,8,1,evt_00002061,10.67,10.67,0,ok
cassandra,8,1,evt_00002062,13.133,13.133,0,ok
cassandra,8,1,evt_00002063,12.053,12.053,0,ok
cassandra,8,1,evt_00002064,12.258,12.258,0,ok
cassandra,8,1,evt_00002065,9.414,9.414,0,ok
cassandra,8,1,evt_00002066,9.513,9.513,0,ok
cassandra,8,1,evt_00002067,11.181,11.181,0,ok
cassandra,8,1,evt_00002068,9.719,9.719,0,ok
cassandra,8,1,evt_00002069,8.773,8.773,0,ok
cassandra,8,1,evt_00002070,9.582,9.582,0,ok
cassandra,8,1,evt_00002071,11.654,11.654,0,ok
cassandra,8,1,evt_00002072,10.714,10.714,0,ok
cassandra,8,1,evt_00002073,13.362,13.362,0,ok
cassandra,8,1,evt_00002074,13.011,13.011,0,ok
cassandra,8,1,evt_00002075,11.495,11.495,0,ok
cassandra,8,1,evt_00002076,10.02,10.02,0,ok
cassandra,8,1,evt_00002077,11.503,11.503,0,ok
cassandra,8,1,evt_00002078,12.408,12.408,0,ok
cassandra,8,1,evt_00002079,8.446,8.446,0,ok
cassandra,8,1,evt_00002080,12.142,12.142,0,ok
cassandra,8,1,evt_00002081,10.51,10.51,0,ok
cassandra,8,1,evt_00002082,9.444,9.444,0,ok
cassandra,8,1,evt_00002083,11.618,11.618,0,ok
cassandra,8,1,evt_00002084,11.348,11.348,0,ok
cassandra,8,1,evt_00002085,11.018,11.018,0,ok
cassandra,8,1,evt_00002086,11.268,11.268,0,ok
cassandra,8,1,evt_00002087,12.357,12.357,0,ok
cassandra,8,1,evt_00002088,37.474,37.474,0,ok
cassandra,8,1,evt_00002089,36.011,36.011,0,ok
cassandra,8,1,evt_00002090,36.498,36.498,0,ok
cassandra,8,1,evt_00002091,36.83,36.83,0,ok
cassandra,8,1,evt_00002092,36.512,36.512,0,ok
cassandra,8,1,evt_00002093,35.873,35.873,0,ok
cassandra,8,1,evt_00002094,36.741,36.741,0,ok
cassandra,8,1,evt_00002095,36.278,36.278,0,ok
cassandra,8,1,evt_00002096,11.167,11.167,0,ok
cassandra,8,1,evt_00002097,10.904,10.904,0,ok
cassandra,8,1,evt_00002098,11.006,11.006,0,ok
cassandra,8,1,evt_00002099,13.473,13.473,0,ok
cassandra,8,1,evt_00002100,13.506,13.506,0,ok
cassandra,8,1,evt_00002101,13.506,13.506,0,ok
cassandra,8,1,evt_00002102,12.995,12.995,0,ok
cassandra,8,1,evt_00002103,13.096,13.096,0,ok
cassandra,8,1,evt_00002104,10.727,10.727,0,ok
cassandra,8,1,evt_00002105,11.085,11.085,0,ok
cassandra,8,1,evt_00002106,12.247,12.247,0,ok
cassandra,8,1,evt_00002107,10.196,10.196,0,ok
cassandra,8,1,evt_00002108,9.372,9.372,0,ok
cassandra,8,1,evt_00002109,9.842,9.842,0,ok
cassandra,8,1,evt_00002110,9.783,9.783,0,ok
cassandra,8,1,evt_00002111,10.134,10.134,0,ok
cassandra,8,1,evt_00002112,10.226,10.226,0,ok
cassandra,8,1,evt_00002113,12.316,12.316,0,ok
cassandra,8,1,evt_00002114,12.517,12.517,0,ok
cassandra,8,1,evt_00002115,10.892,10.892,0,ok
cassandra,8,1,evt_00002116,11.164,11.164,0,ok
cassandra,8,1,evt_00002117,11.315,11.315,0,ok
cassandra,8,1,evt_00002118,11.514,11.514,0,ok
cassandra,8,1,evt_00002119,9.4,9.4,0,ok
cassandra,8,1,evt_00002120,11.084,11.084,0,ok
cassandra,8,1,evt_00002121,10.975,10.975,0,ok
cassandra,8,1,evt_00002122,11.852,11.852,0,ok
cassandra,8,1,evt_00002123,12.008,12.008,0,ok
cassandra,8,1,evt_00002124,10.734,10.734,0,ok
cassandra,8,1,evt_00002125,9.984,9.984,0,ok
cassandra,8,1,evt_00002126,9.48,9.48,0,ok
cassandra,8,1,evt_00002127,10.579,10.579,0,ok
cassandra,8,1,evt_00002128,11.549,11.549,0,ok
cassandra,8,1,evt_00002129,7.798,7.798,0,ok
cassandra,8,1,evt_00002130,23.108,23.108,0,ok
cassandra,8,1,evt_00002131,22.303,22.303,0,ok
cassandra,8,1,evt_00002132,22.438,22.438,0,ok
cassandra,8,1,evt_00002133,24.871,24.871,0,ok
cassandra,8,1,evt_00002134,24.398,24.398,0,ok
cassandra,8,1,evt_00002135,24.67,24.67,0,ok
cassandra,8,1,evt_00002136,32.353,32.353,0,ok
cassandra,8,1,evt_00002137,33.399,33.399,0,ok
cassandra,8,1,evt_00002138,21.306,21.306,0,ok
cassandra,8,1,evt_00002139,20.382,20.382,0,ok
cassandra,8,1,evt_00002140,20.977,20.977,0,ok
cassandra,8,1,evt_00002141,21.015,21.015,0,ok
cassandra,8,1,evt_00002142,21.219,21.219,0,ok
cassandra,8,1,evt_00002143,19.284,19.284,0,ok
cassandra,8,1,evt_00002144,13.43,13.43,0,ok
cassandra,8,1,evt_00002145,12.093,12.093,0,ok
cassandra,8,1,evt_00002146,9.031,9.031,0,ok
cassandra,8,1,evt_00002147,9.314,9.314,0,ok
cassandra,8,1,evt_00002148,11.269,11.269,0,ok
cassandra,8,1,evt_00002149,21.658,21.658,0,ok
cassandra,8,1,evt_00002150,8.184,8.184,0,ok
cassandra,8,1,evt_00002151,21.36,21.36,0,ok
cassandra,8,1,evt_00002152,21.515,21.515,0,ok
cassandra,8,1,evt_00002153,22.245,22.245,0,ok
cassandra,8,1,evt_00002154,20.664,20.664,0,ok
cassandra,8,1,evt_00002155,21.691,21.691,0,ok
cassandra,8,1,evt_00002156,22.659,22.659,0,ok
