experiment,event_count,p50,p95,p99,mean,std,timeouts,throughput
P5-2_cassandra_uniform_r1,50000,58.3,247.7,430.5,79.2,84.2,0,36731
P5-2_neo4j_uniform_r1,50000,177.3,481.1,554.7,200.7,96.8,0,54178
P5-2_cassandra_hot_r1,50000,62.0,389.3,541.5,86.7,110.7,0,28411
P5-2_neo4j_hot_r1,50000,191.7,765.0,1006.9,285.6,222.0,0,20853
P5-2_neo4j_uniform_r2,50000,103.6,255.5,503.5,126.0,78.2,0,64649
P5-2_cassandra_uniform_r2,50000,57.9,99.5,555.3,81.9,110.4,0,27345
P5-2_neo4j_hot_r2,50000,160.2,222.8,479.6,159.7,77.4,0,29820
P5-2_cassandra_hot_r2,50000,59.1,459.2,566.4,87.2,121.3,0,27136
P5-2_cassandra_uniform_r3,50000,56.0,82.7,555.5,80.5,117.5,0,25229
P5-2_neo4j_uniform_r3,50000,163.8,225.7,538.7,162.4,77.3,0,32440
P5-2_cassandra_hot_r3,50000,59.0,463.3,583.3,87.0,119.9,0,26179
P5-2_neo4j_hot_r3,50000,98.2,178.6,516.3,111.5,71.5,0,38131
P5-2_neo4j_uniform_r4,50000,92.8,231.0,483.8,109.8,71.7,0,55880
P5-2_cassandra_uniform_r4,50000,56.4,83.8,572.4,81.4,119.9,0,24833
P5-2_neo4j_hot_r4,50000,98.2,239.4,554.6,124.2,88.9,0,33697
P5-2_cassandra_hot_r4,50000,58.0,476.2,585.4,86.4,125.8,0,25775
P5-2_cassandra_uniform_r5,50000,56.1,241.6,598.5,82.6,116.0,0,30795
P5-2_neo4j_uniform_r5,50000,109.7,214.7,501.7,129.5,76.8,0,49539
P5-2_cassandra_hot_r5,50000,58.6,486.2,604.1,88.4,129.6,0,24953
P5-2_neo4j_hot_r5,50000,91.1,182.1,502.0,105.2,70.4,0,39628
