sequence,update_id,memory_id,version,operation,backend,event_persisted_at,backend_committed_at,rawerk_committed_at,checkpoint_committed_at,first_searchable,first_searchable_at,processing_attempt,status,is_duplicate
0,p53a_evt_000000,p53a_000000,0,insert_memory,cassandra,0.003,73.494,101.445,102.163,True,144.123,1,ok,False
1,p53a_evt_000001,p53a_000001,1,update_relation,cassandra,151.315,186.697,194.778,195.246,True,229.938,1,ok,False
2,p53a_evt_000002,p53a_000002,2,insert_memory,cassandra,229.951,259.184,270.475,271.102,True,287.925,1,ok,False
3,p53a_evt_000003,p53a_000003,3,update_relation,cassandra,287.962,321.447,331.673,332.838,True,347.838,1,ok,False
4,p53a_evt_000004,p53a_000004,4,insert_memory,cassandra,347.868,381.921,392.92,393.445,True,408.553,1,ok,False
5,p53a_evt_000005,p53a_000005,5,update_relation,cassandra,408.592,444.574,453.777,454.812,True,472.13,1,ok,False
6,p53a_evt_000006,p53a_000006,6,insert_memory,cassandra,472.146,501.91,515.182,516.262,True,530.556,1,ok,False
7,p53a_evt_000007,p53a_000007,7,update_relation,cassandra,530.583,564.549,576.845,577.342,True,593.463,1,ok,False
8,p53a_evt_000008,p53a_000008,8,insert_memory,cassandra,593.477,628.095,638.525,639.371,True,655.568,1,ok,False
9,p53a_evt_000009,p53a_000009,9,insert_memory,cassandra,655.606,702.307,711.985,712.875,True,727.745,1,ok,False
10,p53a_evt_000010,p53a_000010,10,insert_memory,cassandra,727.76,763.913,772.479,773.073,True,790.037,1,ok,False
11,p53a_evt_000011,p53a_000011,11,insert_memory,cassandra,790.051,821.193,834.905,835.82,True,852.913,1,ok,False
12,p53a_evt_000012,p53a_000012,12,insert_memory,cassandra,852.927,882.579,895.197,896.019,True,911.982,1,ok,False
13,p53a_evt_000013,p53a_000013,13,insert_memory,cassandra,911.999,945.443,956.83,957.667,True,975.781,1,ok,False
14,p53a_evt_000014,p53a_000014,14,insert_memory,cassandra,975.796,1006.579,1017.945,1018.495,True,1036.022,1,ok,False
15,p53a_evt_000015,p53a_000015,15,insert_memory,cassandra,1036.041,1072.481,1080.889,1081.442,True,1115.653,1,ok,False
16,p53a_evt_000016,p53a_000016,16,replace_relation,cassandra,1115.667,1145.61,1158.75,1159.297,True,1174.79,1,ok,False
17,p53a_evt_000017,p53a_000017,17,insert_memory,cassandra,1174.809,1206.606,1219.038,1219.799,True,1236.039,1,ok,False
18,p53a_evt_000018,p53a_000018,18,insert_memory,cassandra,1236.067,1270.883,1279.442,1280.049,True,1295.131,1,ok,False
19,p53a_evt_000019,p53a_000019,19,insert_memory,cassandra,1295.145,1329.265,1340.99,1341.983,True,1355.773,1,ok,False
20,p53a_evt_000020,p53a_000020,20,update_relation,cassandra,1355.802,1387.819,1398.91,1399.927,True,1414.368,1,ok,False
21,p53a_evt_000021,p53a_000021,21,insert_memory,cassandra,1414.386,1449.329,1461.127,1462.13,True,1489.291,1,ok,False
22,p53a_evt_000022,p53a_000022,22,insert_memory,cassandra,1489.313,1526.949,1536.37,1537.172,True,1552.073,1,ok,False
23,p53a_evt_000023,p53a_000023,23,update_relation,cassandra,1552.087,1586.639,1597.191,1597.713,True,1613.933,1,ok,False
24,p53a_evt_000024,p53a_000024,24,insert_memory,cassandra,1613.947,1648.436,1658.874,1659.359,True,1692.957,1,ok,False
