sequence,update_id,memory_id,version,operation,backend,phase,event_generated_at,backend_committed_at,first_searchable_at,update_to_searchable_ms,queue_wait_ms,backend_commit_ms,visibility_probe_ms,status
2,p53b_evt_000002,p53b_000002,2,insert_memory,cassandra,baseline,21.228,62.091,69.367,48.14,0,40.863,7.276,ok
4,p53b_evt_000004,p53b_000004,4,insert_memory,cassandra,baseline,41.177,61.584,69.415,28.238,0,20.407,7.831,ok
3,p53b_evt_000003,p53b_000003,3,update_relation,cassandra,baseline,31.988,61.755,69.445,37.456,0,29.767,7.69,ok
5,p53b_evt_000005,p53b_000005,5,update_relation,cassandra,baseline,50.826,65.734,73.023,22.197,0,14.908,7.289,ok
6,p53b_evt_000006,p53b_000006,6,insert_memory,cassandra,baseline,60.654,69.579,73.958,13.303,0,8.924,4.379,ok
0,p53b_evt_000000,p53b_000000,0,insert_memory,cassandra,baseline,1.344,61.63,82.417,81.072,0,60.286,20.786,ok
1,p53b_evt_000001,p53b_000001,1,update_relation,cassandra,baseline,20.191,61.946,85.164,64.973,0,41.755,23.218,ok
7,p53b_evt_000007,p53b_000007,7,update_relation,cassandra,baseline,70.637,86.646,90.403,19.766,0,16.009,3.757,ok
8,p53b_evt_000008,p53b_000008,8,insert_memory,cassandra,baseline,80.84,91.284,94.422,13.582,0,10.444,3.139,ok
9,p53b_evt_000009,p53b_000009,9,insert_memory,cassandra,baseline,90.778,99.121,107.279,16.502,0,8.343,8.159,ok
10,p53b_evt_000010,p53b_000010,10,insert_memory,cassandra,baseline,100.87,113.276,117.084,16.214,0,12.406,3.808,ok
11,p53b_evt_000011,p53b_000011,11,insert_memory,cassandra,baseline,110.746,117.909,127.692,16.946,0,7.163,9.783,ok
12,p53b_evt_000012,p53b_000012,12,insert_memory,cassandra,baseline,120.96,133.896,138.054,17.094,0,12.936,4.158,ok
13,p53b_evt_000013,p53b_000013,13,insert_memory,cassandra,baseline,130.639,138.147,145.029,14.391,0,7.509,6.882,ok
14,p53b_evt_000014,p53b_000014,14,insert_memory,cassandra,baseline,140.746,155.929,168.371,27.626,0,15.183,12.442,ok
16,p53b_evt_000016,p53b_000016,16,replace_relation,cassandra,baseline,160.639,171.933,176.183,15.544,0,11.293,4.25,ok
15,p53b_evt_000015,p53b_000015,15,insert_memory,cassandra,baseline,150.448,172.334,192.771,42.322,0,21.886,20.436,ok
17,p53b_evt_000017,p53b_000017,17,insert_memory,cassandra,baseline,170.536,184.184,193.088,22.553,0,13.649,8.904,ok
18,p53b_evt_000018,p53b_000018,18,insert_memory,cassandra,baseline,180.856,198.803,206.555,25.699,0,17.947,7.752,ok
19,p53b_evt_000019,p53b_000019,19,insert_memory,cassandra,baseline,190.794,212.424,215.705,24.911,0,21.63,3.281,ok
20,p53b_evt_000020,p53b_000020,20,update_relation,cassandra,baseline,200.725,215.91,222.501,21.776,0,15.185,6.591,ok
21,p53b_evt_000021,p53b_000021,21,insert_memory,cassandra,baseline,210.522,221.582,236.718,26.195,0,11.06,15.136,ok
22,p53b_evt_000022,p53b_000022,22,insert_memory,cassandra,baseline,220.513,237.061,242.722,22.209,0,16.549,5.66,ok
23,p53b_evt_000023,p53b_000023,23,update_relation,cassandra,baseline,230.798,242.37,250.306,19.507,0,11.572,7.935,ok
24,p53b_evt_000024,p53b_000024,24,insert_memory,cassandra,baseline,240.913,250.063,270.2,29.287,0,9.15,20.138,ok
25,p53b_evt_000025,p53b_000025,25,insert_memory,cassandra,baseline,250.855,267.798,275.488,24.633,0,16.943,7.691,ok
26,p53b_evt_000026,p53b_000026,26,update_relation,cassandra,baseline,260.789,279.393,283.565,22.776,0,18.603,4.172,ok
28,p53b_evt_000028,p53b_000028,28,update_relation,cassandra,baseline,280.897,286.665,290.58,9.683,0,5.767,3.916,ok
27,p53b_evt_000027,p53b_000027,27,update_relation,cassandra,baseline,270.981,286.769,292.417,21.436,0,15.788,5.648,ok
30,p53b_evt_000030,p53b_000030,30,replace_relation,cassandra,baseline,300.976,313.169,317.295,16.319,0,12.194,4.126,ok
29,p53b_evt_000029,p53b_000029,29,insert_memory,cassandra,baseline,290.777,304.375,321.942,31.166,0,13.599,17.567,ok
31,p53b_evt_000031,p53b_000031,31,insert_memory,cassandra,baseline,310.584,323.376,328.731,18.147,0,12.792,5.355,ok
32,p53b_evt_000032,p53b_000032,32,replace_relation,cassandra,baseline,320.946,337.039,348.181,27.235,0,16.092,11.142,ok
33,p53b_evt_000033,p53b_000033,33,update_relation,cassandra,baseline,330.69,349.907,352.723,22.033,0,19.217,2.816,ok
34,p53b_evt_000034,p53b_000034,34,insert_memory,cassandra,baseline,340.803,362.45,366.849,26.047,0,21.647,4.4,ok
35,p53b_evt_000035,p53b_000035,35,insert_memory,cassandra,baseline,351.253,362.718,382.663,31.409,0,11.464,19.945,ok
36,p53b_evt_000036,p53b_000036,36,update_relation,cassandra,baseline,360.679,367.835,383.017,22.338,0,7.156,15.182,ok
37,p53b_evt_000037,p53b_000037,37,update_relation,cassandra,baseline,371.021,401.87,416.363,45.343,0,30.849,14.493,ok
38,p53b_evt_000038,p53b_000038,38,update_relation,cassandra,baseline,380.916,401.825,416.794,35.878,0,20.909,14.969,ok
39,p53b_evt_000039,p53b_000039,39,update_relation,cassandra,baseline,390.78,416.754,423.106,32.325,0,25.974,6.351,ok
41,p53b_evt_000041,p53b_000041,41,insert_memory,cassandra,baseline,410.671,427.521,430.785,20.113,0,16.85,3.264,ok
40,p53b_evt_000040,p53b_000040,40,update_relation,cassandra,baseline,400.843,423.23,437.158,36.314,0,22.387,13.927,ok
42,p53b_evt_000042,p53b_000042,42,insert_memory,cassandra,baseline,421.075,430.544,437.215,16.14,0,9.469,6.671,ok
43,p53b_evt_000043,p53b_000043,43,update_relation,cassandra,baseline,431.017,447.07,458.735,27.718,0,16.053,11.665,ok
44,p53b_evt_000044,p53b_000044,44,update_relation,cassandra,baseline,440.592,460.507,464.863,24.271,0,19.915,4.356,ok
45,p53b_evt_000045,p53b_000045,45,insert_memory,cassandra,baseline,450.514,463.748,471.955,21.441,0,13.234,8.207,ok
46,p53b_evt_000046,p53b_000046,46,insert_memory,cassandra,baseline,460.802,473.291,476.914,16.111,0,12.489,3.623,ok
47,p53b_evt_000047,p53b_000047,47,replace_relation,cassandra,baseline,470.715,487.697,492.691,21.976,0,16.982,4.994,ok
48,p53b_evt_000048,p53b_000048,48,update_relation,cassandra,baseline,480.837,492.029,503.981,23.144,0,11.192,11.952,ok
49,p53b_evt_000049,p53b_000049,49,insert_memory,cassandra,baseline,490.662,499.657,505.797,15.135,0,8.994,6.14,ok
50,p53b_evt_000050,p53b_000050,50,update_relation,cassandra,baseline,500.537,516.931,530.009,29.472,0,16.393,13.079,ok
51,p53b_evt_000051,p53b_000051,51,update_relation,cassandra,baseline,515.832,526.48,532.3,16.467,0,10.647,5.82,ok
52,p53b_evt_000052,p53b_000052,52,replace_relation,cassandra,baseline,531.478,546.397,551.651,20.173,0,14.92,5.254,ok
53,p53b_evt_000053,p53b_000053,53,insert_memory,cassandra,baseline,544.612,552.724,561.382,16.77,0,8.112,8.658,ok
