sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
1,p53c-update-00000001,p53c-memory-0000000,1,insert_memory,cassandra,stable_before_outage,1,,577025078553300,577025090291400,577025091829700,577025093451900,1,1700.5138,46.1291,11.7381,1.5383,1.6222,1715.4126,success
2,p53c-update-00000002,p53c-memory-0000001,1,insert_memory,cassandra,stable_before_outage,1,,577025094243900,577025097122400,577025105951500,577025106113100,1,1714.6284,44.9207,2.8785,8.8291,0.1616,1726.4978,success
3,p53c-update-00000003,p53c-memory-0000002,1,insert_memory,cassandra,stable_before_outage,1,,577025106937800,577025118160800,577025119047900,577025119313700,1,1726.3135,43.4483,11.223,0.8871,0.2658,1738.6898,success
4,p53c-update-00000004,p53c-memory-0000003,1,insert_memory,cassandra,stable_before_outage,1,,577025120519300,577025128078800,577025128739000,577025128880500,1,1733.3901,37.0812,7.5595,0.6602,0.1415,1741.7515,success
5,p53c-update-00000005,p53c-memory-0000004,1,insert_memory,cassandra,stable_before_outage,1,,577025129677400,577025137035100,577025155129700,577025155284400,1,1732.3022,28.1309,7.3577,18.0946,0.1547,1757.9094,success
6,p53c-update-00000006,p53c-memory-0000005,1,insert_memory,cassandra,stable_before_outage,1,,577025156045800,577025166510300,577025167341900,577025167487200,1,1749.7185,17.1785,10.4645,0.8316,0.1453,1761.1602,success
7,p53c-update-00000007,p53c-memory-0000004,2,update_relation,cassandra,stable_before_outage,1,,577025168542000,577025185964900,577025186751100,577025186918900,1,1751.4749,27.5902,17.4229,0.7862,0.1678,1769.8521,success
8,p53c-update-00000008,p53c-memory-0000003,2,update_relation,cassandra,stable_before_outage,1,,577025187647300,577025205495900,577025206194300,577025206361500,1,1760.4737,20.1013,17.8486,0.6984,0.1672,1779.1882,success
9,p53c-update-00000009,p53c-memory-0000000,2,update_relation,cassandra,stable_before_outage,1,,577025207092500,577025225428900,577025226352800,577025226546900,1,1770.717,13.2123,18.3364,0.9239,0.1941,1790.1715,success
10,p53c-update-00000010,p53c-memory-0000003,3,replace_relation,cassandra,stable_before_outage,1,,577025227343800,577025246429300,577025247368800,577025247536400,1,1780.9363,30.5854,19.0855,0.9395,0.1676,1801.1291,success
11,p53c-update-00000011,p53c-memory-0000006,1,insert_memory,cassandra,stable_before_outage,1,,577025248221900,577025255602000,577025256188500,577025256433300,1,1791.8047,26.7232,7.3801,0.5865,0.2448,1800.0165,success
12,p53c-update-00000012,p53c-memory-0000007,1,insert_memory,cassandra,stable_before_outage,1,,577025263615200,577025275351600,577025276118000,577025276322300,1,1789.0699,8.6395,11.7364,0.7664,0.2043,1801.7773,success
13,p53c-update-00000013,p53c-memory-0000008,1,insert_memory,cassandra,stable_before_outage,1,,577025276997700,577025284581500,577025285254600,577025285446100,1,1800.474,9.8466,7.5838,0.6731,0.1915,1808.9225,success
14,p53c-update-00000014,p53c-memory-0000009,1,insert_memory,cassandra,stable_before_outage,1,,577025286333900,577025295648500,577025296232800,577025296396800,1,1799.9176,19.0189,9.3146,0.5843,0.164,1809.9808,success
15,p53c-update-00000015,p53c-memory-0000010,1,insert_memory,cassandra,stable_before_outage,1,,577025297131400,577025304969800,577025313195400,577025313371000,1,1800.8197,19.4231,7.8384,8.2256,0.1756,1817.0595,success
16,p53c-update-00000016,p53c-memory-0000011,1,insert_memory,cassandra,stable_before_outage,1,,577025314033700,577025324813200,577025325644800,577025325762100,1,1806.6147,10.989,10.7795,0.8316,0.1173,1818.3432,success
17,p53c-update-00000017,p53c-memory-0000009,2,update_relation,cassandra,stable_before_outage,1,,577025326429900,577025345587800,577025346264400,577025346404000,1,1809.2915,27.023,19.1579,0.6766,0.1396,1829.2657,success
18,p53c-update-00000018,p53c-memory-0000000,3,update_relation,cassandra,stable_before_outage,1,,577025347225500,577025364289000,577025365002200,577025365142700,1,1820.0,29.5004,17.0635,0.7132,0.1405,1837.9179,success
19,p53c-update-00000019,p53c-memory-0000003,4,update_relation,cassandra,stable_before_outage,1,,577025365935300,577025385121700,577025385757200,577025385928100,1,1829.5699,21.83,19.1864,0.6355,0.1709,1849.5628,success
20,p53c-update-00000020,p53c-memory-0000001,2,replace_relation,cassandra,stable_before_outage,1,,577025386666300,577025405623800,577025406508200,577025406637600,1,1838.9848,16.1306,18.9575,0.8844,0.1294,1858.9562,success
21,p53c-update-00000021,p53c-memory-0000012,1,insert_memory,cassandra,stable_before_outage,1,,577025407346400,577025414224900,577025415447500,577025415586400,1,1850.133,23.212,6.8785,1.2226,0.1389,1858.3731,success
22,p53c-update-00000022,p53c-memory-0000013,1,insert_memory,cassandra,stable_before_outage,1,,577025416262900,577025424329500,577025424961500,577025425107300,1,1848.9063,15.0193,8.0666,0.632,0.1458,1857.7509,success
23,p53c-update-00000023,p53c-memory-0000014,1,insert_memory,cassandra,stable_before_outage,1,,577025425772700,577025433661700,577025434341800,577025434495600,1,1848.3398,12.635,7.889,0.6801,0.1538,1857.0629,success
24,p53c-update-00000024,p53c-memory-0000015,1,insert_memory,cassandra,stable_before_outage,1,,577025435170900,577025444006200,577025444664300,577025444833700,1,1847.9008,28.2874,8.8353,0.6581,0.1694,1857.5637,success
25,p53c-update-00000025,p53c-memory-0000016,1,insert_memory,cassandra,stable_before_outage,1,,577025445517600,577025453145800,577025453749800,577025453919800,1,1845.0509,14.5314,7.6282,0.604,0.17,1853.4534,success
26,p53c-update-00000026,p53c-memory-0000017,1,insert_memory,cassandra,stable_before_outage,1,,577025454668300,577025462465300,577025463118900,577025463290200,1,1847.4545,8.0439,7.797,0.6536,0.1713,1856.077,success
27,p53c-update-00000027,p53c-memory-0000002,2,update_relation,cassandra,stable_before_outage,1,,577025464087400,577025480933200,577025481619100,577025481804500,1,1847.602,20.8537,16.8458,0.6859,0.1854,1865.3192,success
28,p53c-update-00000028,p53c-memory-0000013,2,update_relation,cassandra,stable_before_outage,1,,577025482564100,577025501398500,577025502423000,577025502707400,1,1855.9213,12.4254,18.8344,1.0245,0.2844,1876.0654,success
29,p53c-update-00000029,p53c-memory-0000007,2,update_relation,cassandra,stable_before_outage,1,,577025505317000,577025521172800,577025538444900,577025538625200,1,1868.0531,28.1319,15.8558,17.2721,0.1803,1901.3615,success
30,p53c-update-00000030,p53c-memory-0000013,3,replace_relation,cassandra,stable_before_outage,1,,577025539296900,577025559617500,577025560232600,577025560429900,1,1893.0229,24.2654,20.3206,0.6151,0.1973,1914.1561,success
31,p53c-update-00000031,p53c-memory-0000018,1,insert_memory,cassandra,stable_before_outage,1,,577025561257000,577025569866800,577025570544800,577025570656000,1,1903.7522,7.8393,8.6098,0.678,0.1112,1913.1515,success
32,p53c-update-00000032,p53c-memory-0000019,1,insert_memory,cassandra,stable_before_outage,1,,577025571250100,577025579252000,577025579888200,577025580014100,1,1904.3713,13.5436,8.0019,0.6362,0.1259,1913.1356,success
33,p53c-update-00000033,p53c-memory-0000020,1,insert_memory,cassandra,stable_before_outage,1,,577025580714800,577025589284000,577025590156200,577025590292300,1,1903.3757,12.4205,8.5692,0.8722,0.1361,1912.9534,success
34,p53c-update-00000034,p53c-memory-0000021,1,insert_memory,cassandra,stable_before_outage,1,,577025590976700,577025597720800,577025598273800,577025598411800,1,1903.6337,37.5261,6.7441,0.553,0.138,1911.069,success
35,p53c-update-00000035,p53c-memory-0000022,1,insert_memory,cassandra,stable_before_outage,1,,577025599031300,577025608506600,577025609114300,577025609254000,1,1891.5848,17.4657,9.4753,0.6077,0.1397,1901.8077,success
36,p53c-update-00000036,p53c-memory-0000023,1,insert_memory,cassandra,stable_before_outage,1,,577025609915900,577025618451400,577025619319400,577025619507900,1,1901.9921,15.6748,8.5355,0.868,0.1885,1911.5844,success
37,p53c-update-00000037,p53c-memory-0000022,2,update_relation,cassandra,stable_before_outage,1,,577025620149700,577025637421800,577025638042500,577025638191800,1,1902.9876,25.1442,17.2721,0.6207,0.1493,1921.0298,success
38,p53c-update-00000038,p53c-memory-0000008,2,update_relation,cassandra,stable_before_outage,1,,577025638873700,577025657055300,577025657710200,577025657864200,1,1912.5889,34.9485,18.1816,0.6549,0.154,1931.5795,success
39,p53c-update-00000039,p53c-memory-0000004,3,update_relation,cassandra,stable_before_outage,1,,577025658505700,577025676371300,577025683579200,577025683760200,1,1922.1497,25.3251,17.8656,7.2079,0.181,1947.4045,success
40,p53c-update-00000040,p53c-memory-0000009,3,replace_relation,cassandra,stable_before_outage,1,,577025684417800,577025705081500,577025705675900,577025705840700,1,1937.7622,22.9827,20.6637,0.5944,0.1648,1959.1853,success
41,p53c-update-00000041,p53c-memory-0000024,1,insert_memory,cassandra,stable_before_outage,1,,577025706588100,577025715903800,577025716585900,577025716837100,1,1947.8546,8.087,9.3157,0.6821,0.2512,1958.1038,success
42,p53c-update-00000042,p53c-memory-0000025,1,insert_memory,cassandra,stable_before_outage,1,,577025717587600,577025724720700,577025728683100,577025728868000,1,1950.496,10.069,7.1331,3.9624,0.1849,1961.7766,success
43,p53c-update-00000043,p53c-memory-0000026,1,insert_memory,cassandra,stable_before_outage,1,,577025729531700,577025733843800,577025734451600,577025734623400,1,1953.2034,21.1785,4.3121,0.6078,0.1718,1958.2952,success
44,p53c-update-00000044,p53c-memory-0000027,1,insert_memory,cassandra,stable_before_outage,1,,577025735265300,577025743171900,577025743793600,577025743976300,1,1948.0348,12.9639,7.9066,0.6217,0.1827,1956.746,success
