ts,elapsed,phase,persisted,committed,checkpoint_seq,event_log_backlog,materialization_backlog,searchability_backlog,oldest_event_age_ms,materializer_status
1784721893.1048555,0.021815,stable_before_outage,3,0,0,3,0,3,4.0698,running
1784721894.1016052,1.0212461,stable_before_outage,103,98,0,103,98,103,1000.7886,running
1784721895.101701,2.0224188,stable_before_outage,203,199,18,185,181,185,1843.0152,running
1784721896.1028368,3.0231008,stable_before_outage,303,298,85,218,213,218,2172.3519,running
1784721897.1013002,4.0215261,stable_before_outage,403,398,148,255,250,255,2542.5174,running
1784721898.1257784,5.0213882,stable_before_outage,505,499,218,287,281,287,2865.9293,running
1784721899.1069763,6.0200849,stable_before_outage,603,599,284,319,315,319,3187.6305,running
1784721900.1028981,7.0224966,stable_before_outage,703,699,352,351,347,351,3503.0487,running
1784721901.1028132,8.0203638,stable_before_outage,803,798,422,381,376,381,3802.9889,running
1784721902.1020968,9.0222214,stable_before_outage,903,898,494,409,404,409,4082.8797,running
1784721903.135403,10.020098,stable_before_outage,1006,997,562,444,435,444,4429.0366,running
1784721904.1037824,11.0228196,stable_before_outage,1103,1098,626,477,472,477,4764.717,running
1784721905.103008,12.0227048,stable_before_outage,1203,1197,691,512,506,512,5113.9013,running
1784721906.1022835,13.022016,stable_before_outage,1303,1297,759,544,538,544,5432.7082,running
1784721907.1024694,14.0210054,stable_before_outage,1403,1398,816,587,582,587,5862.5049,running
1784721908.1029818,15.0210649,stable_before_outage,1503,1498,884,619,614,619,6182.8982,running
1784721909.1039174,16.0227658,stable_before_outage,1603,1596,948,655,648,655,6533.3024,running
1784721910.1035216,17.0224813,stable_before_outage,1703,1698,1025,678,673,678,6773.7738,running
1784721911.1036406,18.0221153,stable_before_outage,1803,1798,1082,721,716,721,7203.7104,running
1784721912.1101956,19.0211956,stable_before_outage,1903,1900,1146,757,754,757,7571.1004,running
1784721913.1184046,20.0214734,stable_before_outage,2004,1997,1214,790,783,790,7899.3006,running
1784721914.1076202,21.0213486,stable_before_outage,2103,2097,1277,826,820,826,8258.3932,running
1784721915.104257,22.0226232,stable_before_outage,2203,2198,1338,865,860,865,8644.9747,running
1784721916.1139667,23.0208905,stable_before_outage,2303,2298,1403,900,895,900,9004.2909,running
1784721917.1039114,24.0221246,stable_before_outage,2403,2399,1478,925,921,925,9243.9179,running
1784721918.1040006,25.0226118,stable_before_outage,2503,2497,1545,958,952,958,9574.4543,running
1784721919.104455,26.0215085,stable_before_outage,2603,2598,1608,995,990,995,9945.8558,running
1784721920.1069736,27.0210949,stable_before_outage,2703,2698,1676,1027,1022,1027,10266.8638,running
1784721921.1048775,28.0223996,stable_before_outage,2803,2797,1746,1057,1051,1057,10536.9087,running
1784721922.1042678,29.0211385,stable_before_outage,2903,2897,1807,1096,1090,1096,10955.2915,running
1784721923.101126,30.0218956,stable_before_outage,3003,2998,1872,1131,1126,1131,11302.6455,running
1784721924.1044047,31.0228235,stable_before_outage,3103,3096,1941,1162,1155,1162,11615.0754,running
1784721925.1049373,32.0223344,stable_before_outage,3203,3197,2003,1200,1194,1200,11989.1763,running
1784721926.1054528,33.0215968,stable_before_outage,3303,3298,2059,1244,1239,1244,12435.4234,running
1784721927.1047354,34.0219954,stable_before_outage,3403,3398,2126,1277,1272,1277,12764.8326,running
1784721928.1053388,35.0218487,stable_before_outage,3503,3498,2197,1306,1301,1306,13054.9193,running
1784721929.1051393,36.0200631,stable_before_outage,3603,3596,2260,1343,1336,1343,13426.2714,running
1784721930.105679,37.0230801,stable_before_outage,3703,3696,2317,1386,1379,1386,13855.8873,running
1784721931.1045485,38.0230142,stable_before_outage,3803,3798,2378,1425,1420,1425,14246.7146,running
1784721932.1138997,39.0205377,stable_before_outage,3904,3896,2440,1464,1456,1464,14635.332,running
1784721933.1052933,40.0227762,stable_before_outage,4003,3998,2492,1511,1506,1511,15106.4295,running
1784721934.1053243,41.0225274,stable_before_outage,4103,4097,2552,1551,1545,1551,15506.4173,running
1784721935.104811,42.0224753,stable_before_outage,4203,4197,2612,1591,1585,1591,15906.8912,running
1784721936.1079023,43.0221719,stable_before_outage,4303,4298,2676,1627,1622,1627,16268.4074,running
1784721937.1020834,44.0214458,stable_before_outage,4403,4396,2730,1673,1666,1673,16724.9863,running
1784721938.10247,45.0221204,stable_before_outage,4503,4498,2792,1711,1706,1711,17105.9024,running
1784721939.1074378,46.0229071,stable_before_outage,4603,4597,2857,1746,1740,1746,17456.9996,running
1784721940.1111865,47.0201358,stable_before_outage,4703,4698,2918,1785,1780,1785,17837.1148,running
