sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
1,p53c-update-00000001,p53c-memory-0000000,1,insert_memory,neo4j,stable_before_outage,1,,577712886419200,577712937234900,577712938093100,577712939052500,1,1173.3822,650.3061,50.8157,0.8582,0.9594,1226.0157,success
2,p53c-update-00000002,p53c-memory-0000001,1,insert_memory,neo4j,stable_before_outage,1,,577712939703600,577712944072200,577712944642000,577712944760000,1,1218.3512,639.3952,4.3686,0.5698,0.118,1223.408,success
3,p53c-update-00000003,p53c-memory-0000002,1,insert_memory,neo4j,stable_before_outage,1,,577712945414700,577712950045800,577712950555900,577712950667300,1,1215.3351,631.0929,4.6311,0.5101,0.1114,1220.588,success
4,p53c-update-00000004,p53c-memory-0000003,1,insert_memory,neo4j,stable_before_outage,1,,577712951272800,577712956093700,577712956592000,577712956708900,1,1210.9163,909.5737,4.8209,0.4983,0.1169,1216.3527,success
5,p53c-update-00000005,p53c-memory-0000004,1,insert_memory,neo4j,stable_before_outage,1,,577712957285500,577712964313600,577712965016100,577712965173600,1,1207.1612,899.9705,7.0281,0.7025,0.1575,1215.0494,success
6,p53c-update-00000006,p53c-memory-0000005,1,insert_memory,neo4j,stable_before_outage,1,,577712965988000,577712972531000,577712973334100,577712973499500,1,1205.2747,600.1105,6.543,0.8031,0.1654,1212.7865,success
7,p53c-update-00000007,p53c-memory-0000004,2,update_relation,neo4j,stable_before_outage,1,,577712974249200,577712979249800,577712980516200,577712980670500,1,1203.8767,594.1453,5.0006,1.2664,0.1543,1210.2986,success
8,p53c-update-00000008,p53c-memory-0000003,2,update_relation,neo4j,stable_before_outage,1,,577712981263900,577712987111300,577712991575600,577712991739400,1,1201.2008,580.5812,5.8474,4.4643,0.1638,1211.6764,success
9,p53c-update-00000009,p53c-memory-0000000,2,update_relation,neo4j,stable_before_outage,1,,577712992455300,577712997825100,577712998403300,577712998556400,1,1202.4154,593.5285,5.3698,0.5782,0.1531,1208.5166,success
10,p53c-update-00000010,p53c-memory-0000003,3,replace_relation,neo4j,stable_before_outage,1,,577712999234300,577713004821400,577713005344200,577713005498500,1,1198.607,585.5851,5.5871,0.5228,0.1543,1204.8714,success
11,p53c-update-00000011,p53c-memory-0000006,1,insert_memory,neo4j,stable_before_outage,1,,577713006105400,577713010699900,577713011341400,577713011504000,1,1195.3984,551.501,4.5945,0.6415,0.1626,1200.7971,success
12,p53c-update-00000012,p53c-memory-0000007,1,insert_memory,neo4j,stable_before_outage,1,,577713012116800,577713017759100,577713018274000,577713018425600,1,1191.5684,828.6307,5.6423,0.5149,0.1516,1197.8774,success
13,p53c-update-00000013,p53c-memory-0000008,1,insert_memory,neo4j,stable_before_outage,1,,577713018997800,577713023594200,577713024254300,577713024427800,1,1188.6633,531.9734,4.5964,0.6601,0.1735,1194.0934,success
14,p53c-update-00000014,p53c-memory-0000009,1,insert_memory,neo4j,stable_before_outage,1,,577713025070000,577713030958600,577713050848700,577713051042500,1,1184.4162,808.7295,5.8886,19.8901,0.1938,1210.3888,success
15,p53c-update-00000015,p53c-memory-0000010,1,insert_memory,neo4j,stable_before_outage,1,,577713051896700,577713056984100,577713057652000,577713057843500,1,1201.5249,512.2634,5.0874,0.6679,0.1915,1207.4719,success
16,p53c-update-00000016,p53c-memory-0000011,1,insert_memory,neo4j,stable_before_outage,1,,577713070269900,577713074869800,577713075775500,577713075901000,1,1209.7599,502.4936,4.5999,0.9057,0.1255,1215.3911,success
17,p53c-update-00000017,p53c-memory-0000009,2,update_relation,neo4j,stable_before_outage,1,,577713076522000,577713081380400,577713088992400,577713089113200,1,1205.3682,489.8315,4.8584,7.612,0.1208,1217.9595,success
18,p53c-update-00000018,p53c-memory-0000000,3,update_relation,neo4j,stable_before_outage,1,,577713089712000,577713094209600,577713094699100,577713094806300,1,1208.1604,513.0695,4.4976,0.4895,0.1072,1213.2554,success
19,p53c-update-00000019,p53c-memory-0000003,4,update_relation,neo4j,stable_before_outage,1,,577713095349200,577713100508900,577713101128000,577713101250100,1,1204.3374,504.9991,5.1597,0.6191,0.1221,1210.2385,success
