ts,elapsed,phase,persisted,committed,checkpoint_seq,event_log_backlog,materialization_backlog,searchability_backlog,oldest_event_age_ms,materializer_status
1784722581.4374316,0.0030673,stable_before_outage,1,0,0,1,0,1,1.9598,running
1784722582.4396527,1.001044,stable_before_outage,101,82,0,101,82,101,1004.4526,running
1784722583.437652,2.0041153,stable_before_outage,201,199,94,107,105,107,1053.0594,running
1784722584.4362605,3.0033585,stable_before_outage,301,300,215,86,85,86,852.5504,running
1784722585.436891,4.0039686,stable_before_outage,401,399,347,54,52,54,533.5819,running
1784722586.4376373,5.000548,stable_before_outage,501,499,464,37,35,37,363.8485,running
1784722587.4366076,6.0032602,stable_before_outage,601,599,580,21,19,21,203.533,running
1784722588.437266,7.0038914,stable_before_outage,701,699,694,7,5,7,64.0635,running
1784722589.4369218,8.0034729,stable_before_outage,801,799,797,4,2,4,33.4505,running
1784722590.4374774,9.0045636,stable_before_outage,901,899,896,5,3,5,45.0547,running
1784722591.43721,10.0035469,stable_before_outage,1001,999,985,16,14,16,153.6168,running
1784722592.4376726,11.0037149,stable_before_outage,1101,1096,1077,24,19,24,234.756,running
1784722593.4384773,12.0043174,stable_before_outage,1201,1199,1167,34,32,34,335.1684,running
1784722594.4372966,13.0037802,stable_before_outage,1301,1298,1262,39,36,39,384.3998,running
1784722595.4385185,14.0041179,stable_before_outage,1401,1398,1374,27,24,27,264.8329,running
1784722596.4380121,15.003846,stable_before_outage,1501,1497,1453,48,44,48,474.0322,running
1784722597.439305,16.0051459,stable_before_outage,1601,1599,1580,21,19,21,206.9354,running
1784722598.438736,17.0010769,stable_before_outage,1701,1699,1685,16,14,16,155.7368,running
1784722599.4376168,18.0032423,stable_before_outage,1801,1798,1786,15,12,15,144.3157,running
1784722600.4371707,19.0035593,stable_before_outage,1901,1898,1879,22,19,22,214.3965,running
1784722601.4396229,20.0042162,stable_before_outage,2001,1997,1990,11,7,11,107.8504,running
1784722602.4396434,21.0047693,stable_before_outage,2101,2091,2042,59,49,59,586.537,running
1784722603.4370065,22.0041125,stable_before_outage,2201,2198,2083,118,115,118,1175.554,running
1784722604.4393845,23.0042129,stable_before_outage,2301,2299,2183,118,116,118,1176.0872,running
1784722605.4383333,24.003183,stable_before_outage,2401,2398,2279,122,119,122,1215.7349,running
1784722606.4387991,25.0038301,stable_before_outage,2501,2499,2367,134,132,134,1335.898,running
1784722607.4381254,26.0034337,stable_before_outage,2601,2599,2480,121,119,121,1205.5059,running
1784722608.4375439,27.004277,stable_before_outage,2701,2698,2589,112,109,112,1116.2962,running
1784722609.4388623,28.0036325,stable_before_outage,2801,2799,2696,105,103,105,1045.2756,running
1784722610.43714,29.0031496,stable_before_outage,2901,2897,2818,83,79,83,825.2586,running
1784722611.444918,30.0008531,stable_before_outage,3001,2999,2905,96,94,96,961.3467,running
1784722612.4382887,31.0040941,stable_before_outage,3101,3098,3013,88,85,88,876.0868,running
1784722613.4398572,32.0044376,stable_before_outage,3201,3198,3109,92,89,92,917.1867,running
1784722614.4478998,33.000022,stable_before_outage,3302,3299,3217,85,82,85,848.176,running
1784722615.438682,34.0037094,stable_before_outage,3401,3397,3316,85,81,85,846.0795,running
1784722616.4399385,35.0038809,stable_before_outage,3501,3500,3406,95,94,95,946.0551,running
1784722617.439303,36.003406,stable_before_outage,3601,3598,3505,96,93,96,955.61,running
