backend,memory_id,expected_version,memory_version,rawerk_version,bm25_version,status
cassandra,p53c-memory-0000000,4,4,4,4,PASS
cassandra,p53c-memory-0000001,3,3,3,3,PASS
cassandra,p53c-memory-0000002,4,4,4,4,PASS
cassandra,p53c-memory-0000003,6,6,6,6,PASS
cassandra,p53c-memory-0000004,5,5,5,5,PASS
cassandra,p53c-memory-0000005,2,2,2,2,PASS
cassandra,p53c-memory-0000006,2,2,2,2,PASS
cassandra,p53c-memory-0000007,5,5,5,5,PASS
cassandra,p53c-memory-0000008,2,2,2,2,PASS
cassandra,p53c-memory-0000009,5,5,5,5,PASS
cassandra,p53c-memory-0000010,1,1,1,1,PASS
cassandra,p53c-memory-0000011,4,4,4,4,PASS
cassandra,p53c-memory-0000012,3,3,3,3,PASS
cassandra,p53c-memory-0000013,3,3,3,3,PASS
cassandra,p53c-memory-0000014,3,3,3,3,PASS
cassandra,p53c-memory-0000015,2,2,2,2,PASS
cassandra,p53c-memory-0000016,4,4,4,4,PASS
cassandra,p53c-memory-0000017,6,6,6,6,PASS
cassandra,p53c-memory-0000018,4,4,4,4,PASS
cassandra,p53c-memory-0000019,2,2,2,2,PASS
cassandra,p53c-memory-0000020,2,2,2,2,PASS
cassandra,p53c-memory-0000021,4,4,4,4,PASS
cassandra,p53c-memory-0000022,2,2,2,2,PASS
cassandra,p53c-memory-0000023,3,3,3,3,PASS
cassandra,p53c-memory-0000024,3,3,3,3,PASS
cassandra,p53c-memory-0000025,3,3,3,3,PASS
cassandra,p53c-memory-0000026,5,5,5,5,PASS
cassandra,p53c-memory-0000027,1,1,1,1,PASS
cassandra,p53c-memory-0000028,2,2,2,2,PASS
cassandra,p53c-memory-0000029,4,4,4,4,PASS
cassandra,p53c-memory-0000030,2,2,2,2,PASS
cassandra,p53c-memory-0000031,3,3,3,3,PASS
cassandra,p53c-memory-0000032,3,3,3,3,PASS
cassandra,p53c-memory-0000033,3,3,3,3,PASS
cassandra,p53c-memory-0000034,5,5,5,5,PASS
cassandra,p53c-memory-0000035,4,4,4,4,PASS
cassandra,p53c-memory-0000036,3,3,3,3,PASS
cassandra,p53c-memory-0000037,4,4,4,4,PASS
cassandra,p53c-memory-0000038,3,3,3,3,PASS
cassandra,p53c-memory-0000039,1,1,1,1,PASS
cassandra,p53c-memory-0000040,2,2,2,2,PASS
cassandra,p53c-memory-0000041,4,4,4,4,PASS
cassandra,p53c-memory-0000042,3,3,3,3,PASS
cassandra,p53c-memory-0000043,2,2,2,2,PASS
cassandra,p53c-memory-0000044,5,5,5,5,PASS
cassandra,p53c-memory-0000045,4,4,4,4,PASS
cassandra,p53c-memory-0000046,5,5,5,5,PASS
cassandra,p53c-memory-0000047,3,3,3,3,PASS
cassandra,p53c-memory-0000048,4,4,4,4,PASS
cassandra,p53c-memory-0000049,3,3,3,3,PASS
cassandra,p53c-memory-0000050,2,2,2,2,PASS
cassandra,p53c-memory-0000051,3,3,3,3,PASS
cassandra,p53c-memory-0000052,3,3,3,3,PASS
cassandra,p53c-memory-0000053,2,2,2,2,PASS
cassandra,p53c-memory-0000054,1,1,1,1,PASS
cassandra,p53c-memory-0000055,1,1,1,1,PASS
cassandra,p53c-memory-0000056,1,1,1,1,PASS
cassandra,p53c-memory-0000057,1,1,1,1,PASS
cassandra,p53c-memory-0000058,2,2,2,2,PASS
cassandra,p53c-memory-0000059,4,4,4,4,PASS
cassandra,p53c-memory-0000060,5,5,5,5,PASS
cassandra,p53c-memory-0000061,2,2,2,2,PASS
cassandra,p53c-memory-0000062,1,1,1,1,PASS
cassandra,p53c-memory-0000063,2,2,2,2,PASS
cassandra,p53c-memory-0000064,1,1,1,1,PASS
cassandra,p53c-memory-0000065,4,4,4,4,PASS
cassandra,p53c-memory-0000066,2,2,2,2,PASS
cassandra,p53c-memory-0000067,2,2,2,2,PASS
cassandra,p53c-memory-0000068,2,2,2,2,PASS
cassandra,p53c-memory-0000069,2,2,2,2,PASS
cassandra,p53c-memory-0000070,4,4,4,4,PASS
cassandra,p53c-memory-0000071,3,3,3,3,PASS
cassandra,p53c-memory-0000072,4,4,4,4,PASS
cassandra,p53c-memory-0000073,2,2,2,2,PASS
cassandra,p53c-memory-0000074,2,2,2,2,PASS
cassandra,p53c-memory-0000075,2,2,2,2,PASS
cassandra,p53c-memory-0000076,3,3,3,3,PASS
cassandra,p53c-memory-0000077,2,2,2,2,PASS
cassandra,p53c-memory-0000078,2,2,2,2,PASS
cassandra,p53c-memory-0000079,3,3,3,3,PASS
cassandra,p53c-memory-0000080,4,4,4,4,PASS
cassandra,p53c-memory-0000081,2,2,2,2,PASS
cassandra,p53c-memory-0000082,3,3,3,3,PASS
cassandra,p53c-memory-0000083,1,1,1,1,PASS
cassandra,p53c-memory-0000084,1,1,1,1,PASS
cassandra,p53c-memory-0000085,3,3,3,3,PASS
cassandra,p53c-memory-0000086,3,3,3,3,PASS
cassandra,p53c-memory-0000087,2,2,2,2,PASS
cassandra,p53c-memory-0000088,1,1,1,1,PASS
cassandra,p53c-memory-0000089,1,1,1,1,PASS
cassandra,p53c-memory-0000090,1,1,1,1,PASS
cassandra,p53c-memory-0000091,2,2,2,2,PASS
cassandra,p53c-memory-0000092,1,1,1,1,PASS
cassandra,p53c-memory-0000093,3,3,3,3,PASS
cassandra,p53c-memory-0000094,1,1,1,1,PASS
cassandra,p53c-memory-0000095,3,3,3,3,PASS
cassandra,p53c-memory-0000096,1,1,1,1,PASS
cassandra,p53c-memory-0000097,2,2,2,2,PASS
cassandra,p53c-memory-0000098,1,1,1,1,PASS
cassandra,p53c-memory-0000099,1,1,1,1,PASS
cassandra,p53c-memory-0000100,3,3,3,3,PASS
cassandra,p53c-memory-0000101,2,2,2,2,PASS
cassandra,p53c-memory-0000102,1,1,1,1,PASS
cassandra,p53c-memory-0000103,3,3,3,3,PASS
cassandra,p53c-memory-0000104,2,2,2,2,PASS
cassandra,p53c-memory-0000105,1,1,1,1,PASS
cassandra,p53c-memory-0000106,3,3,3,3,PASS
cassandra,p53c-memory-0000107,3,3,3,3,PASS
cassandra,p53c-memory-0000108,4,4,4,4,PASS
cassandra,p53c-memory-0000109,3,3,3,3,PASS
cassandra,p53c-memory-0000110,2,2,2,2,PASS
cassandra,p53c-memory-0000111,2,2,2,2,PASS
cassandra,p53c-memory-0000112,1,1,1,1,PASS
