sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
1,p53c-update-00000001,p53c-memory-0000000,1,insert_memory,cassandra,stable_before_outage,1,,548796369267600,548796389307100,548796390740600,548796392104600,1,1512.7124,25.1316,20.0395,1.4335,1.364,1535.5495,success
2,p53c-update-00000002,p53c-memory-0000001,1,insert_memory,cassandra,stable_before_outage,1,,548796392684700,548796409540800,548796410062800,548796410169700,1,1532.6074,21.5669,16.8561,0.522,0.1069,1550.0927,success
3,p53c-update-00000003,p53c-memory-0000002,1,insert_memory,cassandra,stable_before_outage,1,,548796410691000,548796420707100,548796421181200,548796421278300,1,1528.2968,36.5137,10.0161,0.4741,0.0971,1538.8845,success
4,p53c-update-00000004,p53c-memory-0000003,1,insert_memory,cassandra,stable_before_outage,1,,548796421763800,548796436302300,548796436815200,548796436912900,1,1489.2333,36.452,14.5385,0.5129,0.0977,1504.3829,success
5,p53c-update-00000005,p53c-memory-0000004,1,insert_memory,cassandra,stable_before_outage,1,,548796437460000,548796456362500,548796456875200,548796456985400,1,1455.0106,37.9074,18.9025,0.5127,0.1102,1474.5363,success
6,p53c-update-00000006,p53c-memory-0000005,1,insert_memory,cassandra,stable_before_outage,1,,548796457494200,548796482090000,548796485756400,548796485866600,1,1424.9301,36.2778,24.5958,3.6664,0.1102,1453.3027,success
7,p53c-update-00000007,p53c-memory-0000004,2,update_relation,cassandra,stable_before_outage,1,,548796486429700,548796509534100,548796510134300,548796510274600,1,1404.2276,48.1392,23.1044,0.6002,0.1403,1428.073,success
8,p53c-update-00000008,p53c-memory-0000003,2,update_relation,cassandra,stable_before_outage,1,,548796510898300,548796531367600,548796531924100,548796532055300,1,1379.297,37.3374,20.4693,0.5565,0.1312,1400.4544,success
9,p53c-update-00000009,p53c-memory-0000000,2,update_relation,cassandra,stable_before_outage,1,,548796535455700,548796554345600,548796562401400,548796562539500,1,1352.8786,34.6239,18.8899,8.0558,0.1381,1379.9628,success
10,p53c-update-00000010,p53c-memory-0000003,3,replace_relation,cassandra,stable_before_outage,1,,548796563063500,548796581570500,548796582190900,548796582339900,1,1331.5628,35.2031,18.507,0.6204,0.149,1350.8393,success
11,p53c-update-00000011,p53c-memory-0000006,1,insert_memory,cassandra,stable_before_outage,1,,548796583011900,548796598916400,548796599589100,548796599729000,1,1300.5572,34.9402,15.9045,0.6727,0.1399,1317.2745,success
12,p53c-update-00000012,p53c-memory-0000007,1,insert_memory,cassandra,stable_before_outage,1,,548796600314800,548796612807000,548796613407800,548796613572100,1,1267.4677,44.639,12.4922,0.6008,0.1643,1280.7255,success
13,p53c-update-00000013,p53c-memory-0000008,1,insert_memory,cassandra,stable_before_outage,1,,548796614117000,548796626732800,548796627268000,548796627413700,1,1231.2933,40.3033,12.6158,0.5352,0.1457,1244.5903,success
14,p53c-update-00000014,p53c-memory-0000009,1,insert_memory,cassandra,stable_before_outage,1,,548796627928500,548796647215200,548796647760800,548796647916000,1,1196.6554,43.2568,19.2867,0.5456,0.1552,1216.6431,success
15,p53c-update-00000015,p53c-memory-0000010,1,insert_memory,cassandra,stable_before_outage,1,,548796648477300,548796663710100,548796664251100,548796664400300,1,1166.3148,41.0273,15.2328,0.541,0.1492,1182.2381,success
16,p53c-update-00000016,p53c-memory-0000011,1,insert_memory,cassandra,stable_before_outage,1,,548796664915100,548796681609100,548796682573900,548796682704200,1,1133.2838,43.7903,16.694,0.9648,0.1303,1151.0732,success
17,p53c-update-00000017,p53c-memory-0000009,2,update_relation,cassandra,stable_before_outage,1,,548796683279600,548796698545500,548796699132100,548796699235500,1,1101.1111,42.4505,15.2659,0.5866,0.1034,1117.0673,success
18,p53c-update-00000018,p53c-memory-0000000,3,update_relation,cassandra,stable_before_outage,1,,548796699827100,548796716245100,548796716842100,548796716951200,1,1067.735,43.2131,16.418,0.597,0.1091,1084.8596,success
19,p53c-update-00000019,p53c-memory-0000003,4,update_relation,cassandra,stable_before_outage,1,,548796717503200,548796730827400,548796731393900,548796731515900,1,1035.6058,44.4099,13.3242,0.5665,0.122,1049.6187,success
20,p53c-update-00000020,p53c-memory-0000001,2,replace_relation,cassandra,stable_before_outage,1,,548796732049100,548796748538600,548796749145000,548796749272500,1,999.8788,37.4263,16.4895,0.6064,0.1275,1017.1024,success
21,p53c-update-00000021,p53c-memory-0000012,1,insert_memory,cassandra,stable_before_outage,1,,548796749880100,548796763655900,548796764217900,548796764337500,1,967.0798,38.2676,13.7758,0.562,0.1196,981.5374,success
22,p53c-update-00000022,p53c-memory-0000013,1,insert_memory,cassandra,stable_before_outage,1,,548796764987100,548796780694900,548796781214300,548796781344500,1,932.203,37.9161,15.7078,0.5194,0.1302,948.5607,success
23,p53c-update-00000023,p53c-memory-0000014,1,insert_memory,cassandra,stable_before_outage,1,,548796781906700,548796797441800,548796797965700,548796798098700,1,900.2712,35.314,15.5351,0.5239,0.133,916.4636,success
24,p53c-update-00000024,p53c-memory-0000015,1,insert_memory,cassandra,stable_before_outage,1,,548796798647400,548796815708600,548796816311400,548796816469900,1,867.4325,37.6769,17.0612,0.6028,0.1585,885.2556,success
25,p53c-update-00000025,p53c-memory-0000016,1,insert_memory,cassandra,stable_before_outage,1,,548796817095900,548796836187500,548796836716200,548796836854500,1,834.7405,32.6802,19.0916,0.5287,0.1383,854.4994,success
26,p53c-update-00000026,p53c-memory-0000017,1,insert_memory,cassandra,stable_before_outage,1,,548796837400800,548796857438300,548796857983800,548796858112400,1,805.6415,34.2385,20.0375,0.5455,0.1286,826.3535,success
27,p53c-update-00000027,p53c-memory-0000002,2,update_relation,cassandra,stable_before_outage,1,,548796858668200,548796877547000,548796878097300,548796878238100,1,776.6306,39.3605,18.8788,0.5503,0.1408,796.2009,success
28,p53c-update-00000028,p53c-memory-0000013,2,update_relation,cassandra,stable_before_outage,1,,548796878763500,548796895839500,548796896404200,548796896561000,1,746.3047,37.3662,17.076,0.5647,0.1568,764.1026,success
29,p53c-update-00000029,p53c-memory-0000007,2,update_relation,cassandra,stable_before_outage,1,,548796897178600,548796915363600,548796915943900,548796916110200,1,714.4885,38.0525,18.185,0.5803,0.1663,733.4207,success
30,p53c-update-00000030,p53c-memory-0000013,3,replace_relation,cassandra,stable_before_outage,1,,548796916684300,548796937639100,548796938168800,548796938317400,1,685.3898,39.7282,20.9548,0.5297,0.1486,707.0232,success
31,p53c-update-00000031,p53c-memory-0000018,1,insert_memory,cassandra,stable_before_outage,1,,548796938906700,548796957337600,548796957992200,548796958088900,1,657.2677,38.4215,18.4309,0.6546,0.0967,676.4503,success
32,p53c-update-00000032,p53c-memory-0000019,1,insert_memory,cassandra,stable_before_outage,1,,548796958638100,548796977485300,548796978011000,548796978104800,1,626.8306,37.7203,18.8472,0.5257,0.0938,646.2977,success
33,p53c-update-00000033,p53c-memory-0000020,1,insert_memory,cassandra,stable_before_outage,1,,548796978659800,548796997116300,548796997674100,548796997769600,1,596.4685,35.6885,18.4565,0.5578,0.0955,615.5787,success
34,p53c-update-00000034,p53c-memory-0000021,1,insert_memory,cassandra,stable_before_outage,1,,548796998271400,548797016262900,548797016771500,548797016872900,1,566.5054,37.8879,17.9915,0.5086,0.1014,585.1071,success
35,p53c-update-00000035,p53c-memory-0000022,1,insert_memory,cassandra,stable_before_outage,1,,548797017416800,548797036121800,548797036641900,548797036743600,1,535.8926,55.9072,18.705,0.5201,0.1017,555.2198,success
36,p53c-update-00000036,p53c-memory-0000023,1,insert_memory,cassandra,stable_before_outage,1,,548797037710200,548797057545100,548797058049100,548797058163400,1,505.8201,33.1601,19.8349,0.504,0.1143,526.2737,success
37,p53c-update-00000037,p53c-memory-0000022,2,update_relation,cassandra,stable_before_outage,1,,548797058690600,548797076518200,548797077034600,548797077136600,1,477.0156,41.8,17.8276,0.5164,0.102,495.4619,success
38,p53c-update-00000038,p53c-memory-0000008,2,update_relation,cassandra,stable_before_outage,1,,548797077635600,548797096426000,548797096968600,548797097096000,1,445.2554,38.2888,18.7904,0.5426,0.1274,464.7162,success
39,p53c-update-00000039,p53c-memory-0000004,3,update_relation,cassandra,stable_before_outage,1,,548797097680600,548797116058200,548797116626100,548797116774600,1,416.0272,39.7925,18.3776,0.5679,0.1485,435.1217,success
40,p53c-update-00000040,p53c-memory-0000009,3,replace_relation,cassandra,stable_before_outage,1,,548797117353300,548797136717600,548797137280700,548797137428300,1,385.1378,31.7127,19.3643,0.5631,0.1476,405.2133,success
41,p53c-update-00000041,p53c-memory-0000024,1,insert_memory,cassandra,stable_before_outage,1,,548797138063800,548797156612900,548797157222300,548797157349700,1,356.2943,34.1763,18.5491,0.6094,0.1274,375.5806,success
42,p53c-update-00000042,p53c-memory-0000025,1,insert_memory,cassandra,stable_before_outage,1,,548797157880600,548797175525100,548797183457400,548797183588900,1,325.4551,34.7298,17.6445,7.9323,0.1315,351.1637,success
43,p53c-update-00000043,p53c-memory-0000026,1,insert_memory,cassandra,stable_before_outage,1,,548797184098300,548797198461400,548797198948000,548797199099800,1,301.761,33.1668,14.3631,0.4866,0.1518,316.7626,success
44,p53c-update-00000044,p53c-memory-0000027,1,insert_memory,cassandra,stable_before_outage,1,,548797199634900,548797215487400,548797216105300,548797216268400,1,267.6511,45.6527,15.8525,0.6179,0.1631,284.2849,success
45,p53c-update-00000045,p53c-memory-0000028,1,insert_memory,cassandra,stable_before_outage,1,,548797216786000,548797235218900,548797235784100,548797235968200,1,234.5076,34.1559,18.4329,0.5652,0.1841,253.69,success
46,p53c-update-00000046,p53c-memory-0000029,1,insert_memory,cassandra,stable_before_outage,1,,548797236525300,548797255628000,548797256319100,548797256418100,1,204.3522,37.7319,19.1027,0.6911,0.099,224.2453,success
47,p53c-update-00000047,p53c-memory-0000016,2,update_relation,cassandra,stable_before_outage,1,,548797257054500,548797275695300,548797276222100,548797276336200,1,174.4142,33.602,18.6408,0.5268,0.1141,193.6963,success
48,p53c-update-00000048,p53c-memory-0000019,2,update_relation,cassandra,stable_before_outage,1,,548797276815900,548797297773200,548797298316900,548797298430200,1,144.0077,32.7641,20.9573,0.5437,0.1133,165.6225,success
49,p53c-update-00000049,p53c-memory-0000011,2,update_relation,cassandra,stable_before_outage,1,,548797298995900,548797314934700,548797315445000,548797315551800,1,117.4587,33.8779,15.9388,0.5103,0.1068,134.0149,success
50,p53c-update-00000050,p53c-memory-0000011,3,replace_relation,cassandra,stable_before_outage,1,,548797316023900,548797337660700,548797338232500,548797338360300,1,83.8115,35.7189,21.6368,0.5718,0.1278,106.1483,success
51,p53c-update-00000051,p53c-memory-0000030,1,insert_memory,cassandra,stable_before_outage,1,,548797369715300,548797386990500,548797387581700,548797387705900,1,88.0438,42.5531,17.2752,0.5912,0.1242,106.0346,success
52,p53c-update-00000052,p53c-memory-0000031,1,insert_memory,cassandra,stable_before_outage,1,,548797418893500,548797434354100,548797434964800,548797435101400,1,84.0045,41.9807,15.4606,0.6107,0.1366,100.2125,success
53,p53c-update-00000053,p53c-memory-0000032,1,insert_memory,cassandra,stable_before_outage,1,,548797435706600,548797456417600,548797457123800,548797457295500,1,54.3372,33.7795,20.711,0.7062,0.1717,75.9263,success
54,p53c-update-00000054,p53c-memory-0000033,1,insert_memory,cassandra,stable_before_outage,1,,548797488690900,548797506915300,548797507529000,548797507674200,1,56.5919,33.6431,18.2244,0.6137,0.1452,75.5757,success
55,p53c-update-00000055,p53c-memory-0000034,1,insert_memory,cassandra,stable_before_outage,1,,548797538749600,548797558723700,548797559536300,548797559732900,1,57.1173,34.9593,19.9741,0.8126,0.1966,78.101,success
56,p53c-update-00000056,p53c-memory-0000035,1,insert_memory,cassandra,stable_before_outage,1,,548797590792300,548797605075200,548797605766500,548797605930700,1,58.1147,35.5963,14.2829,0.6913,0.1642,73.2535,success
57,p53c-update-00000057,p53c-memory-0000011,4,update_relation,cassandra,stable_before_outage,1,,548797637291100,548797656814000,548797657396000,548797657571800,1,55.6303,33.1329,19.5229,0.582,0.1758,75.9112,success
58,p53c-update-00000058,p53c-memory-0000002,3,update_relation,cassandra,stable_before_outage,1,,548797688437800,548797704993300,548797705573400,548797705731400,1,55.7169,34.1442,16.5555,0.5801,0.158,73.0109,success
59,p53c-update-00000059,p53c-memory-0000017,2,update_relation,cassandra,stable_before_outage,1,,548797736762200,548797753670800,548797754217200,548797754367200,1,55.1239,33.2519,16.9086,0.5464,0.15,72.7293,success
60,p53c-update-00000060,p53c-memory-0000009,4,replace_relation,cassandra,stable_before_outage,1,,548797816669200,548797833856100,548797835007600,548797835320800,1,85.2137,42.7441,17.1869,1.1515,0.3132,103.8656,success
61,p53c-update-00000061,p53c-memory-0000036,1,insert_memory,cassandra,stable_before_outage,1,,548797867013100,548797883129600,548797884313200,548797884468100,1,84.3743,41.8534,16.1165,1.1836,0.1549,101.8294,success
62,p53c-update-00000062,p53c-memory-0000037,1,insert_memory,cassandra,stable_before_outage,1,,548797917082600,548797932619200,548797950211900,548797950429200,1,85.45,41.4636,15.5366,17.5927,0.2173,118.797,success
63,p53c-update-00000063,p53c-memory-0000038,1,insert_memory,cassandra,stable_before_outage,1,,548797951733800,548797976651200,548797978560700,548797979158500,1,70.066,42.8808,24.9174,1.9095,0.5978,97.4911,success
64,p53c-update-00000064,p53c-memory-0000039,1,insert_memory,cassandra,stable_before_outage,1,,548798011420600,548798032361700,548798033235200,548798033382100,1,79.9978,51.9371,20.9411,0.8735,0.1469,101.9597,success
