sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
1,p53c-update-00000001,p53c-memory-0000000,1,insert_memory,neo4j,stable_before_outage,1,,561572713115100,561572764799300,561572766517800,561572768543400,1,2000.9388,1939.8373,51.6842,1.7185,2.0256,2056.3672,success
2,p53c-update-00000002,p53c-memory-0000001,1,insert_memory,neo4j,stable_before_outage,1,,561572769981500,561572787184200,561572788179900,561572788320100,1,2049.8198,1931.9232,17.2027,0.9957,0.1402,2068.1586,success
3,p53c-update-00000003,p53c-memory-0000002,1,insert_memory,neo4j,stable_before_outage,1,,561572789278600,561572798708600,561572799705000,561572799849100,1,2019.2664,1881.6639,9.43,0.9964,0.1441,2029.8371,success
4,p53c-update-00000004,p53c-memory-0000003,1,insert_memory,neo4j,stable_before_outage,1,,561572800875200,561572808790100,561572837872100,561572838063700,1,1980.5125,1831.4105,7.9149,29.082,0.1916,2017.7011,success
5,p53c-update-00000005,p53c-memory-0000004,1,insert_memory,neo4j,stable_before_outage,1,,561572839075500,561572847814400,561572849226700,561572849385200,1,1968.043,1950.8589,8.7389,1.4123,0.1585,1978.3528,success
6,p53c-update-00000006,p53c-memory-0000005,1,insert_memory,neo4j,stable_before_outage,1,,561572850523800,561572860027200,561572867532000,561572867743000,1,1929.2899,1730.6519,9.5034,7.5048,0.211,1946.5092,success
7,p53c-update-00000007,p53c-memory-0000004,2,update_relation,neo4j,stable_before_outage,1,,561572868919400,561572875705100,561572876513600,561572876726800,1,1898.2586,1680.8937,6.7857,0.8085,0.2132,1906.0661,success
8,p53c-update-00000008,p53c-memory-0000003,2,update_relation,neo4j,stable_before_outage,1,,561572877525100,561572887259500,561572888342900,561572888497300,1,1856.8287,1674.4937,9.7344,1.0834,0.1544,1867.801,success
9,p53c-update-00000009,p53c-memory-0000000,2,update_relation,neo4j,stable_before_outage,1,,561572889264900,561572898707800,561572899487400,561572899725300,1,1819.4914,1625.8928,9.4429,0.7796,0.2379,1829.9519,success
10,p53c-update-00000010,p53c-memory-0000003,3,replace_relation,neo4j,stable_before_outage,1,,561572901168000,561572913037300,561572913771500,561572913947200,1,1781.2749,1611.3968,11.8693,0.7342,0.1757,1794.0542,success
11,p53c-update-00000011,p53c-memory-0000006,1,insert_memory,neo4j,stable_before_outage,1,,561572914687300,561572924995700,561572925911300,561572926086700,1,1743.6378,1569.1121,10.3084,0.9156,0.1754,1755.0373,success
12,p53c-update-00000012,p53c-memory-0000007,1,insert_memory,neo4j,stable_before_outage,1,,561572927154200,561572935031100,561572935706400,561572935963200,1,1705.6348,1538.7443,7.8769,0.6753,0.2568,1714.4439,success
13,p53c-update-00000013,p53c-memory-0000008,1,insert_memory,neo4j,stable_before_outage,1,,561572936858900,561572944637600,561572945262200,561572945438000,1,1667.1042,1485.3393,7.7787,0.6246,0.1758,1675.6834,success
14,p53c-update-00000014,p53c-memory-0000009,1,insert_memory,neo4j,stable_before_outage,1,,561572946043500,561572951809300,561572952337800,561572952496900,1,1625.1682,1440.9257,5.7658,0.5285,0.1591,1631.6217,success
