ts,elapsed,phase,persisted,committed,checkpoint_seq,event_log_backlog,materialization_backlog,searchability_backlog,oldest_event_age_ms,materializer_status
1784706440.4373066,0.0424658,stable_before_outage,1,0,0,1,0,1,2.5061,running
1784706441.4357169,1.0429492,stable_before_outage,21,0,0,21,0,21,1000.5401,running
1784706442.435511,2.0427901,stable_before_outage,41,7,0,41,7,41,2000.4603,running
1784706443.4361525,3.0434997,stable_before_outage,61,61,60,1,1,1,42.7923,running
1784706444.4364498,4.0433338,stable_before_outage,81,81,80,1,1,1,42.9108,running
1784706445.435983,5.0432116,stable_before_outage,101,101,100,1,1,1,41.8114,running
1784706446.4360247,6.0432612,stable_before_outage,121,121,120,1,1,1,43.0643,running
1784706447.4365025,7.0437394,stable_before_outage,141,141,140,1,1,1,43.2636,running
1784706448.4355898,8.0428197,stable_before_outage,161,161,160,1,1,1,41.6375,running
1784706449.4366453,9.0438821,stable_before_outage,181,181,180,1,1,1,43.1311,running
1784706450.4361537,10.0433811,stable_before_outage,201,201,200,1,1,1,43.2462,running
1784706451.4364948,11.0437168,stable_before_outage,221,221,220,1,1,1,42.6893,running
1784706452.4363291,12.0437111,stable_before_outage,241,241,240,1,1,1,44.0744,running
1784706453.435665,13.0428995,stable_before_outage,261,261,260,1,1,1,43.3414,running
1784706454.4363604,14.0436022,stable_before_outage,281,281,280,1,1,1,43.4197,running
1784706455.4363124,15.0435864,stable_before_outage,301,301,300,1,1,1,42.6332,running
1784706456.4355712,16.0428124,stable_before_outage,321,321,320,1,1,1,43.1708,running
1784706457.435291,17.0425506,stable_before_outage,341,341,340,1,1,1,41.7924,running
1784706458.4355667,18.0428046,stable_before_outage,361,361,360,1,1,1,43.0555,running
1784706459.4363124,19.0429709,stable_before_outage,381,381,380,1,1,1,42.6606,running
1784706460.436125,20.0433589,outage,401,401,399,2,2,2,92.9701,stopped
1784706461.4354148,21.0426632,outage,421,421,399,22,22,22,1092.383,stopped
1784706462.4353254,22.0425943,outage,441,441,399,42,42,42,2092.217,stopped
1784706463.4356534,23.0429708,outage,461,461,399,62,62,62,3092.742,stopped
1784706464.4364839,24.0437224,outage,481,481,399,82,82,82,4093.4239,stopped
1784706465.4356644,25.0432199,outage,501,501,399,102,102,102,5092.9471,stopped
1784706466.4366667,26.043903,outage,521,521,399,122,122,122,6093.7906,stopped
1784706467.4358413,27.0431094,outage,541,541,399,142,142,142,7092.9223,stopped
1784706468.4361546,28.0434083,outage,561,561,399,162,162,162,8093.2087,stopped
1784706469.4360507,29.0432922,outage,581,581,399,182,182,182,9093.0139,stopped
1784706470.4370108,30.0437993,recovery_with_input,601,601,399,202,202,202,10093.7892,running
1784706471.4356902,31.0429192,recovery_with_input,621,621,399,222,222,222,11092.6931,running
1784706472.4363952,32.043632,recovery_with_input,641,641,548,93,93,93,4642.5867,running
1784706473.4375815,33.0438277,recovery_with_input,661,661,660,1,1,1,43.5159,running
1784706474.4376242,34.043517,recovery_with_input,681,681,680,1,1,1,43.9585,running
1784706475.4378352,35.0440833,recovery_with_input,701,701,700,1,1,1,44.7619,running
1784706476.4357853,36.0427192,recovery_with_input,721,721,721,0,0,0,0.0,running
1784706477.4368055,37.0434392,recovery_with_input,741,741,740,1,1,1,42.8564,running
1784706478.4362197,38.042965,recovery_with_input,761,761,760,1,1,1,43.8562,running
1784706479.4375641,39.0438935,recovery_with_input,781,781,780,1,1,1,45.0373,running
1784706480.4363487,40.0430591,recovery_with_input,801,801,801,0,0,0,0.0,running
1784706481.4359932,41.0426897,recovery_with_input,821,821,820,1,1,1,42.9117,running
1784706482.4357262,42.0425778,recovery_with_input,841,841,840,1,1,1,41.7319,running
1784706483.4364853,43.0427068,recovery_with_input,861,861,860,1,1,1,44.3686,running
1784706484.4359627,44.0432084,recovery_with_input,881,881,881,0,0,0,0.0,running
1784706485.4364662,45.0436959,recovery_with_input,901,901,900,1,1,1,44.6535,running
1784706486.43712,46.0427633,recovery_with_input,921,921,920,1,1,1,43.7353,running
1784706487.4363964,47.0436508,recovery_with_input,941,941,940,1,1,1,43.846,running
1784706488.437222,48.0432732,recovery_with_input,961,961,960,1,1,1,43.5901,running
1784706489.4366946,49.0433658,recovery_with_input,981,981,981,0,0,0,0.0,running
1784706490.4363115,50.0430171,recovery_with_input,1001,1001,1000,1,1,1,43.4536,running
1784706491.4372032,51.0431069,recovery_with_input,1021,1021,1020,1,1,1,44.0476,running
1784706492.436949,52.0428966,recovery_with_input,1041,1040,1040,1,0,1,43.8403,running
1784706493.4371355,53.0430945,recovery_with_input,1061,1061,1061,0,0,0,0.0,running
1784706494.4374816,54.0440375,recovery_with_input,1081,1081,1080,1,1,1,44.452,running
1784706495.4360123,55.0432868,recovery_with_input,1101,1101,1101,0,0,0,0.0,running
1784706496.4364266,56.0430743,recovery_with_input,1121,1121,1120,1,1,1,42.606,running
1784706497.436165,57.0434211,recovery_with_input,1141,1141,1140,1,1,1,44.2589,running
1784706498.4363184,58.0429941,recovery_with_input,1161,1161,1161,0,0,0,0.0,running
1784706499.437071,59.0425424,recovery_with_input,1181,1180,1180,1,0,1,43.9317,running
