path,match_count,status,recommendation
03_src\gate_abc_bm25.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\neo4j_adapter.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\evaluation\run_generic_reader.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\evaluation\run_hingemem_reader.py,8,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\evaluation\run_locomo_prompt_protocol_gpt4o.py,8,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\evaluation\run_rrf_compact_canonical1540.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\compact_16_factorial_ablation.py,3,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\compact_16_factorial_ablation_v6.py,4,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\erk_vs_erkt_reader_heldout.py,5,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\erk_vs_erkt_validation.py,4,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\fusion_alignment_audit.py,3,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_reader_evidence_pilot.py,3,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_retrieval_audit_baseline.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_retrieval_final_validation.py,3,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_retrieval_hybrid_kg_attribution.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_retrieval_kg_native.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_retrieval_new_directions.py,5,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_rrf_legacy_alignment.py,3,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\p2_fusion_final_v4.py,5,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\p2_fusion_final_validation.py,6,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\p2_fusion_reader_final.py,5,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\failed_fusion\locomo_retrieval_fusion_bm25_dense_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\kg_aware_rrf_legacy\locomo_retrieval_kg_aware_fusion_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\layerB_debug\benchmark_cassandra_internal_ablation.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\layerB_debug\benchmark_cassandra_internal_ablation_no_truncate.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\layerB_debug\benchmark_cassandra_internal_ablation_no_truncate_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\layerB_debug\benchmark_cassandra_internal_ablation_no_truncate_v3_controlled.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\reader_pilots\locomo_llm_reader_pilot.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\reader_pilots\locomo_llm_reader_pilot_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\reader_pilots\locomo_llm_reader_pilot_v3.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\archive_legacy\reader_pilots\locomo_llm_reader_pilot_v3_plus.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\cassandra_kg_backend\ablation\benchmark_cassandra_internal_ablation.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\cassandra_kg_backend\correctness\c0_cassandra_vs_neo4j.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\cassandra_kg_backend\latency\locomo_latency_benchmark.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\cassandra_kg_backend\recovery\recover_by_src_safe.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_pipeline\audit\analysis_sample_scoped.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_pipeline\audit\audit_cassandra_kg_equivalence.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\locomo_pipeline\audit\audit_dense_kg_rescue.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
