comparison,interpretation,layer,setting,metric,category,category_label,n,baseline,target,delta,ci95_low,ci95_high,bootstrap_p_two_sided,weighted_contribution_to_overall_delta
Dense_to_CassMem,total_pipeline_gain,retrieval,Cat1-4,MRR@10,4,Single-Hop,841,Dense-bge,ZScore-RawERK,0.06821669214653757,0.048233395617462205,0.08875818658815093,0.0,0.0373504154265873
Dense_to_CassMem,total_pipeline_gain,retrieval,Cat1-4,MRR@10,1,Multi-Hop,282,Dense-bge,ZScore-RawERK,0.02700382753574243,-0.0004291905887650577,0.05514043678937296,0.053,0.004957733961640212
Dense_to_CassMem,total_pipeline_gain,retrieval,Cat1-4,MRR@10,2,Temporal,321,Dense-bge,ZScore-RawERK,0.06379988132324581,0.03687509271621421,0.09147752558967512,0.0,0.013333178323412699
Dense_to_CassMem,total_pipeline_gain,retrieval,Cat1-4,MRR@10,3,Open-Domain,92,Dense-bge,ZScore-RawERK,0.05164768806073154,0.003700828157349897,0.10563319530710835,0.0316,0.0030934813161375666
Dense_to_CassMem,total_pipeline_gain,retrieval,Cat1-4,MRR@10,Overall,Overall,1536,Dense-bge,ZScore-RawERK,0.05873480902777778,0.0448771804728836,0.07254438450727513,0.0,0.05873480902777778
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,4,Single-Hop,841,Dense-bge,ZScore-RawERK,0.03765004839520678,0.017859698102400987,0.057787535867972965,0.0002,0.01594344949666108
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,1,Multi-Hop,282,Dense-bge,ZScore-RawERK,0.03739840264561769,0.010192371919559696,0.06574428017379451,0.006,0.005310347203456288
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,2,Temporal,321,Dense-bge,ZScore-RawERK,-0.006766097395708808,-0.03520958282394584,0.02191022618961625,0.6324,-0.0010936139295178889
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,3,Open-Domain,96,Dense-bge,ZScore-RawERK,0.04094371480980208,-0.005398269515928376,0.09195661059629288,0.081,0.0019791523775130916
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,5,Adversarial,446,Dense-bge,ZScore-RawERK,0.002242152466367713,-0.02466367713004484,0.02914798206278027,0.938,0.0005035246727089627
Dense_to_CassMem,total_pipeline_gain,reader,Cat.x,F1,Overall,Overall,1986,Dense-bge,ZScore-RawERK,0.022642859820821534,0.010322727622482814,0.03497152000698241,0.0008,0.022642859820821534
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,4,Single-Hop,841,Dense-bge,ZScore-RawERK,0.03899547047210198,0.019614697644671792,0.05888151342866447,0.0,0.01651318764704822
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,1,Multi-Hop,282,Dense-bge,ZScore-RawERK,0.03344545138426473,0.005667079192577414,0.061576178217129414,0.0172,0.00474905200924605
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,2,Temporal,321,Dense-bge,ZScore-RawERK,0.013703740831138761,-0.02861219777107629,0.05685522416953799,0.5132,0.002214955089020917
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,3,Open-Domain,96,Dense-bge,ZScore-RawERK,0.04674256726909063,-0.0023649947290963675,0.10060265255577756,0.0634,0.002259459445031571
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,5,Adversarial,446,Dense-bge,ZScore-RawERK,-0.013452914798206279,-0.03139013452914798,0.004484304932735426,0.1892,-0.0030211480362537764
Dense_to_CassMem,total_pipeline_gain,reader,Cat.v,F1,Overall,Overall,1986,Dense-bge,ZScore-RawERK,0.02271550615409298,0.010046360178760505,0.03534705066310826,0.0004,0.02271550615409298
Raw_to_RawERK,incremental_ERK_gain,retrieval,Cat1-4,MRR@10,4,Single-Hop,841,ZScore-Raw,ZScore-RawERK,0.04322990393144971,0.031520015854141895,0.05527244587886681,0.0,0.023669498181216928
Raw_to_RawERK,incremental_ERK_gain,retrieval,Cat1-4,MRR@10,1,Multi-Hop,282,ZScore-Raw,ZScore-RawERK,0.027911460092311154,0.01053557356748846,0.04591635708656985,0.0012,0.005124369626322751
Raw_to_RawERK,incremental_ERK_gain,retrieval,Cat1-4,MRR@10,2,Temporal,321,ZScore-Raw,ZScore-RawERK,0.05146367996835287,0.033978638184245666,0.07026900064283242,0.0,0.010755104993386244
Raw_to_RawERK,incremental_ERK_gain,retrieval,Cat1-4,MRR@10,3,Open-Domain,92,ZScore-Raw,ZScore-RawERK,0.0171972049689441,-0.007725155279503105,0.0475284679089027,0.1972,0.0010300409226190476
Raw_to_RawERK,incremental_ERK_gain,retrieval,Cat1-4,MRR@10,Overall,Overall,1536,ZScore-Raw,ZScore-RawERK,0.04057901372354497,0.03220770295965609,0.04910895130621693,0.0,0.04057901372354497
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,4,Single-Hop,841,ZScore-Raw,ZScore-RawERK,0.013350589090431863,-0.0019877845050657794,0.028891352337912006,0.0914,0.005653497192876735
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,1,Multi-Hop,282,ZScore-Raw,ZScore-RawERK,0.011650853256483485,-0.010559232855785613,0.033707516056149314,0.294,0.001654350764515782
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,2,Temporal,321,ZScore-Raw,ZScore-RawERK,0.0015676422464420486,-0.02623696829304306,0.029584950219480464,0.898,0.00025338024224969664
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,3,Open-Domain,96,ZScore-Raw,ZScore-RawERK,-0.008901407003440866,-0.06266771942081541,0.044605898317440495,0.7342,-0.00043027949261345577
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,5,Adversarial,446,ZScore-Raw,ZScore-RawERK,0.002242152466367713,-0.02466367713004484,0.02914798206278027,0.9404,0.0005035246727089627
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.x,F1,Overall,Overall,1986,ZScore-Raw,ZScore-RawERK,0.0076344733797377206,-0.0029085043831393012,0.018107047456815267,0.1676,0.0076344733797377206
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,4,Single-Hop,841,ZScore-Raw,ZScore-RawERK,0.017620560228685574,0.0020345204477988195,0.03349805475841662,0.0216,0.007461677317383971
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,1,Multi-Hop,282,ZScore-Raw,ZScore-RawERK,0.023879976964541857,0.0005450777939676451,0.04765202370162401,0.0454,0.0033908124390739196
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,2,Temporal,321,ZScore-Raw,ZScore-RawERK,0.0227179392762489,-0.019118155160414402,0.06475943052537932,0.2786,0.0036719327833211967
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,3,Open-Domain,96,ZScore-Raw,ZScore-RawERK,0.05606441891076934,-0.0016020032087777799,0.11769655124602668,0.0582,0.002710062545535678
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,5,Adversarial,446,ZScore-Raw,ZScore-RawERK,-0.011210762331838564,-0.02914798206278027,0.006726457399103139,0.2752,-0.0025176233635448137
Raw_to_RawERK,incremental_ERK_gain,reader,Cat.v,F1,Overall,Overall,1986,ZScore-Raw,ZScore-RawERK,0.014716861721769954,0.003365127209040668,0.026090458017082256,0.0096,0.014716861721769954
