order,block,method,cat_format,single_hop_f1,single_hop_j,multi_hop_f1,multi_hop_j,temporal_f1,temporal_j,open_domain_f1,open_domain_j,adversarial_f1,adversarial_j,overall_f1,overall_j,overall_b1,source_type,source,note
10,1,LOCOMO,Cat.✓,12.7,16.5,19.7,20.9,10.4,11.5,20.1,30.2,66.8,90.1,25.8,33.5,0.132,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
20,1,RAG (Top-10),Cat.✓,36.4,50.7,29.6,38.6,27.7,22.7,21.2,37.5,86.8,86.5,44.6,51.9,0.306,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
30,1,BM25,Cat.✗,45.716482132681314,58.382877526753866,19.59389298843778,28.72340425531915,26.179799640501777,42.679127725856695,17.614079033953146,27.083333333333332,9.417040358744394,41.92825112107624,29.339227879247215,46.42497482376636,0.24085900663597226,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
31,1,BM25,Cat.✓,45.727187822934816,58.14506539833531,20.239286900653,29.43262411347518,36.53496901160458,50.467289719626166,19.91022962500344,33.333333333333336,87.89237668161435,87.89237668161435,48.84347983977717,58.30815709969789,0.42894627883293274,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
40,1,Dense-bge,Cat.✗,56.32226282369132,72.65160523186682,33.276232430399354,53.191489361702125,31.244446104259225,52.64797507788162,19.411538981851482,42.708333333333336,7.847533632286996,38.789237668161434,36.32623138057494,57.60322255790534,0.29856333316229233,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
41,1,Dense-bge,Cat.✓,56.37635777811339,73.12722948870392,33.269414847811326,54.255319148936174,43.888907907599545,63.862928348909655,20.9703587960915,42.708333333333336,87.21973094170403,87.21973094170404,56.292037140604236,70.64451158106748,0.49331252402082754,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
50,1,RRF_compact,Cat.✗,60.334495975604476,77.28894173602853,35.47437095028829,55.673758865248224,28.895963849234896,54.205607476635514,21.34566139977841,40.625,10.089686098654708,41.47982062780269,38.55481954352848,60.67472306143001,0.3151160832488586,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
51,1,RRF_compact,Cat.✓,60.30076257423317,77.52675386444709,34.97614501298305,56.02836879432624,43.62938652629349,65.73208722741433,22.421102720581885,45.833333333333336,86.7713004484305,86.7713004484305,58.123702494817266,73.1117824773414,0.5066553366959745,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
80,2,Mem0,Cat.✗,45.1,56.7,42.7,48.2,49.7,50.1,27.7,47.2,6.5,56.6,36.0,53.7,0.254,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
81,2,Mem0,Cat.✓,44.0,59.0,38.6,47.8,45.6,47.6,20.8,42.0,84.3,72.7,51.4,59.6,0.351,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
100,3,Dense+GlobalKG,Cat.✗,58.04874591045211,76.09988109393579,36.41278723039642,51.773049645390074,30.723181283928973,53.58255451713396,21.516535984652684,41.666666666666664,8.74439461883408,38.789237668161434,37.72161629221028,58.962739174219536,0.306312249360912,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_corrected_densekg_v2,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
101,3,Dense+GlobalKG,Cat.✓,57.23755555440272,74.07847800237812,37.170822784853776,54.255319148936174,41.46910721677082,61.059190031152646,24.112621872141993,44.791666666666664,87.89237668161435,87.89237668161435,57.12253341535261,70.84592145015105,0.4987139772590864,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_corrected_densekg_v2,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
110,3,Mem0g,Cat.✗,45.3,55.1,40.4,48.5,47.9,52.0,28.4,41.0,6.7,54.1,35.5,51.7,0.258,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
111,3,Mem0g,Cat.✓,43.4,62.0,38.3,45.7,44.4,48.5,23.4,44.1,82.7,68.5,50.7,59.7,0.348,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
120,3,HippoRAG2,Cat.✗,54.4,78.5,35.4,52.8,55.5,61.0,23.4,35.2,4.3,69.5,39.1,68.5,0.289,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
121,3,HippoRAG2,Cat.✓,59.2,75.5,38.0,46.4,44.9,66.6,21.2,35.4,87.7,87.2,58.4,70.6,0.396,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
130,3,HingeMem,Cat.✗,61.1,78.8,53.6,62.8,57.4,66.9,30.7,46.4,87.4,87.8,63.9,75.1,0.404,quoted_hingemem_table1,High-mem.pdf Table 1 / HingeMem WWW 2026,Quoted from HingeMem Table 1; not locally rerun
140,3,ZScore-Raw,Cat.✗,58.75220875416878,75.50535077288941,35.850987369312776,52.4822695035461,30.411072140044126,53.89408099688473,24.396051163175784,46.875,7.847533632286996,39.237668161434975,37.82707002468329,59.21450151057402,0.3074033793585077,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
141,3,ZScore-Raw,Cat.✓,58.51384880245498,75.6242568370987,34.22596228978362,52.4822695035461,42.98748806308852,65.73208722741433,20.03817363192363,41.666666666666664,86.99551569506725,86.99551569506727,57.0919015838366,71.6515609264854,0.4940041412323863,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
170,4,ZScore-RawERK,Cat.✗,60.08726766321198,77.05112960761,37.016072694961125,55.673758865248224,30.567836364688343,55.45171339563863,23.505910462831693,40.625,8.071748878923767,39.91031390134529,38.59051736265708,60.42296072507553,0.31265631930065657,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
171,4,ZScore-RawERK,Cat.✓,60.27590482532354,77.28894173602853,36.6139599862378,56.02836879432624,45.259281990713404,67.601246105919,25.644615523000567,45.833333333333336,85.87443946188341,85.87443946188341,58.56358775601357,73.1117824773414,0.5096158954703437,local_offline_metrics_v4,reader_offline_metrics_v4 + llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,Cat5 option text restored before F1/B1 evaluation; no new Reader API calls
