group,method,display_method,scope,comparable,evaluation_split,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,4,Single-Hop,612,0.3981377736279697,0.29901960784313725,0.5228758169934641,0.6029411764705882,0.5969498910675382,0.4441375170638336
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,1,Multi-Hop,224,0.1746988378684808,0.09821428571428571,0.27232142857142855,0.38839285714285715,0.20699725165185695,0.14626940938801508
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,2,Temporal,239,0.42316530517367346,0.3179916317991632,0.5439330543933054,0.6359832635983264,0.6028591352859136,0.45584186963724
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,3,Open-Domain,71,0.1846803040465012,0.08450704225352113,0.30985915492957744,0.352112676056338,0.23533177675679745,0.1687701133753498
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,4,Single-Hop,841,0.3968036917501838,0.3032104637336504,0.5184304399524375,0.5933412604042806,0.5822433610780817,0.43715662154327695
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,1,Multi-Hop,282,0.1921746594618936,0.10638297872340426,0.2978723404255319,0.41843971631205673,0.21889255968203342,0.15677916495637756
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,2,Temporal,321,0.42366365029916425,0.32398753894080995,0.5389408099688473,0.6199376947040498,0.5916407061266874,0.4548352595149671
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,3,Open-Domain,92,0.17785110420979985,0.08695652173913043,0.29347826086956524,0.33695652173913043,0.2386799581492676,0.16865069764752155
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,4,Single-Hop,612,0.5103330220977279,0.39215686274509803,0.6683006535947712,0.7630718954248366,0.7587145969498912,0.568757566379642
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,1,Multi-Hop,224,0.42437996031746056,0.28125,0.625,0.75,0.48640902682843473,0.37099433428836404
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,2,Temporal,239,0.5896294082486551,0.49372384937238495,0.7322175732217573,0.7782426778242678,0.7524407252440725,0.6177213485591126
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,3,Open-Domain,71,0.27568186899172814,0.2112676056338028,0.39436619718309857,0.4788732394366197,0.3572908036454019,0.26432325869865386
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,4,Single-Hop,841,0.5020440518656927,0.3876337693222354,0.6563614744351962,0.7479191438763377,0.7380103051922315,0.5552647381742499
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,1,Multi-Hop,282,0.4255122143420015,0.28368794326241137,0.6312056737588653,0.74822695035461,0.4721605418553908,0.364009720128515
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,2,Temporal,321,0.5703938584779704,0.4766355140186916,0.7040498442367601,0.7538940809968847,0.7315680166147456,0.6005796789344942
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,3,Open-Domain,92,0.26523033126294,0.1956521739130435,0.3804347826086957,0.4891304347826087,0.37356138107416886,0.26335625295531934
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,4,Single-Hop,612,0.536596768336964,0.42320261437908496,0.684640522875817,0.7908496732026143,0.7859477124183006,0.5939212772911002
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,1,Multi-Hop,224,0.4637436224489796,0.32589285714285715,0.6607142857142857,0.7946428571428571,0.5218055538603001,0.4032000987708031
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,2,Temporal,239,0.6095337716676629,0.5062761506276151,0.7573221757322176,0.799163179916318,0.7684797768479775,0.6368105869625671
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,3,Open-Domain,71,0.3097417840375587,0.23943661971830985,0.4084507042253521,0.5352112676056338,0.3948494890914112,0.2920402012089126
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,4,Single-Hop,841,0.5266835588773753,0.4161712247324614,0.6753864447086801,0.7717003567181926,0.762584225128815,0.5789149691673867
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,1,Multi-Hop,282,0.46391984689857024,0.3262411347517731,0.648936170212766,0.7836879432624113,0.5079488897937948,0.3964982567975034
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,2,Temporal,321,0.5907345596597933,0.48909657320872274,0.7320872274143302,0.7757009345794392,0.7512980269989614,0.620834171943705
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,3,Open-Domain,92,0.30863095238095234,0.2391304347826087,0.41304347826086957,0.532608695652174,0.4025468883205456,0.2977328573040092
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,4,Single-Hop,612,0.543275365701836,0.41013071895424835,0.7271241830065359,0.8333333333333334,0.8289760348583879,0.6102654836730065
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,1,Multi-Hop,224,0.4365274234693878,0.2857142857142857,0.6428571428571429,0.7633928571428571,0.47819116582039506,0.3699325191921584
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,2,Temporal,239,0.626828053397091,0.5313807531380753,0.7573221757322176,0.8158995815899581,0.7880055788005578,0.6544403039268121
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,3,Open-Domain,71,0.2754694835680751,0.18309859154929578,0.39436619718309857,0.5211267605633803,0.38311239988953333,0.2697848722883219
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,4,Single-Hop,841,0.5367665100126451,0.40784780023781214,0.718192627824019,0.8180737217598097,0.8083630598493856,0.5984537461695728
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,1,Multi-Hop,282,0.4396670606776989,0.29432624113475175,0.6312056737588653,0.7553191489361702,0.46387953011693217,0.3645959799720195
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,2,Temporal,321,0.6139457548336051,0.5202492211838006,0.735202492211838,0.8068535825545171,0.7819314641744549,0.6451011789901606
