group,method,display_method,scope,comparable,query_id,category,category_label,split,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10,gold_count,retrieved_gold_count
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_0,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_1,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_2,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_3,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_4,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_5,2,Temporal,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_6,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_7,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_8,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_9,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_10,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_11,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_12,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_13,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,conv-26_qa_14,3,Open-Domain,test,0.1111111111111111,0.0,0.0,1.0,0.5,0.18457569677956817,2.0,1.0
