method,baseline,split,metric,n,delta,ci95_low,ci95_high,bootstrap_p_two_sided,holm_adjusted_p,resamples,seed
ZScore-RawERK,Dense+GlobalKG,test,MRR@10,1146,0.02630924679353999,0.010107473544973546,0.04265735373556054,0.0021997800219978004,0.009599040095990401,10000,20260731
ZScore-RawERK,Dense+GlobalKG,test,Hit@1,1146,0.013961605584642234,-0.008726003490401396,0.037521815008726006,0.2595740425957404,0.2595740425957404,10000,20260732
ZScore-RawERK,Dense+GlobalKG,test,Hit@5,1146,0.03577661431064572,0.014834205933682374,0.05759162303664921,0.00039996000399960006,0.0035996400359964006,10000,20260733
ZScore-RawERK,Dense+GlobalKG,test,Hit@10,1146,0.034904013961605584,0.017452006980802792,0.053228621291448515,0.00019998000199980003,0.0035996400359964006,10000,20260734
ZScore-RawERK,Dense+GlobalKG,test,Recall@10,1146,0.03319554936047083,0.016782123308628546,0.050204159206122555,0.00019998000199980003,0.0035996400359964006,10000,20260735
ZScore-RawERK,Dense+GlobalKG,test,nDCG@10,1146,0.02857638815845423,0.015111413611026693,0.042024390731880024,0.00019998000199980003,0.0035996400359964006,10000,20260736
ZScore-RawERK,RRF_compact,test,MRR@10,1146,0.026578991107786918,0.016548147109338208,0.0365373781129671,0.00019998000199980003,0.0035996400359964006,10000,20260731
ZScore-RawERK,RRF_compact,test,Hit@1,1146,0.027050610820244327,0.010471204188481676,0.04363001745200698,0.0015998400159984002,0.009599040095990401,10000,20260732
ZScore-RawERK,RRF_compact,test,Hit@5,1146,0.017452006980802792,0.0034904013961605585,0.031413612565445025,0.013798620137986202,0.027597240275972403,10000,20260733
ZScore-RawERK,RRF_compact,test,Hit@10,1146,0.015706806282722512,0.004363001745200698,0.027050610820244327,0.007999200079992,0.023997600239976002,10000,20260734
ZScore-RawERK,RRF_compact,test,Recall@10,1146,0.015397081868561617,0.005965825588483347,0.025284313582226232,0.0015998400159984002,0.009599040095990401,10000,20260735
ZScore-RawERK,RRF_compact,test,nDCG@10,1146,0.024052748995101417,0.016819791497329508,0.03158258263546958,0.00019998000199980003,0.0035996400359964006,10000,20260736
ZScore-RawERK,ZScore-Raw,test,MRR@10,1146,0.03903051331061802,0.029698857655336714,0.04854870460400564,0.00019998000199980003,0.0035996400359964006,10000,20260731
ZScore-RawERK,ZScore-Raw,test,Hit@1,1146,0.04712041884816754,0.03228621291448516,0.06282722513089005,0.00019998000199980003,0.0035996400359964006,10000,20260732
ZScore-RawERK,ZScore-Raw,test,Hit@5,1146,0.02530541012216405,0.012216404886561954,0.038394415357766144,0.00019998000199980003,0.0035996400359964006,10000,20260733
ZScore-RawERK,ZScore-Raw,test,Hit@10,1146,0.02530541012216405,0.013961605584642234,0.037521815008726006,0.00019998000199980003,0.0035996400359964006,10000,20260734
ZScore-RawERK,ZScore-Raw,test,Recall@10,1146,0.024421979309689423,0.013964023924240239,0.035168498824206314,0.00019998000199980003,0.0035996400359964006,10000,20260735
ZScore-RawERK,ZScore-Raw,test,nDCG@10,1146,0.03460719283170514,0.027111897786160286,0.04238715254950902,0.00019998000199980003,0.0035996400359964006,10000,20260736
