run_id,scale_label,graph_id,write_graph_id,system,mode,cold_mode,clients,hop,fanout,cycle_policy,write_ratio_target,write_ratio_actual,repeat,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,round_trips_mean,round_trips_p95,raw_rows_mean,raw_rows_p95,read_error_count,write_error_count,error_rate,spotcheck_10_10,spotcheck_passed,spotcheck_checked,write_validation_20_20,write_validation_passed,write_validation_checked,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r4_formal_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.0989,4,0,45.002,21797,2393,484.353,53.175,64.928,48.446,160.079,456.908,10.778,10.034,17.389,32.293,3.556,5,7.492,35,0,0,0.0,True,10,10,True,20,20,False,0,64.928,,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r2_formal_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.1007,2,0,45.002,21995,2463,488.761,54.731,64.283,48.067,147.659,452.927,11.078,10.188,18.977,32.496,3.55,5,7.47,34,0,0,0.0,True,10,10,True,20,20,False,0,64.283,,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r2_formal_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.0995,2,0,45.002,27519,3039,611.511,67.531,49.006,42.926,89.375,107.704,30.416,26.324,65.233,75.576,3.562,5,84.839,437,0,0,0.0,True,10,10,True,20,20,False,0,49.006,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r5_formal_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.1002,5,0,45.0,27777,3093,617.264,68.733,48.584,42.336,90.492,113.948,29.561,25.903,62.52,76.72,3.563,5,84.975,437,0,0,0.0,True,10,10,True,20,20,False,0,48.584,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r3_formal_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.1035,3,0,45.002,21525,2486,478.308,55.242,65.664,48.84,161.796,457.407,11.073,10.242,18.368,33.954,3.559,5,7.513,35,0,0,0.0,True,10,10,True,20,20,False,0,65.664,,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r4_formal_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.0978,4,0,45.001,25437,2756,565.26,61.244,53.076,46.54,96.796,126.199,32.979,29.252,69.467,90.233,3.545,5,83.865,437,0,0,0.0,True,10,10,True,20,20,False,0,53.076,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r5_formal_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.1026,5,0,45.003,18491,2113,410.879,46.952,76.489,56.529,188.498,524.051,12.864,11.613,23.196,37.757,3.59,5,7.618,35,0,0,0.0,True,10,10,True,20,20,False,0,76.489,,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r3_formal_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.1007,3,0,45.002,26602,2979,591.133,66.198,50.709,44.649,93.276,113.985,30.801,27.354,64.941,81.17,3.567,5,85.05,437,0,0,0.0,True,10,10,True,20,20,False,0,50.709,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r1_formal_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.0987,1,0,45.02,26864,2941,596.709,65.326,50.305,44.358,93.718,115.946,30.577,26.94,62.232,84.845,3.563,5,84.919,437,0,0,0.0,True,10,10,True,20,20,False,0,50.305,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r1_formal_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.096,1,0,45.001,22245,2361,494.32,52.465,63.645,47.324,150.464,442.809,10.792,9.902,17.903,34.586,3.545,5,7.444,34,0,0,0.0,True,10,10,True,20,20,False,0,63.645,,False,process_cold
