experiment,mode,query_id,seed_entity,hop,relation_path,latency_ms,raw_edges_from_db,returned_edges,cache_hit,error
B2a,src_scan,sel0.1_q0,entity_0,1,likes,36.118,20,2,0,0
B2a,src_relation_index,sel0.1_q0,entity_0,1,likes,18.211,2,2,0,0
B2a,src_scan,sel0.1_q1,entity_2,1,likes,10.383,20,3,0,0
B2a,src_relation_index,sel0.1_q1,entity_2,1,likes,14.2597,3,3,0,0
B2a,src_scan,sel0.1_q2,entity_3,1,likes,7.8814,20,2,0,0
B2a,src_relation_index,sel0.1_q2,entity_3,1,likes,16.3543,2,2,0,0
B2a,src_scan,sel0.1_q3,entity_4,1,likes,6.1369,20,2,0,0
B2a,src_relation_index,sel0.1_q3,entity_4,1,likes,17.0152,2,2,0,0
B2a,src_scan,sel0.1_q4,entity_5,1,likes,7.9638,20,1,0,0
B2a,src_relation_index,sel0.1_q4,entity_5,1,likes,15.0662,1,1,0,0
B2a,src_scan,sel0.1_q5,entity_6,1,likes,7.3072,20,1,0,0
B2a,src_relation_index,sel0.1_q5,entity_6,1,likes,15.8742,1,1,0,0
B2a,src_scan,sel0.1_q6,entity_7,1,likes,11.2115,20,3,0,0
B2a,src_relation_index,sel0.1_q6,entity_7,1,likes,15.6138,3,3,0,0
B2a,src_scan,sel0.1_q7,entity_9,1,likes,8.1766,20,1,0,0
B2a,src_relation_index,sel0.1_q7,entity_9,1,likes,14.2848,1,1,0,0
B2a,src_scan,sel0.1_q8,entity_10,1,likes,8.1226,20,1,0,0
B2a,src_relation_index,sel0.1_q8,entity_10,1,likes,19.6397,1,1,0,0
B2a,src_scan,sel0.1_q9,entity_12,1,likes,6.746,20,2,0,0
B2a,src_relation_index,sel0.1_q9,entity_12,1,likes,13.6434,2,2,0,0
B2a,src_scan,sel0.1_q10,entity_14,1,likes,11.0745,20,3,0,0
B2a,src_relation_index,sel0.1_q10,entity_14,1,likes,25.3702,3,3,0,0
B2a,src_scan,sel0.1_q11,entity_15,1,likes,15.5176,20,1,0,0
B2a,src_relation_index,sel0.1_q11,entity_15,1,likes,14.8482,1,1,0,0
B2a,src_scan,sel0.1_q12,entity_18,1,likes,9.1589,20,2,0,0
B2a,src_relation_index,sel0.1_q12,entity_18,1,likes,15.2118,2,2,0,0
B2a,src_scan,sel0.1_q13,entity_19,1,likes,9.8883,20,2,0,0
B2a,src_relation_index,sel0.1_q13,entity_19,1,likes,13.2305,2,2,0,0
B2a,src_scan,sel0.1_q14,entity_20,1,likes,12.8321,20,2,0,0
B2a,src_relation_index,sel0.1_q14,entity_20,1,likes,12.9256,2,2,0,0
B2a,src_scan,sel0.1_q15,entity_21,1,likes,11.5371,20,1,0,0
B2a,src_relation_index,sel0.1_q15,entity_21,1,likes,11.2802,1,1,0,0
B2a,src_scan,sel0.1_q16,entity_25,1,likes,7.9122,20,3,0,0
B2a,src_relation_index,sel0.1_q16,entity_25,1,likes,9.8274,3,3,0,0
B2a,src_scan,sel0.1_q17,entity_26,1,likes,12.2553,20,1,0,0
B2a,src_relation_index,sel0.1_q17,entity_26,1,likes,10.6304,1,1,0,0
B2a,src_scan,sel0.1_q18,entity_28,1,likes,13.7498,20,1,0,0
B2a,src_relation_index,sel0.1_q18,entity_28,1,likes,11.2977,1,1,0,0
B2a,src_scan,sel0.1_q19,entity_30,1,likes,13.0972,20,1,0,0
B2a,src_relation_index,sel0.1_q19,entity_30,1,likes,15.0366,1,1,0,0
B2a,src_scan,sel0.1_q20,entity_32,1,likes,13.7976,20,1,0,0
B2a,src_relation_index,sel0.1_q20,entity_32,1,likes,8.5837,1,1,0,0
B2a,src_scan,sel0.1_q21,entity_33,1,likes,12.4589,20,2,0,0
B2a,src_relation_index,sel0.1_q21,entity_33,1,likes,16.1435,2,2,0,0
B2a,src_scan,sel0.1_q22,entity_34,1,likes,9.3481,20,2,0,0
B2a,src_relation_index,sel0.1_q22,entity_34,1,likes,13.6934,2,2,0,0
B2a,src_scan,sel0.1_q23,entity_35,1,likes,10.7746,20,2,0,0
B2a,src_relation_index,sel0.1_q23,entity_35,1,likes,10.1209,2,2,0,0
B2a,src_scan,sel0.1_q24,entity_38,1,likes,18.2358,20,2,0,0
B2a,src_relation_index,sel0.1_q24,entity_38,1,likes,35.1303,2,2,0,0
B2a,src_scan,sel0.1_q25,entity_40,1,likes,20.6363,20,1,0,0
B2a,src_relation_index,sel0.1_q25,entity_40,1,likes,12.5422,1,1,0,0
B2a,src_scan,sel0.1_q26,entity_42,1,likes,11.0183,20,1,0,0
B2a,src_relation_index,sel0.1_q26,entity_42,1,likes,26.1029,1,1,0,0
B2a,src_scan,sel0.1_q27,entity_43,1,likes,13.3905,20,3,0,0
B2a,src_relation_index,sel0.1_q27,entity_43,1,likes,12.8109,3,3,0,0
B2a,src_scan,sel0.1_q28,entity_44,1,likes,16.662,20,2,0,0
B2a,src_relation_index,sel0.1_q28,entity_44,1,likes,8.1356,2,2,0,0
B2a,src_scan,sel0.1_q29,entity_45,1,likes,9.7579,20,1,0,0
B2a,src_relation_index,sel0.1_q29,entity_45,1,likes,13.7325,1,1,0,0
B2a,src_scan,sel0.1_q0,entity_0,1,likes,11.2089,20,2,0,0
B2a,src_relation_index,sel0.1_q0,entity_0,1,likes,14.8522,2,2,0,0
B2a,src_scan,sel0.1_q1,entity_2,1,likes,9.564,20,3,0,0
B2a,src_relation_index,sel0.1_q1,entity_2,1,likes,14.8154,3,3,0,0
B2a,src_scan,sel0.1_q2,entity_3,1,likes,8.9293,20,2,0,0
B2a,src_relation_index,sel0.1_q2,entity_3,1,likes,19.6457,2,2,0,0
B2a,src_scan,sel0.1_q3,entity_4,1,likes,5.4367,20,2,0,0
B2a,src_relation_index,sel0.1_q3,entity_4,1,likes,10.3736,2,2,0,0
B2a,src_scan,sel0.1_q4,entity_5,1,likes,12.6491,20,1,0,0
B2a,src_relation_index,sel0.1_q4,entity_5,1,likes,12.3507,1,1,0,0
B2a,src_scan,sel0.1_q5,entity_6,1,likes,13.8685,20,1,0,0
B2a,src_relation_index,sel0.1_q5,entity_6,1,likes,10.7573,1,1,0,0
B2a,src_scan,sel0.1_q6,entity_7,1,likes,13.8447,20,3,0,0
B2a,src_relation_index,sel0.1_q6,entity_7,1,likes,8.282,3,3,0,0
B2a,src_scan,sel0.1_q7,entity_9,1,likes,9.6553,20,1,0,0
B2a,src_relation_index,sel0.1_q7,entity_9,1,likes,12.4468,1,1,0,0
B2a,src_scan,sel0.1_q8,entity_10,1,likes,12.8589,20,1,0,0
B2a,src_relation_index,sel0.1_q8,entity_10,1,likes,11.3483,1,1,0,0
B2a,src_scan,sel0.1_q9,entity_12,1,likes,13.3388,20,2,0,0
B2a,src_relation_index,sel0.1_q9,entity_12,1,likes,12.6867,2,2,0,0
B2a,src_scan,sel0.1_q10,entity_14,1,likes,28.5221,20,3,0,0
B2a,src_relation_index,sel0.1_q10,entity_14,1,likes,13.174,3,3,0,0
B2a,src_scan,sel0.1_q11,entity_15,1,likes,13.7509,20,1,0,0
B2a,src_relation_index,sel0.1_q11,entity_15,1,likes,20.4853,1,1,0,0
B2a,src_scan,sel0.1_q12,entity_18,1,likes,15.5622,20,2,0,0
B2a,src_relation_index,sel0.1_q12,entity_18,1,likes,7.4498,2,2,0,0
B2a,src_scan,sel0.1_q13,entity_19,1,likes,23.1941,20,2,0,0
B2a,src_relation_index,sel0.1_q13,entity_19,1,likes,17.8291,2,2,0,0
B2a,src_scan,sel0.1_q14,entity_20,1,likes,13.099,20,2,0,0
B2a,src_relation_index,sel0.1_q14,entity_20,1,likes,22.9643,2,2,0,0
B2a,src_scan,sel0.1_q15,entity_21,1,likes,11.8641,20,1,0,0
B2a,src_relation_index,sel0.1_q15,entity_21,1,likes,10.8517,1,1,0,0
B2a,src_scan,sel0.1_q16,entity_25,1,likes,12.9969,20,3,0,0
B2a,src_relation_index,sel0.1_q16,entity_25,1,likes,11.7058,3,3,0,0
B2a,src_scan,sel0.1_q17,entity_26,1,likes,16.6763,20,1,0,0
B2a,src_relation_index,sel0.1_q17,entity_26,1,likes,8.0755,1,1,0,0
B2a,src_scan,sel0.1_q18,entity_28,1,likes,11.8996,20,1,0,0
B2a,src_relation_index,sel0.1_q18,entity_28,1,likes,11.3961,1,1,0,0
B2a,src_scan,sel0.1_q19,entity_30,1,likes,13.644,20,1,0,0
B2a,src_relation_index,sel0.1_q19,entity_30,1,likes,11.0809,1,1,0,0
B2a,src_scan,sel0.1_q20,entity_32,1,likes,13.2901,20,1,0,0
B2a,src_relation_index,sel0.1_q20,entity_32,1,likes,10.046,1,1,0,0
B2a,src_scan,sel0.1_q21,entity_33,1,likes,8.1327,20,2,0,0
B2a,src_relation_index,sel0.1_q21,entity_33,1,likes,13.694,2,2,0,0
B2a,src_scan,sel0.1_q22,entity_34,1,likes,12.7586,20,2,0,0
B2a,src_relation_index,sel0.1_q22,entity_34,1,likes,10.6471,2,2,0,0
B2a,src_scan,sel0.1_q23,entity_35,1,likes,9.7317,20,2,0,0
B2a,src_relation_index,sel0.1_q23,entity_35,1,likes,18.0456,2,2,0,0
B2a,src_scan,sel0.1_q24,entity_38,1,likes,15.2798,20,2,0,0
B2a,src_relation_index,sel0.1_q24,entity_38,1,likes,4.1098,2,2,0,0
B2a,src_scan,sel0.1_q25,entity_40,1,likes,13.4911,20,1,0,0
B2a,src_relation_index,sel0.1_q25,entity_40,1,likes,12.7376,1,1,0,0
B2a,src_scan,sel0.1_q26,entity_42,1,likes,21.2414,20,1,0,0
B2a,src_relation_index,sel0.1_q26,entity_42,1,likes,22.8148,1,1,0,0
B2a,src_scan,sel0.1_q27,entity_43,1,likes,7.267,20,3,0,0
B2a,src_relation_index,sel0.1_q27,entity_43,1,likes,11.8783,3,3,0,0
B2a,src_scan,sel0.1_q28,entity_44,1,likes,8.6295,20,2,0,0
B2a,src_relation_index,sel0.1_q28,entity_44,1,likes,11.8646,2,2,0,0
B2a,src_scan,sel0.1_q29,entity_45,1,likes,13.6113,20,1,0,0
B2a,src_relation_index,sel0.1_q29,entity_45,1,likes,17.2492,1,1,0,0
B2a,src_scan,sel0.1_q0,entity_0,1,likes,14.4058,20,2,0,0
B2a,src_relation_index,sel0.1_q0,entity_0,1,likes,19.237,2,2,0,0
B2a,src_scan,sel0.1_q1,entity_2,1,likes,19.3635,20,3,0,0
B2a,src_relation_index,sel0.1_q1,entity_2,1,likes,21.8786,3,3,0,0
B2a,src_scan,sel0.1_q2,entity_3,1,likes,7.781,20,2,0,0
B2a,src_relation_index,sel0.1_q2,entity_3,1,likes,11.0031,2,2,0,0
B2a,src_scan,sel0.1_q3,entity_4,1,likes,11.966,20,2,0,0
B2a,src_relation_index,sel0.1_q3,entity_4,1,likes,10.4391,2,2,0,0
B2a,src_scan,sel0.1_q4,entity_5,1,likes,16.5309,20,1,0,0
B2a,src_relation_index,sel0.1_q4,entity_5,1,likes,25.5964,1,1,0,0
