experiment,mode,query_id,seed_entity,hop,relation_path,latency_ms,raw_edges_from_db,returned_edges,cache_hit,error
B3_cache,no_cache_cold,q0,entity_890,2,,32.107,700,700,0,0
B3_cache,no_cache_cold,q1,entity_1480,2,,26.9978,320,320,0,0
B3_cache,no_cache_cold,q2,entity_724,2,,31.5925,320,320,0,0
B3_cache,no_cache_cold,q3,entity_558,2,,31.6397,1100,1100,0,0
B3_cache,no_cache_cold,q4,entity_1096,2,,27.357,640,640,0,0
B3_cache,no_cache_cold,q5,entity_268,2,,27.0021,260,260,0,0
B3_cache,no_cache_cold,q6,entity_438,2,,30.5358,700,700,0,0
B3_cache,no_cache_cold,q7,entity_145,2,,28.4863,300,300,0,0
B3_cache,no_cache_cold,q8,entity_1168,2,,29.8254,1060,1060,0,0
B3_cache,no_cache_cold,q9,entity_1489,2,,34.8773,300,300,0,0
B3_cache,no_cache_cold,q10,entity_546,2,,38.6665,360,360,0,0
B3_cache,no_cache_cold,q11,entity_1370,2,,27.5532,260,260,0,0
B3_cache,no_cache_cold,q12,entity_554,2,,29.6332,260,260,0,0
B3_cache,no_cache_cold,q13,entity_14,2,,29.5019,280,280,0,0
B3_cache,no_cache_cold,q14,entity_6,2,,29.751,280,280,0,0
B3_cache,no_cache_cold,q15,entity_1318,2,,29.752,320,320,0,0
B3_cache,no_cache_cold,q16,entity_1456,2,,31.9346,280,280,0,0
B3_cache,no_cache_cold,q17,entity_1418,2,,27.6271,320,320,0,0
B3_cache,no_cache_cold,q18,entity_312,2,,24.413,240,240,0,0
B3_cache,no_cache_cold,q19,entity_453,2,,27.8277,340,340,0,0
B3_cache,no_cache_cold,q20,entity_1564,2,,27.4441,380,380,0,0
B3_cache,no_cache_cold,q21,entity_1582,2,,38.5455,300,300,0,0
B3_cache,no_cache_cold,q22,entity_958,2,,41.5933,300,300,0,0
B3_cache,no_cache_cold,q23,entity_1542,2,,39.124,200,200,0,0
B3_cache,no_cache_cold,q24,entity_605,2,,57.9172,700,700,0,0
B3_cache,no_cache_cold,q25,entity_366,2,,35.2098,300,300,0,0
B3_cache,no_cache_cold,q26,entity_361,2,,29.5501,240,240,0,0
B3_cache,no_cache_cold,q27,entity_1706,2,,29.7188,360,360,0,0
B3_cache,no_cache_cold,q28,entity_1064,2,,29.8232,340,340,0,0
B3_cache,no_cache_cold,q29,entity_1442,2,,27.9765,320,320,0,0
B3_cache,no_cache_cold,q30,entity_1626,2,,29.6259,280,280,0,0
B3_cache,no_cache_cold,q31,entity_1593,2,,30.7218,680,680,0,0
B3_cache,no_cache_cold,q32,entity_1576,2,,28.2551,300,300,0,0
B3_cache,no_cache_cold,q33,entity_523,2,,28.7987,300,300,0,0
