graph_id,src_id,relation,dst_id,source,src_type,dst_type,confidence,edge_id,created_at
synth_100000_1781447372,entity_0,bought,entity_2152,synthetic|D96:38,ENTITY,ENTITY,1.0,34052bee-7aa1-11f1-8d3c-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,reviewed,entity_3271,synthetic|D47:15,ENTITY,ENTITY,1.0,34052bef-7aa1-11f1-b23f-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,related_to,entity_4174,synthetic|D64:6,ENTITY,ENTITY,1.0,34052bf0-7aa1-11f1-b5ea-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,suitable_for,entity_1252,synthetic|D81:11,ENTITY,ENTITY,1.0,34052bf1-7aa1-11f1-a725-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,helped,entity_4885,synthetic|D9:25,ENTITY,ENTITY,1.0,34052bf2-7aa1-11f1-bc3e-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,works_at,entity_4334,synthetic|D33:36,ENTITY,ENTITY,1.0,34052bf3-7aa1-11f1-b374-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,likes,entity_938,synthetic|D88:35,ENTITY,ENTITY,1.0,34052bf4-7aa1-11f1-9067-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,remembered,entity_2786,synthetic|D15:19,ENTITY,ENTITY,1.0,34052bf5-7aa1-11f1-8fb5-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,works_at,entity_26,synthetic|D93:47,ENTITY,ENTITY,1.0,34052bf6-7aa1-11f1-be0f-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,bought,entity_1463,synthetic|D65:7,ENTITY,ENTITY,1.0,34052bf7-7aa1-11f1-8a15-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,visited,entity_4158,synthetic|D78:13,ENTITY,ENTITY,1.0,34052bf8-7aa1-11f1-83c1-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,remembered,entity_1323,synthetic|D70:50,ENTITY,ENTITY,1.0,34052bf9-7aa1-11f1-b1fb-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,likes,entity_4906,synthetic|D42:32,ENTITY,ENTITY,1.0,34052bfa-7aa1-11f1-9910-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,talked_to,entity_2519,synthetic|D31:4,ENTITY,ENTITY,1.0,34052bfb-7aa1-11f1-b20c-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,reviewed,entity_645,synthetic|D11:47,ENTITY,ENTITY,1.0,34052bfc-7aa1-11f1-8d5b-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,suitable_for,entity_4363,synthetic|D99:9,ENTITY,ENTITY,1.0,34052bfd-7aa1-11f1-b187-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,works_at,entity_4503,synthetic|D22:17,ENTITY,ENTITY,1.0,34052bfe-7aa1-11f1-b757-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,reviewed,entity_3466,synthetic|D28:35,ENTITY,ENTITY,1.0,34052bff-7aa1-11f1-b8c9-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,planned,entity_1647,synthetic|D92:20,ENTITY,ENTITY,1.0,34052c00-7aa1-11f1-aa0b-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_0,attended,entity_3059,synthetic|D57:34,ENTITY,ENTITY,1.0,34052c01-7aa1-11f1-ab4b-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,suggests,entity_1840,synthetic|D9:22,ENTITY,ENTITY,1.0,34052c02-7aa1-11f1-95fb-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,bought,entity_1885,synthetic|D76:15,ENTITY,ENTITY,1.0,34052c03-7aa1-11f1-80aa-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,planned,entity_482,synthetic|D30:5,ENTITY,ENTITY,1.0,34052c04-7aa1-11f1-970c-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,talked_to,entity_580,synthetic|D66:16,ENTITY,ENTITY,1.0,34052c05-7aa1-11f1-9fbd-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,works_at,entity_1755,synthetic|D70:9,ENTITY,ENTITY,1.0,34052c06-7aa1-11f1-8e65-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,reviewed,entity_4720,synthetic|D61:16,ENTITY,ENTITY,1.0,34052c07-7aa1-11f1-a302-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,remembered,entity_3334,synthetic|D25:7,ENTITY,ENTITY,1.0,34052c08-7aa1-11f1-ab89-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,helped,entity_2902,synthetic|D55:27,ENTITY,ENTITY,1.0,34052c09-7aa1-11f1-8bae-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,planned,entity_443,synthetic|D87:42,ENTITY,ENTITY,1.0,34052c0a-7aa1-11f1-a7cf-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,suitable_for,entity_496,synthetic|D52:47,ENTITY,ENTITY,1.0,34052c0b-7aa1-11f1-b6e4-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,suitable_for,entity_2036,synthetic|D25:13,ENTITY,ENTITY,1.0,34052c0c-7aa1-11f1-b5f3-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,related_to,entity_3456,synthetic|D24:18,ENTITY,ENTITY,1.0,34052c0d-7aa1-11f1-9130-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
synth_100000_1781447372,entity_1,suitable_for,entity_3630,synthetic|D71:7,ENTITY,ENTITY,1.0,34052c0e-7aa1-11f1-a239-f8fe5e591f68,2026-07-08T07:47:00.627351+00:00
