system,clients,repeat,warmup_s,measure_s,queries,errors,error_rate,QPS,mean_ms,p50_ms,p95_ms,p99_ms,qps_x_mean,frontier_workers,graph_id,cache,backend
cassandra_parallel,1,1,15,45.0,1482,0,0.0,32.933,30.394,30.089,38.19,46.374,1001.0,16,synth_100000_1781447372,disabled,warm
cassandra_naive,1,1,15,45.0,818,0,0.0,18.178,55.015,45.813,85.656,318.14,1000.0,0,synth_100000_1781447372,disabled,warm
neo4j,1,1,15,45.0,3739,0,0.0,83.088,12.035,8.063,31.513,79.308,1000.0,0,synth_100000_1781447372,disabled,warm
neo4j,1,2,15,45.001,3683,0,0.0,81.843,12.219,8.586,29.4,86.061,1000.0,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,1,2,15,45.0,1439,0,0.0,31.977,31.3,30.592,42.248,51.794,1000.9,16,synth_100000_1781447372,disabled,warm
cassandra_naive,1,2,15,45.0,807,0,0.0,17.933,55.858,46.37,89.445,324.545,1001.7,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,1,3,15,45.0,1466,0,0.0,32.578,30.719,30.064,41.817,48.716,1000.8,16,synth_100000_1781447372,disabled,warm
neo4j,1,3,15,45.001,4200,0,0.0,93.332,10.73,7.122,28.999,66.045,1001.5,0,synth_100000_1781447372,disabled,warm
cassandra_naive,1,3,15,45.0,798,0,0.0,17.733,56.475,46.859,92.236,334.311,1001.5,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,8,1,15,45.0,21839,0,0.0,485.309,16.489,13.233,36.219,49.662,8002.4,16,synth_100000_1781447372,disabled,warm
neo4j,8,1,15,45.0,24018,0,0.0,533.728,14.992,11.383,33.033,100.622,8001.5,0,synth_100000_1781447372,disabled,warm
cassandra_naive,8,1,15,45.001,20504,0,0.0,455.634,17.575,12.656,42.057,109.116,8007.6,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,8,2,15,45.001,23750,0,0.0,527.767,15.159,11.95,32.082,47.843,8000.6,16,synth_100000_1781447372,disabled,warm
cassandra_naive,8,2,15,45.0,19655,0,0.0,436.773,18.334,13.114,44.152,117.122,8007.7,0,synth_100000_1781447372,disabled,warm
neo4j,8,2,15,45.0,23785,0,0.0,528.552,15.142,11.484,33.512,101.453,8003.1,0,synth_100000_1781447372,disabled,warm
cassandra_naive,8,3,15,45.0,23950,0,0.0,532.22,15.053,10.895,38.977,82.659,8011.7,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,8,3,15,45.001,21894,0,0.0,486.525,16.449,13.328,35.604,49.493,8002.7,16,synth_100000_1781447372,disabled,warm
neo4j,8,3,15,45.0,24360,0,0.0,541.33,14.782,11.321,30.717,100.264,8002.1,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,32,1,15,45.04,28862,0,0.0,640.813,50.0,44.602,86.724,113.724,32040.8,16,synth_100000_1781447372,disabled,warm
neo4j,32,1,15,45.003,15539,0,0.0,345.29,92.881,62.299,242.909,568.778,32070.8,0,synth_100000_1781447372,disabled,warm
cassandra_naive,32,1,15,45.001,12960,0,0.0,287.995,111.651,85.568,258.86,706.296,32155.0,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,32,2,15,45.005,11763,0,0.0,261.37,122.661,111.173,225.138,276.928,32059.9,16,synth_100000_1781447372,disabled,warm
neo4j,32,2,15,45.017,8964,0,0.0,199.127,161.801,120.456,402.116,1181.535,32219.0,0,synth_100000_1781447372,disabled,warm
cassandra_naive,32,2,15,45.003,12960,0,0.0,287.981,111.714,84.713,266.626,684.417,32171.5,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,32,3,15,45.008,10786,0,0.0,239.649,133.844,118.287,259.413,325.991,32075.5,16,synth_100000_1781447372,disabled,warm
neo4j,32,3,15,45.004,11192,0,0.0,248.688,129.339,93.471,308.528,949.8,32165.0,0,synth_100000_1781447372,disabled,warm
cassandra_naive,32,3,15,45.006,13038,0,0.0,289.694,110.793,85.178,246.549,690.196,32096.1,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,64,1,15,45.001,11326,0,0.0,251.685,255.75,234.393,390.676,466.948,64368.5,16,synth_100000_1781447372,disabled,warm
cassandra_naive,64,1,15,45.015,13190,0,0.0,293.012,220.064,166.417,475.917,1321.612,64481.6,0,synth_100000_1781447372,disabled,warm
neo4j,64,1,15,45.001,12135,0,0.0,269.662,239.405,207.136,419.102,1409.801,64558.6,0,synth_100000_1781447372,disabled,warm
cassandra_naive,64,2,15,45.014,13656,0,0.0,303.374,212.566,159.908,462.946,1285.26,64487.0,0,synth_100000_1781447372,disabled,warm
cassandra_parallel,64,2,15,45.0,11041,0,0.0,245.353,262.254,238.087,428.501,491.048,64344.9,16,synth_100000_1781447372,disabled,warm
