graph_id,src_id,relation,dst_id,source
synth_100000_1781447372,entity_0,bought,entity_2152,synthetic|D96:38
synth_100000_1781447372,entity_0,reviewed,entity_3271,synthetic|D47:15
synth_100000_1781447372,entity_0,related_to,entity_4174,synthetic|D64:6
synth_100000_1781447372,entity_0,suitable_for,entity_1252,synthetic|D81:11
synth_100000_1781447372,entity_0,helped,entity_4885,synthetic|D9:25
synth_100000_1781447372,entity_0,works_at,entity_4334,synthetic|D33:36
synth_100000_1781447372,entity_0,likes,entity_938,synthetic|D88:35
synth_100000_1781447372,entity_0,remembered,entity_2786,synthetic|D15:19
synth_100000_1781447372,entity_0,works_at,entity_26,synthetic|D93:47
synth_100000_1781447372,entity_0,bought,entity_1463,synthetic|D65:7
synth_100000_1781447372,entity_0,visited,entity_4158,synthetic|D78:13
synth_100000_1781447372,entity_0,remembered,entity_1323,synthetic|D70:50
synth_100000_1781447372,entity_0,likes,entity_4906,synthetic|D42:32
synth_100000_1781447372,entity_0,talked_to,entity_2519,synthetic|D31:4
synth_100000_1781447372,entity_0,reviewed,entity_645,synthetic|D11:47
synth_100000_1781447372,entity_0,suitable_for,entity_4363,synthetic|D99:9
synth_100000_1781447372,entity_0,works_at,entity_4503,synthetic|D22:17
synth_100000_1781447372,entity_0,reviewed,entity_3466,synthetic|D28:35
synth_100000_1781447372,entity_0,planned,entity_1647,synthetic|D92:20
synth_100000_1781447372,entity_0,attended,entity_3059,synthetic|D57:34
synth_100000_1781447372,entity_1,suggests,entity_1840,synthetic|D9:22
synth_100000_1781447372,entity_1,bought,entity_1885,synthetic|D76:15
synth_100000_1781447372,entity_1,planned,entity_482,synthetic|D30:5
synth_100000_1781447372,entity_1,talked_to,entity_580,synthetic|D66:16
synth_100000_1781447372,entity_1,works_at,entity_1755,synthetic|D70:9
synth_100000_1781447372,entity_1,reviewed,entity_4720,synthetic|D61:16
synth_100000_1781447372,entity_1,remembered,entity_3334,synthetic|D25:7
synth_100000_1781447372,entity_1,helped,entity_2902,synthetic|D55:27
synth_100000_1781447372,entity_1,planned,entity_443,synthetic|D87:42
synth_100000_1781447372,entity_1,suitable_for,entity_496,synthetic|D52:47
synth_100000_1781447372,entity_1,suitable_for,entity_2036,synthetic|D25:13
synth_100000_1781447372,entity_1,related_to,entity_3456,synthetic|D24:18
synth_100000_1781447372,entity_1,suitable_for,entity_3630,synthetic|D71:7
synth_100000_1781447372,entity_1,bought,entity_120,synthetic|D12:49
synth_100000_1781447372,entity_1,related_to,entity_3329,synthetic|D63:31
synth_100000_1781447372,entity_1,helped,entity_480,synthetic|D22:25
synth_100000_1781447372,entity_1,helped,entity_2172,synthetic|D59:19
synth_100000_1781447372,entity_1,planned,entity_4552,synthetic|D85:46
synth_100000_1781447372,entity_1,suggests,entity_2430,synthetic|D28:4
synth_100000_1781447372,entity_1,bought,entity_499,synthetic|D96:21
synth_100000_1781447372,entity_2,reviewed,entity_3905,synthetic|D65:34
synth_100000_1781447372,entity_2,bought,entity_656,synthetic|D24:5
synth_100000_1781447372,entity_2,attended,entity_1926,synthetic|D52:8
synth_100000_1781447372,entity_2,reviewed,entity_2016,synthetic|D75:39
synth_100000_1781447372,entity_2,suitable_for,entity_3434,synthetic|D85:38
synth_100000_1781447372,entity_2,talked_to,entity_2136,synthetic|D27:43
synth_100000_1781447372,entity_2,suggests,entity_2175,synthetic|D51:9
synth_100000_1781447372,entity_2,visited,entity_3745,synthetic|D41:49
synth_100000_1781447372,entity_2,likes,entity_3754,synthetic|D80:37
synth_100000_1781447372,entity_2,suitable_for,entity_4404,synthetic|D28:33
synth_100000_1781447372,entity_2,talked_to,entity_563,synthetic|D32:24
synth_100000_1781447372,entity_2,works_at,entity_4450,synthetic|D91:20
