bitmask,E,R,K,T,R@1,R@10,MRR,Hit@10,dR@1,dR@10,dMRR,dHit@10
E0R0K0T0,0,0,0,0,0.2552,0.5487,0.3488,0.5487,0.0,0.0,0.0,0.0
E1R0K0T0,1,0,0,0,0.3091,0.6052,0.405,0.6052,0.0539,0.0565,0.0562,0.0565
E0R1K0T0,0,1,0,0,0.2786,0.5734,0.3741,0.5734,0.0234,0.0247,0.0253,0.0247
E0R0K1T0,0,0,1,0,0.3058,0.6006,0.4045,0.6006,0.0506,0.0519,0.0557,0.0519
E0R0K0T1,0,0,0,1,0.2805,0.5649,0.3707,0.5649,0.0253,0.0162,0.0219,0.0162
E1R1K0T0,1,1,0,0,0.3201,0.6188,0.419,0.6188,0.0649,0.0701,0.0702,0.0701
E1R0K1T0,1,0,1,0,0.3266,0.6214,0.425,0.6214,0.0714,0.0727,0.0762,0.0727
E1R0K0T1,1,0,0,1,0.3227,0.6227,0.4208,0.6227,0.0675,0.074,0.072,0.074
E0R1K1T0,0,1,1,0,0.3208,0.6169,0.4209,0.6169,0.0656,0.0682,0.0721,0.0682
E0R1K0T1,0,1,0,1,0.3078,0.5903,0.3988,0.5903,0.0526,0.0416,0.05,0.0416
E0R0K1T1,0,0,1,1,0.3273,0.6201,0.424,0.6201,0.0721,0.0714,0.0752,0.0714
E1R1K1T0,1,1,1,0,0.3416,0.6357,0.4394,0.6357,0.0864,0.087,0.0906,0.087
E1R1K0T1,1,1,0,1,0.3455,0.6357,0.4404,0.6357,0.0903,0.087,0.0916,0.087
E1R0K1T1,1,0,1,1,0.3429,0.6338,0.4392,0.6338,0.0877,0.0851,0.0904,0.0851
E0R1K1T1,0,1,1,1,0.3448,0.6338,0.4406,0.6338,0.0896,0.0851,0.0918,0.0851
E1R1K1T1,1,1,1,1,0.3617,0.6461,0.4554,0.6461,0.1065,0.0974,0.1066,0.0974
