bitmask,E,R,K,T,BM25_R@1,BM25_R@10,BM25_MRR,RRF_R@1,RRF_R@10,RRF_MRR
E0R0K0T0,0,0,0,0,0.2552,0.5487,0.3488,0.3539,0.7409,0.4763
E1R0K0T0,1,0,0,0,0.3091,0.6052,0.405,0.3799,0.7584,0.4994
E0R1K0T0,0,1,0,0,0.2786,0.5734,0.3741,0.3597,0.7526,0.4853
E0R0K1T0,0,0,1,0,0.3058,0.6006,0.4045,0.3812,0.7578,0.4997
E0R0K0T1,0,0,0,1,0.2805,0.5649,0.3707,0.3597,0.7461,0.4815
E1R1K0T0,1,1,0,0,0.3201,0.6188,0.419,0.3831,0.7662,0.5062
E1R0K1T0,1,0,1,0,0.3266,0.6214,0.425,0.3916,0.7682,0.51
E1R0K0T1,1,0,0,1,0.3227,0.6227,0.4208,0.3883,0.7649,0.5068
E0R1K1T0,0,1,1,0,0.3208,0.6169,0.4209,0.3877,0.7669,0.5082
E0R1K0T1,0,1,0,1,0.3078,0.5903,0.3988,0.3734,0.7597,0.4961
E0R0K1T1,0,0,1,1,0.3273,0.6201,0.424,0.3916,0.7656,0.5091
E1R1K1T0,1,1,1,0,0.3416,0.6357,0.4394,0.3948,0.7747,0.5153
E1R1K0T1,1,1,0,1,0.3455,0.6357,0.4404,0.389,0.7734,0.5127
E1R0K1T1,1,0,1,1,0.3429,0.6338,0.4392,0.3981,0.7714,0.5153
E0R1K1T1,0,1,1,1,0.3448,0.6338,0.4406,0.3961,0.776,0.5162
E1R1K1T1,1,1,1,1,0.3617,0.6461,0.4554,0.4026,0.7773,0.5214
