bitmask,E,R,K,T,R@1,R@10,MRR,Hit@10,dR@1,dR@10,dMRR,dHit@10
E0R0K0T0,0,0,0,0,0.3539,0.7409,0.4763,0.7409,0.0,0.0,0.0,0.0
E1R0K0T0,1,0,0,0,0.3799,0.7584,0.4994,0.7584,0.026,0.0175,0.0231,0.0175
E0R1K0T0,0,1,0,0,0.3597,0.7526,0.4853,0.7526,0.0058,0.0117,0.009,0.0117
E0R0K1T0,0,0,1,0,0.3812,0.7578,0.4997,0.7578,0.0273,0.0169,0.0234,0.0169
E0R0K0T1,0,0,0,1,0.3597,0.7461,0.4815,0.7461,0.0058,0.0052,0.0052,0.0052
E1R1K0T0,1,1,0,0,0.3831,0.7662,0.5062,0.7662,0.0292,0.0253,0.0299,0.0253
E1R0K1T0,1,0,1,0,0.3916,0.7682,0.51,0.7682,0.0377,0.0273,0.0337,0.0273
E1R0K0T1,1,0,0,1,0.3883,0.7649,0.5068,0.7649,0.0344,0.024,0.0305,0.024
E0R1K1T0,0,1,1,0,0.3877,0.7669,0.5082,0.7669,0.0338,0.026,0.0319,0.026
E0R1K0T1,0,1,0,1,0.3734,0.7597,0.4961,0.7597,0.0195,0.0188,0.0198,0.0188
E0R0K1T1,0,0,1,1,0.3916,0.7656,0.5091,0.7656,0.0377,0.0247,0.0328,0.0247
E1R1K1T0,1,1,1,0,0.3948,0.7747,0.5153,0.7747,0.0409,0.0338,0.039,0.0338
E1R1K0T1,1,1,0,1,0.389,0.7734,0.5127,0.7734,0.0351,0.0325,0.0364,0.0325
E1R0K1T1,1,0,1,1,0.3981,0.7714,0.5153,0.7714,0.0442,0.0305,0.039,0.0305
E0R1K1T1,0,1,1,1,0.3961,0.776,0.5162,0.776,0.0422,0.0351,0.0399,0.0351
E1R1K1T1,1,1,1,1,0.4026,0.7773,0.5214,0.7773,0.0487,0.0364,0.0451,0.0364
