method,qa_id,hit10_resolved
BM25_compact,conv-26_qa_0,1
BM25_compact,conv-26_qa_1,0
BM25_compact,conv-26_qa_10,0
BM25_compact,conv-26_qa_100,1
BM25_compact,conv-26_qa_101,1
BM25_compact,conv-26_qa_102,1
BM25_compact,conv-26_qa_103,0
BM25_compact,conv-26_qa_104,1
BM25_compact,conv-26_qa_105,0
BM25_compact,conv-26_qa_106,0
BM25_compact,conv-26_qa_107,1
BM25_compact,conv-26_qa_108,1
BM25_compact,conv-26_qa_109,1
BM25_compact,conv-26_qa_11,1
BM25_compact,conv-26_qa_110,1
BM25_compact,conv-26_qa_111,1
BM25_compact,conv-26_qa_112,1
BM25_compact,conv-26_qa_113,1
BM25_compact,conv-26_qa_114,1
BM25_compact,conv-26_qa_115,1
BM25_compact,conv-26_qa_116,0
BM25_compact,conv-26_qa_117,1
BM25_compact,conv-26_qa_118,1
BM25_compact,conv-26_qa_119,0
BM25_compact,conv-26_qa_12,1
BM25_compact,conv-26_qa_120,1
BM25_compact,conv-26_qa_121,0
BM25_compact,conv-26_qa_122,0
BM25_compact,conv-26_qa_123,0
BM25_compact,conv-26_qa_124,0
BM25_compact,conv-26_qa_125,1
BM25_compact,conv-26_qa_126,1
BM25_compact,conv-26_qa_127,0
BM25_compact,conv-26_qa_128,1
BM25_compact,conv-26_qa_129,1
BM25_compact,conv-26_qa_13,0
BM25_compact,conv-26_qa_130,1
BM25_compact,conv-26_qa_131,1
BM25_compact,conv-26_qa_132,1
BM25_compact,conv-26_qa_133,1
BM25_compact,conv-26_qa_134,0
BM25_compact,conv-26_qa_135,1
BM25_compact,conv-26_qa_136,1
BM25_compact,conv-26_qa_137,0
BM25_compact,conv-26_qa_138,0
BM25_compact,conv-26_qa_139,0
BM25_compact,conv-26_qa_14,1
BM25_compact,conv-26_qa_140,1
BM25_compact,conv-26_qa_141,0
BM25_compact,conv-26_qa_142,0
BM25_compact,conv-26_qa_143,1
BM25_compact,conv-26_qa_144,1
BM25_compact,conv-26_qa_145,1
BM25_compact,conv-26_qa_146,0
BM25_compact,conv-26_qa_147,1
BM25_compact,conv-26_qa_148,1
BM25_compact,conv-26_qa_149,0
BM25_compact,conv-26_qa_15,1
BM25_compact,conv-26_qa_150,0
BM25_compact,conv-26_qa_151,1
BM25_compact,conv-26_qa_16,1
BM25_compact,conv-26_qa_17,1
BM25_compact,conv-26_qa_18,0
BM25_compact,conv-26_qa_19,0
BM25_compact,conv-26_qa_2,0
BM25_compact,conv-26_qa_20,1
BM25_compact,conv-26_qa_21,1
BM25_compact,conv-26_qa_22,1
BM25_compact,conv-26_qa_23,1
BM25_compact,conv-26_qa_24,0
BM25_compact,conv-26_qa_25,1
BM25_compact,conv-26_qa_26,1
BM25_compact,conv-26_qa_27,0
BM25_compact,conv-26_qa_28,1
