category,method,R@1,R@10,MRR,rescue@1,hurt@1,net@1,n
cat1,Dense-bge,0.1809,0.656,0.3147,3,31,-28,282
cat2,Dense-bge,0.271,0.704,0.4253,0,66,-66,321
cat3,Dense-bge,0.1146,0.375,0.1936,2,9,-7,96
cat4,Dense-bge,0.2771,0.6706,0.4014,10,103,-93,841
cat1,BM25,0.1809,0.656,0.3147,3,31,-28,282
cat2,BM25,0.271,0.704,0.4253,0,66,-66,321
cat3,BM25,0.1146,0.375,0.1936,2,9,-7,96
cat4,BM25,0.2771,0.6706,0.4014,10,103,-93,841
cat1,RRF,0.1667,0.6702,0.2969,15,47,-32,282
cat2,RRF,0.1776,0.6947,0.3416,4,100,-96,321
cat3,RRF,0.0625,0.375,0.1541,3,15,-12,96
cat4,RRF,0.1938,0.6599,0.3346,16,179,-163,841
cat1,RRF+GlobalKG,0.266,0.7376,0.4053,28,32,-4,282
cat2,RRF+GlobalKG,0.3084,0.7103,0.4425,11,65,-54,321
cat3,RRF+GlobalKG,0.1562,0.4271,0.2338,6,9,-3,96
cat4,RRF+GlobalKG,0.2711,0.629,0.3922,48,146,-98,841
cat1,RRF+GlobalKG+TemporalKG,0.2624,0.7411,0.4047,27,32,-5,282
cat2,RRF+GlobalKG+TemporalKG,0.3084,0.7103,0.4414,11,65,-54,321
cat3,RRF+GlobalKG+TemporalKG,0.1562,0.4271,0.2338,6,9,-3,96
cat4,RRF+GlobalKG+TemporalKG,0.2711,0.629,0.3921,48,146,-98,841
