method,k,lam_kg,lam_t,R@1,R@10,MRR,rescue@1,hurt@1,net@1,n
Dense-bge,-,0,0,0.2481,0.6565,0.3776,15,209,-194,1540
BM25,-,0,0,0.039,0.1039,0.0578,0,0,0,1540
RRF,10,0,0,0.1773,0.6513,0.3179,38,341,-303,1540
Dense+GlobalKG-Prior,10,0.01,0,0.2097,0.6682,0.3521,58,311,-253,1540
RRF+GlobalKG,10,0.01,0,0.2097,0.6682,0.3521,58,311,-253,1540
RRF+GlobalKG,10,0.02,0,0.2396,0.6753,0.3751,68,275,-207,1540
RRF+GlobalKG,10,0.05,0,0.2604,0.6571,0.3893,83,258,-175,1540
RRF+GlobalKG,10,0.1,0,0.2708,0.6532,0.3952,93,252,-159,1540
RRF+TemporalKG,10,0,0.02,0.2396,0.6753,0.3751,68,275,-207,1540
RRF+TemporalKG,10,0,0.05,0.2604,0.6571,0.3893,83,258,-175,1540
RRF+TemporalKG,10,0,0.1,0.2708,0.6532,0.3952,93,252,-159,1540
RRF+TemporalKG,10,0,0.2,0.2701,0.6448,0.3924,94,254,-160,1540
RRF+GlobalKG+TemporalKG,10,0.1,0.02,0.2701,0.6539,0.3948,92,252,-160,1540
RRF+GlobalKG+TemporalKG,10,0.1,0.05,0.2656,0.6513,0.3914,91,258,-167,1540
RRF+GlobalKG+TemporalKG,10,0.1,0.1,0.2305,0.65,0.3609,85,306,-221,1540
RRF+GlobalKG+TemporalKG,10,0.1,0.2,0.2234,0.65,0.3556,84,316,-232,1540
RRF,30,0,0,0.1019,0.5597,0.2039,49,468,-419,1540
Dense+GlobalKG-Prior,30,0.01,0,0.1338,0.6344,0.2619,73,443,-370,1540
RRF+GlobalKG,30,0.01,0,0.1338,0.6344,0.2619,73,443,-370,1540
RRF+GlobalKG,30,0.02,0,0.1481,0.6396,0.2803,79,427,-348,1540
RRF+GlobalKG,30,0.05,0,0.1526,0.6305,0.2831,85,426,-341,1540
RRF+GlobalKG,30,0.1,0,0.1526,0.6305,0.2831,85,426,-341,1540
RRF+TemporalKG,30,0,0.02,0.1481,0.6396,0.2803,79,427,-348,1540
RRF+TemporalKG,30,0,0.05,0.1526,0.6305,0.2831,85,426,-341,1540
RRF+TemporalKG,30,0,0.1,0.1526,0.6305,0.2831,85,426,-341,1540
RRF+TemporalKG,30,0,0.2,0.1526,0.6305,0.2831,85,426,-341,1540
RRF+GlobalKG+TemporalKG,30,0.05,0.02,0.1487,0.6292,0.2799,82,429,-347,1540
RRF+GlobalKG+TemporalKG,30,0.05,0.05,0.1318,0.6253,0.2625,76,449,-373,1540
RRF+GlobalKG+TemporalKG,30,0.05,0.1,0.1312,0.6253,0.2618,76,450,-374,1540
RRF+GlobalKG+TemporalKG,30,0.05,0.2,0.1312,0.6253,0.2618,76,450,-374,1540
RRF,60,0,0,0.0929,0.3227,0.1519,51,484,-433,1540
Dense+GlobalKG-Prior,60,0.01,0,0.1195,0.5422,0.2134,74,466,-392,1540
RRF+GlobalKG,60,0.01,0,0.1195,0.5422,0.2134,74,466,-392,1540
RRF+GlobalKG,60,0.02,0,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+GlobalKG,60,0.05,0,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+GlobalKG,60,0.1,0,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+TemporalKG,60,0,0.02,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+TemporalKG,60,0,0.05,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+TemporalKG,60,0,0.1,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+TemporalKG,60,0,0.2,0.1182,0.5383,0.2133,76,470,-394,1540
RRF+GlobalKG+TemporalKG,60,0.01,0.02,0.1097,0.5279,0.2036,70,477,-407,1540
RRF+GlobalKG+TemporalKG,60,0.01,0.05,0.1071,0.5279,0.2007,69,480,-411,1540
RRF+GlobalKG+TemporalKG,60,0.01,0.1,0.1071,0.5279,0.2007,69,480,-411,1540
RRF+GlobalKG+TemporalKG,60,0.01,0.2,0.1071,0.5279,0.2007,69,480,-411,1540
Dense+GlobalKG-Prior,0,0.01,0,0.2968,0.6578,0.4024,16,135,-119,1540
